# HIV/ART Malawi PMC13191892 Fig.1 remaining-in-care KM, pre-intervention (navy);
# digitized from pixels. retention S(t); stored F(t)=1-S(t). x=months (capped 11.5).
time_months,cum_ltfu_incidence
0.5,0.0036
1.0,0.0449
1.5,0.0487
2.0,0.0595
2.5,0.0709
3.0,0.1160
3.5,0.1605
4.0,0.2037
4.5,0.2094
5.0,0.2202
5.5,0.2310
6.0,0.2443
6.5,0.2583
7.0,0.2685
7.5,0.2755
8.0,0.2837
8.5,0.2888
9.0,0.2945
9.5,0.2964
10.0,0.2983
10.5,0.2983
11.0,0.2983
11.5,0.2983
