# Antipsychotic PMC12437960 KM 'Any antipsychotic' (time to discontinuation);
# digitized from pixels. retention S(t); stored F(t)=1-S(t). x=days.
time_months,cum_ltfu_incidence
0.0,0.0131
15.0,0.2430
30.0,0.4729
45.0,0.5386
60.0,0.5403
75.0,0.5904
90.0,0.6146
105.0,0.6146
120.0,0.6406
135.0,0.6665
150.0,0.6924
165.0,0.7183
180.0,0.7183
195.0,0.7183
210.0,0.7183
225.0,0.7564
240.0,0.7685
255.0,0.7685
270.0,0.7685
285.0,0.7944
300.0,0.8186
315.0,0.8462
330.0,0.8462
345.0,0.8722
360.0,0.8722
