# ART PMC12953970 Fig.1A overall KM (time to LTFU); digitized from pixels.
# retention S(t) read off; stored F(t)=1-S(t). x=months.
time_months,cum_ltfu_incidence
0.0,nan
2.0,0.0109
4.0,0.0464
6.0,0.0710
8.0,0.0874
10.0,0.1120
12.0,0.1448
14.0,0.1585
16.0,0.1721
18.0,0.1803
20.0,0.1967
22.0,0.2158
24.0,0.2322
26.0,0.2459
28.0,0.2678
30.0,0.2842
32.0,0.2842
34.0,0.2842
36.0,0.2842
38.0,0.2842
40.0,0.2842
42.0,0.2842
44.0,0.2842
46.0,0.2842
48.0,0.2842
50.0,0.2842
52.0,0.2842
