# HIV/ART Maputo PMC13037074 Fig.3 retention KM, BTT cohort (maroon);
# digitized from pixels. retention S(t) read off; stored F(t)=1-S(t). x=months.
time_months,cum_ltfu_incidence
3.0,0.0140
6.0,0.0615
9.0,0.1151
12.0,0.1703
15.0,0.2178
18.0,0.2754
21.0,0.3236
24.0,0.3617
27.0,0.4045
30.0,0.4395
33.0,0.4760
36.0,0.5320
39.0,0.5585
42.0,0.5834
45.0,0.6036
48.0,0.6277
51.0,0.6643
54.0,0.7078
57.0,0.7623
60.0,0.7911
63.0,0.8020
66.0,0.8237
69.0,0.8237
72.0,0.8611
75.0,0.8891
78.0,0.9334
