# Ethiopia PMC10290796 Fig.1a red 'Loss to follow up' competing-risk CIF;
# digitized from figure pixels. x calibrated to ticks 0..6 months.
time_months,cum_ltfu_incidence
0.0,nan
0.5,0.0018
1.0,0.0110
1.5,0.0164
2.0,0.0232
2.5,0.0285
3.0,0.0374
3.5,0.0471
4.0,0.0549
4.5,0.0627
5.0,0.0758
5.5,0.0940
6.0,0.1214
