# HIV/ART Maputo PMC13037074 Fig.3 retention KM, ATT cohort (navy);
# digitized from pixels. retention S(t) read off; stored F(t)=1-S(t). x=months.
time_months,cum_ltfu_incidence
3.0,0.0086
6.0,0.0350
9.0,0.0638
12.0,0.0972
15.0,0.1221
18.0,0.1595
21.0,0.1859
24.0,0.2124
27.0,0.2419
30.0,0.2684
33.0,0.2948
36.0,0.3314
39.0,0.3508
42.0,0.3811
45.0,0.3998
48.0,0.4239
51.0,0.4519
54.0,0.4947
57.0,0.5499
60.0,0.5764
63.0,0.5842
66.0,0.6161
69.0,0.6161
72.0,0.6557
75.0,0.6713
78.0,0.7296
