species,n_individuals,n_records,first_obs,last_obs,tracking_days_span,unique_calendar_days,median_obs_per_individual_day
blue marlin,1,345,2022-05-29 16:00:00+00:00,2022-08-06 04:01:00+00:00,70,70,5.0
bottlenose dolphin,5,1176,2022-05-30 20:06:00+00:00,2022-06-25 15:14:00+00:00,27,27,16.0
great frigatebird,7,135316,2022-06-01 07:51:23+00:00,2023-03-28 16:50:06+00:00,301,301,282.0
grey reef shark,6,5300,2022-05-30 01:00:00+00:00,2023-05-30 20:00:00+00:00,366,366,5.0
melon-headed whale,8,1215,2022-05-31 03:50:00+00:00,2022-06-18 19:10:00+00:00,19,19,16.0
red-footed booby,31,151531,2022-02-27 04:00:06.400000+00:00,2022-08-09 17:15:18+00:00,164,78,601.0
reef manta ray,4,1795,2022-05-29 23:45:00+00:00,2023-04-25 07:00:00+00:00,332,332,3.5
sooty tern,12,8338,2022-05-29 22:00:07.100000+00:00,2022-06-16 11:58:56+00:00,19,19,6.75
yellowfin tuna,9,2033,2022-05-29 22:00:00+00:00,2022-11-23 15:00:00+00:00,179,179,5.0
