definition,event_date,species,guild,n_ind_pre,n_ind_evt,n_ind_post,centroid_shift_km,d_dist_palmyra_km,d_rog_km,d_path_km
A_zscore,2022-06-14,blue marlin,D_mobile_predator,1.0,1.0,1.0,337.6901444474018,348.22876291232404,-4.312483314442268,-10.54308814877579
A_zscore,2022-06-14,bottlenose dolphin,D_mobile_predator,4.142857142857143,2.6666666666666665,1.2222222222222223,6.058212331408789,1.0712361077146246,-1.0753211333219284,-2.26077438812041
A_zscore,2022-06-14,great frigatebird,E_seabird_predator,6.428571428571429,6.0,4.0,24.436297258523485,22.329219176068943,9.52133384019682,71.53211763615141
A_zscore,2022-06-14,grey reef shark,C_mesopredator,6.0,6.0,6.0,4.095462403763014,-22.970591546460938,0.04763055180116238,0.47332970632454874
A_zscore,2022-06-14,melon-headed whale,D_mobile_predator,4.285714285714286,4.0,1.0,60.36100239945578,67.15840784114255,3.6599067804944987,20.494918409016385
A_zscore,2022-06-14,red-footed booby,E_seabird_predator,5.714285714285714,4.0,3.75,4.651035415290463,-0.011143089473867107,8.615418625860084,32.57070159435008
A_zscore,2022-06-14,reef manta ray,A_plankton_feeding_mobile,3.142857142857143,3.0,3.0,65.31239582461335,81.68661723078236,-0.3662379353303731,-0.4835953167094864
A_zscore,2022-06-14,yellowfin tuna,D_mobile_predator,9.0,9.0,7.416666666666667,103.34513164739244,103.67515512853578,-0.222417444779631,-0.41249340025566994
A_zscore,2022-07-01,blue marlin,D_mobile_predator,1.0,1.0,1.0,610.6627304048684,532.5314133768609,-3.2882153239500944,-8.490618261081512
A_zscore,2022-07-01,great frigatebird,E_seabird_predator,4.0,4.0,3.5833333333333335,34.755781157438506,-20.21150447385948,-12.365127628256044,-130.90907341922508
A_zscore,2022-07-01,grey reef shark,C_mesopredator,6.0,6.0,6.0,13.773775575413703,13.672332218357468,0.7173742490425914,1.4023450523860665
A_zscore,2022-07-01,red-footed booby,E_seabird_predator,3.2857142857142856,3.0,2.3333333333333335,11.338667774558775,-0.017456274858413057,-7.171358984833182,-33.2991461580863
A_zscore,2022-07-01,reef manta ray,A_plankton_feeding_mobile,3.0,3.0,3.0,113.11809923453052,35.79763596060596,0.10751683474676454,-0.6966798362013318
A_zscore,2022-07-01,yellowfin tuna,D_mobile_predator,5.857142857142857,4.666666666666667,3.1666666666666665,264.3716587493578,226.2597474481803,-0.008338762805822242,2.211312064731498
A_zscore,2022-09-16,great frigatebird,E_seabird_predator,1.0,1.0,1.0,7.5604026981589945,0.48589158219983375,-2.0838270281759463,20.34845994902571
A_zscore,2022-09-16,grey reef shark,C_mesopredator,6.0,6.0,6.0,99.98351688004347,-20.41589944350099,-1.2694449900801215,-3.4227541601551827
A_zscore,2022-09-16,reef manta ray,A_plankton_feeding_mobile,2.0,2.0,2.0,70.10974550067449,21.991397926936713,-1.5731405018198723,-3.686491876891382
A_zscore,2022-09-16,yellowfin tuna,D_mobile_predator,1.0,1.0,1.0,415.6766063810077,-371.291125669154,4.787341529042149,12.493969066606677
