species,individual_id,n_records,tracking_days,median_sampling_interval_hours,median_step_km,p95_step_km,median_speed_kmh,p95_speed_kmh,fraction_flagged,start_date,end_date
blue marlin,MAKNIG_2022_01-PTT_233567,345,68.50069444444445,4.115694444444444,8.214771820782829,22.321484720534542,1.7520417700298492,3.288701618388945,0.0,2022-05-29 16:00:00+00:00,2022-08-06 04:01:00+00:00
bottlenose dolphin,TURTRU_2022_01-PTT_232336,161,16.01527777777778,0.9333333333333333,3.6037663310270442,10.678138341208571,2.616992080694292,16.524618003510415,0.037267080745341616,2022-05-30 20:10:00+00:00,2022-06-15 20:32:00+00:00
bottlenose dolphin,TURTRU_2022_02-PTT_197369,159,9.50625,0.7416666666666667,3.1743593931931398,13.210055433309824,4.623538684851965,16.286202173862314,0.03773584905660377,2022-05-30 20:06:00+00:00,2022-06-09 08:15:00+00:00
bottlenose dolphin,TURTRU_2022_03-PTT_232340,436,23.43888888888889,0.6666666666666666,2.3350609977873353,10.710671285473609,4.308865281457837,19.449519333545993,0.045871559633027525,2022-06-02 04:42:00+00:00,2022-06-25 15:14:00+00:00
bottlenose dolphin,TURTRU_2022_04-PTT_208876,268,15.565972222222221,0.65,2.2372008701748327,10.582720921452548,3.5516024640287402,16.677766409652612,0.03731343283582089,2022-06-02 19:00:00+00:00,2022-06-18 08:35:00+00:00
bottlenose dolphin,TURTRU_2022_05-PTT_208879,152,8.689583333333333,0.675,2.198078629442047,12.290954376919531,3.2945290301556565,25.56531654769087,0.06578947368421052,2022-06-03 04:04:00+00:00,2022-06-11 20:37:00+00:00
great frigatebird,GRFR_2022_01-eobs_9829,85815,296.8819212962963,0.08333333333333333,0.9397676469553258,3.571738486254401,11.123379042532571,41.721503895073,0.0301462448289926,2022-06-04 19:40:08+00:00,2023-03-28 16:50:06+00:00
great frigatebird,GRFR_2022_02-eobs_9830,3883,13.881238425925925,0.08333333333333333,0.005581358758439093,3.429059618158532,0.06664766696786323,40.22082075340685,0.0,2022-06-01 09:16:07+00:00,2022-06-15 06:25:06+00:00
great frigatebird,GRFR_2022_04-eobs_9833,14247,57.19804398148148,0.08333333333333333,0.008458393615241394,3.327568964912612,0.10524047503193264,38.395744592351065,0.0015441847406471537,2022-06-01 21:05:23+00:00,2022-07-29 01:50:34+00:00
great frigatebird,GRFR_2022_05-eobs_9834,10611,37.41650462962963,0.08333333333333333,0.058243428145830695,3.7424212052571693,0.6983545027530123,44.26652100906437,0.0006596927716520592,2022-06-02 18:05:20+00:00,2022-07-10 04:05:06+00:00
great frigatebird,GRFR_2022_06-eobs_9835,4092,14.478310185185185,0.08333333333333333,0.4521576858823314,3.595740274259003,5.35754182407858,42.023924293263,0.0004887585532746823,2022-06-01 07:51:23+00:00,2022-06-15 19:20:09+00:00
great frigatebird,GRFR_2022_07-eobs_9842,1021,13.594479166666666,0.08333333333333333,0.003429903613672486,3.0385712645289025,0.04108061542412351,28.929282651355926,0.0009794319294809011,2022-06-02 07:02:53+00:00,2022-06-15 21:18:56+00:00
great frigatebird,GRFR_2022_08-eobs_9843,15647,64.75258101851851,0.08333333333333333,0.29320199758724413,3.8159235227710466,3.7342791709584384,44.217285662997895,0.002875950661468652,2022-06-02 07:11:22+00:00,2022-08-06 01:15:05+00:00
grey reef shark,CARAMB_2022_01-PTT_233554,1293,365.7916666666667,7.104027777777778,2.779877005838362,11.459056754902436,0.516169643330626,1.7073838081625294,0.0,2022-05-30 01:00:00+00:00,2023-05-30 20:00:00+00:00
grey reef shark,CARAMB_2022_02-PTT_233546,855,180.83333333333334,4.622916666666667,0.0,6.210301299869409,0.0,0.9074293714260556,0.0,2022-05-31 00:00:00+00:00,2022-11-27 20:00:00+00:00
grey reef shark,CARAMB_2022_05-PTT_233547,859,180.83333333333334,4.5536111111111115,0.0,2.779877005838362,0.0,0.3924732331008404,0.0,2022-06-01 00:00:00+00:00,2022-11-28 20:00:00+00:00
