,blue marlin,bottlenose dolphin,great frigatebird,grey reef shark,melon-headed whale,red-footed booby,reef manta ray,sooty tern,yellowfin tuna
blue marlin,70.0,27.0,67.0,69.0,19.0,70.0,70.0,19.0,70.0
bottlenose dolphin,27.0,27.0,25.0,27.0,19.0,27.0,27.0,18.0,27.0
great frigatebird,67.0,25.0,301.0,301.0,18.0,70.0,301.0,16.0,176.0
grey reef shark,69.0,27.0,301.0,366.0,19.0,72.0,331.0,18.0,178.0
melon-headed whale,19.0,19.0,18.0,19.0,19.0,19.0,19.0,17.0,19.0
red-footed booby,70.0,27.0,70.0,72.0,19.0,78.0,73.0,19.0,73.0
reef manta ray,70.0,27.0,301.0,331.0,19.0,73.0,332.0,19.0,179.0
sooty tern,19.0,18.0,16.0,18.0,17.0,19.0,19.0,19.0,19.0
yellowfin tuna,70.0,27.0,176.0,178.0,19.0,73.0,179.0,19.0,179.0
