,blue marlin,bottlenose dolphin,great frigatebird,grey reef shark,melon-headed whale,red-footed booby,reef manta ray,sooty tern,yellowfin tuna
blue marlin,1.0,1.0,0.9571428571428572,0.9857142857142858,1.0,1.0,1.0,1.0,1.0
bottlenose dolphin,1.0,1.0,0.9259259259259259,1.0,1.0,1.0,1.0,0.9473684210526315,1.0
great frigatebird,0.9571428571428572,0.9259259259259259,1.0,1.0,0.9473684210526315,0.8974358974358975,1.0,0.8421052631578947,0.9832402234636871
grey reef shark,0.9857142857142858,1.0,1.0,1.0,1.0,0.9230769230769231,0.9969879518072289,0.9473684210526315,0.994413407821229
melon-headed whale,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,0.8947368421052632,1.0
red-footed booby,1.0,1.0,0.8974358974358975,0.9230769230769231,1.0,1.0,0.9358974358974359,1.0,0.9358974358974359
reef manta ray,1.0,1.0,1.0,0.9969879518072289,1.0,0.9358974358974359,1.0,1.0,1.0
sooty tern,1.0,0.9473684210526315,0.8421052631578947,0.9473684210526315,0.8947368421052632,1.0,1.0,1.0,1.0
yellowfin tuna,1.0,1.0,0.9832402234636871,0.994413407821229,1.0,0.9358974358974359,1.0,1.0,1.0
