dropped_event,median_slope,n_events
2022-06-03,-0.014878455141789905,15
2022-06-14,-0.014878455141789905,15
2022-06-26,-0.014878455141789905,15
2022-07-20,-0.014878455141789905,15
2022-08-17,-0.014878455141789905,15
2022-09-12,-0.021180739089115507,15
2022-09-24,-0.021180739089115507,15
2022-10-03,-0.021180739089115507,15
2022-10-26,-0.021180739089115507,15
2022-11-05,-0.014878455141789905,15
2022-11-25,-0.021180739089115507,15
2023-01-16,-0.014878455141789905,15
2023-01-29,-0.021180739089115507,15
2023-02-14,-0.014878455141789905,15
2023-03-17,-0.021180739089115507,15
2023-03-29,-0.021180739089115507,15
