definition,event_date,n_guilds_tracked,max_individuals_per_guild,dchl_log,sst_mean
A_zscore,2022-02-23,0,0,-0.10417659831048531,26.9667
A_zscore,2022-03-30,0,0,-0.06609568253041942,26.97289
A_zscore,2022-04-15,0,0,-0.10632923209008105,27.225012
A_zscore,2022-05-03,0,0,0.12696445723014527,27.167212
A_zscore,2022-05-17,1,1,-0.11590562393759662,27.399456
A_zscore,2022-06-14,4,9,0.3055358629957273,27.786688
A_zscore,2022-07-01,4,6,0.11913039911042023,27.648623
A_zscore,2022-09-16,4,6,-0.140358281358812,27.532608
A_zscore,2022-11-25,3,5,-0.3238931509081393,27.32745
A_zscore,2023-01-16,3,2,-0.11108462630413929,26.90178
A_zscore,2023-01-29,3,2,0.1072458015195854,26.863213
A_zscore,2023-02-14,3,2,0.08397880428646765,26.704218
A_zscore,2023-03-17,3,2,-0.1079841157546203,27.27459
A_zscore,2023-04-02,2,1,-0.20581977999236722,27.62688
B_percentile,2022-02-22,0,0,0.10176595530233024,26.986757
B_percentile,2022-04-15,0,0,-0.10632923209008105,27.225012
B_percentile,2022-05-01,0,0,-0.08253842979496151,27.124983
B_percentile,2022-05-13,0,0,0.1083772847960982,27.185108
B_percentile,2022-06-03,4,11,0.11705343452161165,27.598587
B_percentile,2022-06-14,4,9,0.3055358629957273,27.786688
B_percentile,2022-06-26,4,6,0.11919998709515767,27.800648
B_percentile,2022-07-20,4,6,-0.12233435597000752,27.61751
B_percentile,2022-08-17,4,6,0.0878417646501205,27.46915
B_percentile,2022-09-12,4,6,-0.10775187601196401,27.591953
B_percentile,2022-09-24,4,6,0.09487328418547625,27.537226
B_percentile,2022-10-03,4,6,-0.16550015058289025,27.464027
B_percentile,2022-10-26,4,5,0.10774362273588911,27.494118
B_percentile,2022-11-05,4,5,-0.11739849822472204,27.590918
B_percentile,2022-11-25,3,5,-0.3238931509081393,27.32745
B_percentile,2023-01-16,3,2,-0.11108462630413929,26.90178
B_percentile,2023-01-29,3,2,0.1072458015195854,26.863213
B_percentile,2023-02-14,3,2,0.08397880428646765,26.704218
B_percentile,2023-03-17,3,2,-0.1079841157546203,27.27459
B_percentile,2023-03-29,2,2,-0.08958622325813137,27.510736
B_percentile,2023-06-21,0,0,-0.11849778389333576,28.55466
B_percentile,2023-06-29,0,0,0.10103991360485132,28.411627
C_front,2022-04-16,0,0,0.1427021186103984,27.224508
C_front,2022-05-03,0,0,0.12696445723014527,27.167212
C_front,2022-05-19,0,0,-0.058178539257802475,27.489525
C_front,2022-06-09,4,9,-0.014895356069213217,27.649748
C_front,2022-06-20,4,8,0.055028221725143545,27.696852
C_front,2022-07-11,4,6,-0.0301853418570307,27.630457
C_front,2022-07-22,4,6,0.057647518079293136,27.64676
C_front,2022-08-12,4,6,0.03414186282501541,27.486332
C_front,2022-09-08,4,6,0.03872020723790126,27.434855
C_front,2022-09-24,4,6,0.09487328418547625,27.537226
C_front,2022-11-11,4,5,-0.052228985626851854,27.610865
C_front,2022-11-25,3,5,-0.3238931509081393,27.32745
C_front,2022-12-13,3,3,0.007305120105825402,27.048069
C_front,2022-12-29,3,2,-0.022819928755086316,26.914625
C_front,2023-01-14,3,2,-0.038380130205957985,26.920732
C_front,2023-04-02,2,1,-0.20581977999236722,27.62688
C_front,2023-05-06,1,1,-0.027607678716659256,27.978415
C_front,2023-06-13,0,0,0.050267066873646016,28.382204
D_persistent,2022-04-16,0,0,0.1427021186103984,27.224508
D_persistent,2022-05-04,0,0,-0.1444343694644139,27.15487
D_persistent,2022-06-15,4,9,-0.26600796970996576,27.810278
D_persistent,2022-11-26,3,5,0.375554042577843,27.32814
D_persistent,2023-01-30,3,2,-0.1007363571671811,26.898499
D_persistent,2023-04-03,2,1,0.18886462171693452,27.654232
