species,placebo,coef,observed
Blue Whale,uwi_m30,0.0014763917563555779,-0.0006861749071492818
Blue Whale,uwi_p30,-0.00046649307677044743,-0.0006861749071492818
Blue Whale,uwi_permuted,-0.0009072096597506476,-0.0006861749071492818
Blue Whale,sst_as_prey,0.04623411814899119,
Blue Whale,event_day_trend,0.020695411185402548,
California Sea Lion,uwi_m30,0.0008002893781726589,0.00037273954100308735
California Sea Lion,uwi_p30,0.0003519814015578816,0.00037273954100308735
California Sea Lion,uwi_permuted,5.592272968731613e-06,0.00037273954100308735
California Sea Lion,sst_as_prey,-0.1299336126512457,
California Sea Lion,event_day_trend,0.026857537895444244,
Northern Elephant Seal,uwi_m30,-0.00017156317482934177,-0.00034992843614136966
Northern Elephant Seal,uwi_p30,-0.00014748550362726694,-0.00034992843614136966
Northern Elephant Seal,uwi_permuted,-5.5274091268308015e-05,-0.00034992843614136966
Northern Elephant Seal,sst_as_prey,-0.09739693081575235,
Northern Elephant Seal,event_day_trend,-0.01998124936655017,
Salmon Shark,uwi_m30,0.00043772910347883887,0.000544128158649604
Salmon Shark,uwi_p30,0.0003229165734162068,0.000544128158649604
Salmon Shark,uwi_permuted,5.6189909183290774e-05,0.000544128158649604
Salmon Shark,sst_as_prey,0.01860460770268814,
Salmon Shark,event_day_trend,0.015314258732496502,
