species,link,lag,coef
Blue Whale,E->P,-14,-0.00028399904124024814
Blue Whale,K->P,-14,0.03976202620716989
Blue Whale,E->K,-14,-0.0005109162397533105
Blue Whale,E->P,-13,-0.0005315653753818039
Blue Whale,K->P,-13,-0.03194609653865839
Blue Whale,E->K,-13,-0.0004405235342644886
Blue Whale,E->P,-12,-0.0004484992936250343
Blue Whale,K->P,-12,-0.06123110227723732
Blue Whale,E->K,-12,-0.00055425072712211
Blue Whale,E->P,-11,9.827753545829155e-05
Blue Whale,K->P,-11,-0.11184643295809277
Blue Whale,E->K,-11,-0.0004526760753943375
Blue Whale,E->P,-10,-3.976604786073983e-06
Blue Whale,K->P,-10,0.026898540882487162
Blue Whale,E->K,-10,-0.0005975246732824243
Blue Whale,E->P,-9,-0.00022147436432619501
Blue Whale,K->P,-9,0.05372445817077335
Blue Whale,E->K,-9,-0.0005110893295319531
Blue Whale,E->P,-8,-0.0004776762465160869
Blue Whale,K->P,-8,0.000436474675762565
Blue Whale,E->K,-8,-0.0005310395838852996
Blue Whale,E->P,-7,-0.0005969666253566643
Blue Whale,K->P,-7,-0.037469364633316085
Blue Whale,E->K,-7,-0.0005015327145848973
Blue Whale,E->P,-6,-0.0004316930189714874
Blue Whale,K->P,-6,-0.04332452173628268
Blue Whale,E->K,-6,-0.0005448154264939784
Blue Whale,E->P,-5,-0.00025885773720075024
Blue Whale,K->P,-5,-0.024704858555179565
Blue Whale,E->K,-5,-0.00046732254529769653
Blue Whale,E->P,-4,-3.7873531745172425e-06
Blue Whale,K->P,-4,-0.04995967615732395
Blue Whale,E->K,-4,-0.0004289645489542978
Blue Whale,E->P,-3,-0.0006981932797854052
Blue Whale,K->P,-3,-0.10626027901259143
Blue Whale,E->K,-3,-0.0002690601444205559
Blue Whale,E->P,-2,-0.0010305312199740072
Blue Whale,K->P,-2,-0.1653742400026326
Blue Whale,E->K,-2,-0.00016856153516845102
Blue Whale,E->P,-1,-0.00037326751017598446
Blue Whale,K->P,-1,-0.14905630792974314
Blue Whale,E->K,-1,-5.1590479803633645e-05
Blue Whale,E->P,0,-0.0006861749071492818
Blue Whale,K->P,0,-0.19078411378605667
Blue Whale,E->K,0,5.905649537122319e-05
Blue Whale,E->P,1,-8.13027480388391e-05
Blue Whale,K->P,1,-0.1546847939476059
Blue Whale,E->K,1,1.3683967771654275e-05
Blue Whale,E->P,2,-0.0001307510774861434
Blue Whale,K->P,2,-0.1834222129981671
Blue Whale,E->K,2,-0.0001355691478287424
Blue Whale,E->P,3,-0.0003856549434107182
Blue Whale,K->P,3,-0.2548697674377929
Blue Whale,E->K,3,-0.0002439811379983592
Blue Whale,E->P,4,-0.00024740351704603217
Blue Whale,K->P,4,-0.3827617578040796
Blue Whale,E->K,4,-0.0002173915887476472
Blue Whale,E->P,5,0.00014736141109593546
Blue Whale,K->P,5,-0.2731642137204314
Blue Whale,E->K,5,-9.965711117217089e-05
Blue Whale,E->P,6,-2.061306823151587e-05
Blue Whale,K->P,6,-0.29565233080009967
Blue Whale,E->K,6,-1.5251550259147499e-05
Blue Whale,E->P,7,-0.0002192426517749109
Blue Whale,K->P,7,-0.2757812033477426
Blue Whale,E->K,7,5.70105459073334e-05
Blue Whale,E->P,8,0.00036883245587182427
Blue Whale,K->P,8,-0.21877950496790258
Blue Whale,E->K,8,8.133499229336886e-05
Blue Whale,E->P,9,0.0007641772256572846
Blue Whale,K->P,9,-0.19656801679848726
Blue Whale,E->K,9,-7.193806531456642e-06
Blue Whale,E->P,10,0.00019116866861941694
Blue Whale,K->P,10,-0.22031676296084435
Blue Whale,E->K,10,-3.3001454715441805e-05
Blue Whale,E->P,11,-0.000292634538632589
