event_id,station_lat,lon,start_date,end_date,peak_date,intensity,duration_d,event_type,environmental_source,in_season
uwi33_028,33,-119.5,1983-10-13 00:00:00+00:00,1983-10-15 00:00:00+00:00,1983-10-15 00:00:00+00:00,82.20135324999993,2,upwelling_pulse,Bakun UWI 33N,True
uwi33_029,33,-119.5,1984-10-14 00:00:00+00:00,1984-10-21 00:00:00+00:00,1984-10-20 00:00:00+00:00,140.29896067857135,7,upwelling_pulse,Bakun UWI 33N,True
uwi33_030,33,-119.5,1985-02-20 00:00:00+00:00,1985-02-21 00:00:00+00:00,1985-02-21 00:00:00+00:00,74.38692643214277,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_031,33,-119.5,1985-03-02 00:00:00+00:00,1985-03-03 00:00:00+00:00,1985-03-03 00:00:00+00:00,95.95504228214278,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_032,33,-119.5,1985-04-18 00:00:00+00:00,1985-04-22 00:00:00+00:00,1985-04-22 00:00:00+00:00,103.63770721428564,4,upwelling_pulse,Bakun UWI 33N,True
uwi33_033,33,-119.5,1986-03-17 00:00:00+00:00,1986-03-18 00:00:00+00:00,1986-03-18 00:00:00+00:00,80.27228144642848,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_034,33,-119.5,1987-01-31 00:00:00+00:00,1987-01-31 00:00:00+00:00,1987-01-31 00:00:00+00:00,43.23832104285706,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_035,33,-119.5,1987-02-16 00:00:00+00:00,1987-02-19 00:00:00+00:00,1987-02-19 00:00:00+00:00,94.2456805214285,3,upwelling_pulse,Bakun UWI 33N,False
uwi33_036,33,-119.5,1987-12-23 00:00:00+00:00,1987-12-24 00:00:00+00:00,1987-12-24 00:00:00+00:00,73.40919119999991,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_037,33,-119.5,1988-01-18 00:00:00+00:00,1988-01-19 00:00:00+00:00,1988-01-19 00:00:00+00:00,191.64227821428565,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_038,33,-119.5,1988-04-30 00:00:00+00:00,1988-05-06 00:00:00+00:00,1988-05-06 00:00:00+00:00,172.5074670714285,6,upwelling_pulse,Bakun UWI 33N,True
uwi33_039,33,-119.5,1989-03-13 00:00:00+00:00,1989-03-15 00:00:00+00:00,1989-03-15 00:00:00+00:00,83.48812324964278,2,upwelling_pulse,Bakun UWI 33N,False
uwi33_040,33,-119.5,1990-01-02 00:00:00+00:00,1990-01-03 00:00:00+00:00,1990-01-03 00:00:00+00:00,92.93795965714278,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_041,33,-119.5,1990-11-26 00:00:00+00:00,1990-11-26 00:00:00+00:00,1990-11-26 00:00:00+00:00,58.26213494285706,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_042,33,-119.5,1990-12-19 00:00:00+00:00,1990-12-21 00:00:00+00:00,1990-12-21 00:00:00+00:00,84.52637069642849,2,upwelling_pulse,Bakun UWI 33N,False
uwi33_043,33,-119.5,1991-02-17 00:00:00+00:00,1991-02-18 00:00:00+00:00,1991-02-18 00:00:00+00:00,85.35813632857136,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_044,33,-119.5,1991-09-09 00:00:00+00:00,1991-09-10 00:00:00+00:00,1991-09-10 00:00:00+00:00,78.74222179285707,1,upwelling_pulse,Bakun UWI 33N,True
uwi33_045,33,-119.5,1991-11-14 00:00:00+00:00,1991-11-15 00:00:00+00:00,1991-11-15 00:00:00+00:00,132.1105286571428,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_046,33,-119.5,1991-11-28 00:00:00+00:00,1991-11-30 00:00:00+00:00,1991-11-30 00:00:00+00:00,87.28743204107136,2,upwelling_pulse,Bakun UWI 33N,False
uwi33_047,33,-119.5,1991-12-19 00:00:00+00:00,1991-12-20 00:00:00+00:00,1991-12-20 00:00:00+00:00,69.93037074678564,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_048,33,-119.5,1992-04-14 00:00:00+00:00,1992-04-19 00:00:00+00:00,1992-04-19 00:00:00+00:00,124.85531621428564,5,upwelling_pulse,Bakun UWI 33N,True
uwi33_049,33,-119.5,1992-12-08 00:00:00+00:00,1992-12-08 00:00:00+00:00,1992-12-08 00:00:00+00:00,20.016867864285643,0,upwelling_pulse,Bakun UWI 33N,False
