max_hours_since_onset,max_km_from_station_lat,matched_days,events_hit
6,5,2,2
6,10,4,4
6,20,6,6
6,50,19,12
12,5,2,2
12,10,4,4
12,20,6,6
12,50,19,12
24,5,3,3
24,10,7,6
24,20,12,9
24,50,35,15
48,5,5,5
48,10,11,7
48,20,19,11
48,50,50,17
