species,direction,E_coef,p,n
Blue Whale,E_t->P_t+7,-0.0002192426517749109,0.7414267994791416,1014
Blue Whale,E_t->P_t-7_rev,-0.0005969666253566643,0.09928340898448502,1072
California Sea Lion,E_t->P_t+7,0.000513347289409652,0.10093588750697857,3573
California Sea Lion,E_t->P_t-7_rev,0.00023036552970623578,0.3743623490937529,3566
Northern Elephant Seal,E_t->P_t+7,-0.0005911018640737396,0.02994875425760942,2375
Northern Elephant Seal,E_t->P_t-7_rev,-0.0009894483696668936,0.002297480397619713,2417
Salmon Shark,E_t->P_t+7,0.0003704167378608537,0.038756894094245736,1454
Salmon Shark,E_t->P_t-7_rev,0.00015102860558959588,0.6364190698897172,1439
