species,model,n,r2,E_coef,K_coef,Khat_coef
Blue Whale,M_E,907,0.0193555341645405,-0.0006306943992490969,,
Blue Whale,M_K,974,0.021288607367547785,,-0.11913293585303712,
Blue Whale,M_EK,907,0.026516671363904565,-0.0007162252828934814,-0.19881296465140905,
Blue Whale,M_LAG,629,0.041556870296493575,,,
Blue Whale,M_PREDICTIVE,0,,,,
California Sea Lion,M_E,3366,0.024943393862811303,0.0005041084516701537,,
California Sea Lion,M_K,3646,0.019534463476274633,,-0.017407375121612563,
California Sea Lion,M_EK,3366,0.025002304178093016,0.0004994248966898806,0.019954577462847164,
California Sea Lion,M_LAG,2713,0.023819413655720267,,,
California Sea Lion,M_PREDICTIVE,2529,0.040735757510969584,0.008586469598381751,,-14.550438676263436
Northern Elephant Seal,M_E,1791,0.14391996798684814,-0.00024870103616194826,,
Northern Elephant Seal,M_K,1974,0.1678767051497735,,-0.3463324112917319,
Northern Elephant Seal,M_EK,1791,0.14453774102500794,-0.0002610512498016534,-0.06045278313078974,
Northern Elephant Seal,M_LAG,1398,0.18504355793971228,,,
Northern Elephant Seal,M_PREDICTIVE,79,0.4230322714828013,-0.002245976601987994,,-1.993256708857789
Salmon Shark,M_E,842,0.06544189996985872,0.0006912749687142865,,
Salmon Shark,M_K,871,0.06753546729975324,,-0.20580835834739772,
Salmon Shark,M_EK,842,0.07355589477006441,0.0005870329559907348,-0.20749627823947592,
Salmon Shark,M_LAG,533,0.034366076374254706,,,
Salmon Shark,M_PREDICTIVE,0,,,,
