event_id,station_lat,start_date,in_season,n_animals,n_species,animal_days,days_with_prey,days_with_env,with_predator,with_prey,with_both
uwi33_000,33,1967-05-18,True,0,0,0,0,0,False,False,False
uwi33_001,33,1967-09-05,True,0,0,0,0,0,False,False,False
uwi33_002,33,1967-09-13,True,0,0,0,0,0,False,False,False
uwi33_003,33,1967-12-17,False,0,0,0,0,0,False,False,False
uwi33_004,33,1968-03-06,False,0,0,0,0,0,False,False,False
uwi33_005,33,1968-04-12,True,0,0,0,0,0,False,False,False
uwi33_006,33,1968-11-25,False,0,0,0,0,0,False,False,False
uwi33_007,33,1968-12-26,False,0,0,0,0,0,False,False,False
uwi33_008,33,1970-02-14,False,0,0,0,0,0,False,False,False
uwi33_009,33,1970-04-07,True,0,0,0,0,0,False,False,False
uwi33_010,33,1970-06-04,True,0,0,0,0,0,False,False,False
uwi33_011,33,1971-01-02,False,0,0,0,0,0,False,False,False
uwi33_012,33,1972-03-18,False,0,0,0,0,0,False,False,False
uwi33_013,33,1973-01-19,False,0,0,0,0,0,False,False,False
uwi33_014,33,1973-01-26,False,0,0,0,0,0,False,False,False
uwi33_015,33,1974-07-22,True,0,0,0,0,0,False,False,False
uwi33_016,33,1974-12-22,False,0,0,0,0,0,False,False,False
uwi33_017,33,1975-12-31,False,0,0,0,0,0,False,False,False
uwi33_018,33,1977-03-01,False,0,0,0,0,0,False,False,False
uwi33_019,33,1977-04-09,True,0,0,0,0,0,False,False,False
uwi33_020,33,1977-11-19,False,0,0,0,0,0,False,False,False
uwi33_021,33,1978-03-10,False,0,0,0,0,0,False,False,False
uwi33_022,33,1978-09-07,True,0,0,0,0,0,False,False,False
uwi33_023,33,1978-12-02,False,0,0,0,0,0,False,False,False
uwi33_024,33,1980-10-26,True,0,0,0,0,0,False,False,False
uwi33_025,33,1981-03-05,False,0,0,0,0,0,False,False,False
uwi33_026,33,1981-05-02,True,0,0,0,0,0,False,False,False
