event_id,start_date,end_date,peak_date,intensity,duration_d,in_season
uwi_0032,1997-12-18 00:00:00+00:00,1997-12-19 00:00:00+00:00,1997-12-19 00:00:00+00:00,-97.2064625607145,1,False
uwi_0033,1998-03-26 00:00:00+00:00,1998-04-01 00:00:00+00:00,1998-04-01 00:00:00+00:00,297.6258510952379,6,False
uwi_0034,1998-09-19 00:00:00+00:00,1998-09-21 00:00:00+00:00,1998-09-21 00:00:00+00:00,135.83879292999976,2,True
uwi_0035,1998-12-14 00:00:00+00:00,1998-12-16 00:00:00+00:00,1998-12-16 00:00:00+00:00,66.62462234642834,2,False
uwi_0036,1999-02-09 00:00:00+00:00,1999-02-10 00:00:00+00:00,1999-02-10 00:00:00+00:00,-64.25575542857167,1,False
uwi_0037,1999-07-25 00:00:00+00:00,1999-07-26 00:00:00+00:00,1999-07-26 00:00:00+00:00,96.3164037571426,1,True
uwi_0038,1999-10-14 00:00:00+00:00,1999-10-15 00:00:00+00:00,1999-10-15 00:00:00+00:00,238.6887619428569,1,True
uwi_0039,1999-12-19 00:00:00+00:00,1999-12-20 00:00:00+00:00,1999-12-20 00:00:00+00:00,82.39578669642832,1,False
uwi_0040,2000-03-03 00:00:00+00:00,2000-03-06 00:00:00+00:00,2000-03-06 00:00:00+00:00,242.61926106071405,3,False
uwi_0041,2000-10-21 00:00:00+00:00,2000-10-23 00:00:00+00:00,2000-10-23 00:00:00+00:00,109.89132363214257,2,True
uwi_0042,2001-01-12 00:00:00+00:00,2001-01-16 00:00:00+00:00,2001-01-16 00:00:00+00:00,13.572895883333072,4,False
uwi_0043,2001-02-13 00:00:00+00:00,2001-02-14 00:00:00+00:00,2001-02-13 00:00:00+00:00,169.06680428214258,1,False
uwi_0044,2001-03-08 00:00:00+00:00,2001-03-17 00:00:00+00:00,2001-03-14 00:00:00+00:00,505.415563035714,9,False
uwi_0045,2001-04-21 00:00:00+00:00,2001-04-27 00:00:00+00:00,2001-04-27 00:00:00+00:00,157.62029614285686,6,True
uwi_0046,2001-06-29 00:00:00+00:00,2001-07-09 00:00:00+00:00,2001-07-06 00:00:00+00:00,485.2416146428568,10,True
uwi_0047,2001-07-13 00:00:00+00:00,2001-08-03 00:00:00+00:00,2001-07-19 00:00:00+00:00,374.24153821428536,21,True
uwi_0048,2001-12-09 00:00:00+00:00,2001-12-12 00:00:00+00:00,2001-12-12 00:00:00+00:00,241.84916214285678,3,False
uwi_0049,2002-01-13 00:00:00+00:00,2002-01-20 00:00:00+00:00,2002-01-19 00:00:00+00:00,242.36980464285676,7,False
uwi_0050,2002-05-30 00:00:00+00:00,2002-06-11 00:00:00+00:00,2002-06-10 00:00:00+00:00,1065.431073928571,12,True
uwi_0051,2002-10-26 00:00:00+00:00,2002-10-30 00:00:00+00:00,2002-10-27 00:00:00+00:00,124.95329729464251,4,True
uwi_0052,2003-02-20 00:00:00+00:00,2003-02-23 00:00:00+00:00,2003-02-23 00:00:00+00:00,104.80974456785673,3,False
uwi_0053,2004-09-02 00:00:00+00:00,2004-09-18 00:00:00+00:00,2004-09-08 00:00:00+00:00,210.20868553571384,16,True
uwi_0054,2004-12-20 00:00:00+00:00,2004-12-23 00:00:00+00:00,2004-12-23 00:00:00+00:00,148.73111551428525,3,False
uwi_0055,2005-02-05 00:00:00+00:00,2005-02-07 00:00:00+00:00,2005-02-06 00:00:00+00:00,113.67401211071385,2,False
uwi_0056,2005-04-09 00:00:00+00:00,2005-04-22 00:00:00+00:00,2005-04-20 00:00:00+00:00,221.69805078571383,13,True
uwi_0057,2005-07-12 00:00:00+00:00,2005-07-17 00:00:00+00:00,2005-07-17 00:00:00+00:00,213.1678558928567,5,True
uwi_0058,2006-03-18 00:00:00+00:00,2006-03-20 00:00:00+00:00,2006-03-20 00:00:00+00:00,80.01201497857096,2,False
uwi_0059,2006-12-27 00:00:00+00:00,2006-12-28 00:00:00+00:00,2006-12-28 00:00:00+00:00,9.498405042856648,1,False
uwi_0060,2007-12-07 00:00:00+00:00,2007-12-11 00:00:00+00:00,2007-12-11 00:00:00+00:00,182.10098192499953,4,False
uwi_0061,2008-07-06 00:00:00+00:00,2008-07-12 00:00:00+00:00,2008-07-12 00:00:00+00:00,217.32073799999958,6,True
uwi_0062,2008-11-09 00:00:00+00:00,2008-11-10 00:00:00+00:00,2008-11-10 00:00:00+00:00,55.226232628570976,1,False
uwi_0063,2009-01-09 00:00:00+00:00,2009-01-09 00:00:00+00:00,2009-01-09 00:00:00+00:00,67.71827129642811,0,False
uwi_0064,2009-02-07 00:00:00+00:00,2009-02-10 00:00:00+00:00,2009-02-10 00:00:00+00:00,78.5318846071424,3,False
uwi_0065,2009-09-17 00:00:00+00:00,2009-09-21 00:00:00+00:00,2009-09-21 00:00:00+00:00,136.57327943785668,4,True
uwi_0066,2010-03-17 00:00:00+00:00,2010-03-18 00:00:00+00:00,2010-03-18 00:00:00+00:00,64.47949225714238,1,False
uwi_0067,2010-06-07 00:00:00+00:00,2010-06-08 00:00:00+00:00,2010-06-08 00:00:00+00:00,59.4381253946424,1,True
uwi_0068,2011-05-29 00:00:00+00:00,2011-05-30 00:00:00+00:00,2011-05-29 00:00:00+00:00,90.47620553214243,1,True
uwi_0069,2011-09-28 00:00:00+00:00,2011-09-28 00:00:00+00:00,2011-09-28 00:00:00+00:00,77.80169038571385,0,True
uwi_0070,2012-03-18 00:00:00+00:00,2012-03-18 00:00:00+00:00,2012-03-18 00:00:00+00:00,-55.3403786528576,0,False
uwi_0071,2013-04-08 00:00:00+00:00,2013-04-24 00:00:00+00:00,2013-04-14 00:00:00+00:00,446.49203160714234,16,True
uwi_0072,2013-05-30 00:00:00+00:00,2013-06-23 00:00:00+00:00,2013-06-05 00:00:00+00:00,453.4385546428566,24,True
uwi_0073,2013-10-27 00:00:00+00:00,2013-10-28 00:00:00+00:00,2013-10-28 00:00:00+00:00,111.9823892999995,1,True
uwi_0074,2013-11-21 00:00:00+00:00,2013-11-22 00:00:00+00:00,2013-11-21 00:00:00+00:00,80.15927622142809,1,False
uwi_0075,2016-12-16 00:00:00+00:00,2016-12-18 00:00:00+00:00,2016-12-18 00:00:00+00:00,12.784924626070973,2,False
uwi_0076,2017-02-18 00:00:00+00:00,2017-02-18 00:00:00+00:00,2017-02-18 00:00:00+00:00,-6.069357685714749,0,False
uwi_0077,2018-04-30 00:00:00+00:00,2018-05-05 00:00:00+00:00,2018-05-05 00:00:00+00:00,178.99050196428524,5,True
uwi_0078,2018-05-10 00:00:00+00:00,2018-05-13 00:00:00+00:00,2018-05-13 00:00:00+00:00,234.2685405678567,3,True
uwi_0079,2018-11-30 00:00:00+00:00,2018-11-30 00:00:00+00:00,2018-11-30 00:00:00+00:00,-3.3087845821433097,0,False
uwi_0080,2020-02-02 00:00:00+00:00,2020-02-19 00:00:00+00:00,2020-02-12 00:00:00+00:00,291.521538928571,17,False
uwi_0081,2020-04-08 00:00:00+00:00,2020-04-09 00:00:00+00:00,2020-04-08 00:00:00+00:00,90.81002057857098,1,True
uwi_0082,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,-118.55684286071467,0,False
uwi_0083,2023-09-28 00:00:00+00:00,2023-10-04 00:00:00+00:00,2023-10-04 00:00:00+00:00,170.1380397499996,6,True
uwi_0084,2023-11-23 00:00:00+00:00,2023-11-25 00:00:00+00:00,2023-11-25 00:00:00+00:00,110.34147494821387,2,False
uwi_0085,2024-03-07 00:00:00+00:00,2024-03-08 00:00:00+00:00,2024-03-08 00:00:00+00:00,28.183264259642435,1,False
uwi_0086,2024-03-31 00:00:00+00:00,2024-04-05 00:00:00+00:00,2024-04-05 00:00:00+00:00,117.78275904999957,5,False
