event_id,start_date,end_date,peak_date,intensity,duration_d,in_season
uwi_0000,1967-11-19 00:00:00+00:00,1967-11-19 00:00:00+00:00,1967-11-19 00:00:00+00:00,-28.82870904285715,0,False
uwi_0001,1967-12-12 00:00:00+00:00,1967-12-14 00:00:00+00:00,1967-12-14 00:00:00+00:00,57.94409967642857,2,False
uwi_0002,1968-01-25 00:00:00+00:00,1968-01-26 00:00:00+00:00,1968-01-26 00:00:00+00:00,100.96052447157142,1,False
uwi_0003,1969-03-04 00:00:00+00:00,1969-03-07 00:00:00+00:00,1969-03-07 00:00:00+00:00,98.75829107142856,3,False
uwi_0004,1971-01-02 00:00:00+00:00,1971-01-03 00:00:00+00:00,1971-01-03 00:00:00+00:00,39.1087528892857,1,False
uwi_0005,1971-04-15 00:00:00+00:00,1971-04-21 00:00:00+00:00,1971-04-21 00:00:00+00:00,163.37909864285714,6,True
uwi_0006,1972-06-12 00:00:00+00:00,1972-07-02 00:00:00+00:00,1972-06-18 00:00:00+00:00,322.86139249999997,20,True
uwi_0007,1974-04-28 00:00:00+00:00,1974-05-17 00:00:00+00:00,1974-05-14 00:00:00+00:00,284.3556428214286,19,True
uwi_0008,1974-10-20 00:00:00+00:00,1974-10-22 00:00:00+00:00,1974-10-22 00:00:00+00:00,105.3748660875,2,True
uwi_0009,1977-01-03 00:00:00+00:00,1977-01-05 00:00:00+00:00,1977-01-05 00:00:00+00:00,38.03269346071432,2,False
uwi_0010,1978-02-10 00:00:00+00:00,1978-02-11 00:00:00+00:00,1978-02-11 00:00:00+00:00,-213.2839350892857,1,False
uwi_0011,1979-01-25 00:00:00+00:00,1979-01-29 00:00:00+00:00,1979-01-29 00:00:00+00:00,144.9313469107143,4,False
uwi_0012,1979-07-12 00:00:00+00:00,1979-07-16 00:00:00+00:00,1979-07-16 00:00:00+00:00,244.34555406428575,4,True
uwi_0013,1980-04-21 00:00:00+00:00,1980-04-23 00:00:00+00:00,1980-04-23 00:00:00+00:00,112.62150055749999,2,True
uwi_0014,1980-06-27 00:00:00+00:00,1980-07-02 00:00:00+00:00,1980-07-02 00:00:00+00:00,188.8326028571428,5,True
uwi_0015,1981-11-04 00:00:00+00:00,1981-11-05 00:00:00+00:00,1981-11-05 00:00:00+00:00,47.03919582499997,1,False
uwi_0016,1982-04-29 00:00:00+00:00,1982-04-30 00:00:00+00:00,1982-04-30 00:00:00+00:00,78.76590740714285,1,True
uwi_0017,1982-11-30 00:00:00+00:00,1982-12-01 00:00:00+00:00,1982-12-01 00:00:00+00:00,-3.261178610714304,1,False
uwi_0018,1982-12-23 00:00:00+00:00,1982-12-23 00:00:00+00:00,1982-12-23 00:00:00+00:00,-48.68158386785716,0,False
uwi_0019,1986-04-10 00:00:00+00:00,1986-04-13 00:00:00+00:00,1986-04-11 00:00:00+00:00,108.55259857964282,3,True
uwi_0020,1986-06-08 00:00:00+00:00,1986-06-10 00:00:00+00:00,1986-06-10 00:00:00+00:00,118.00126173571427,2,True
uwi_0021,1987-12-17 00:00:00+00:00,1987-12-19 00:00:00+00:00,1987-12-18 00:00:00+00:00,80.28784236785711,2,False
uwi_0022,1988-12-25 00:00:00+00:00,1988-12-28 00:00:00+00:00,1988-12-28 00:00:00+00:00,74.90554059642854,3,False
uwi_0023,1990-02-12 00:00:00+00:00,1990-02-15 00:00:00+00:00,1990-02-15 00:00:00+00:00,110.34506084999997,3,False
uwi_0024,1991-08-10 00:00:00+00:00,1991-08-11 00:00:00+00:00,1991-08-11 00:00:00+00:00,19.19576181071424,1,True
uwi_0025,1992-09-25 00:00:00+00:00,1992-09-27 00:00:00+00:00,1992-09-26 00:00:00+00:00,94.67759378714277,2,True
uwi_0026,1993-03-26 00:00:00+00:00,1993-03-26 00:00:00+00:00,1993-03-26 00:00:00+00:00,29.947176421428487,0,False
uwi_0027,1994-02-08 00:00:00+00:00,1994-02-08 00:00:00+00:00,1994-02-08 00:00:00+00:00,12.227151578571348,0,False
uwi_0028,1994-08-30 00:00:00+00:00,1994-09-02 00:00:00+00:00,1994-09-02 00:00:00+00:00,104.13165557464278,3,True
uwi_0029,1995-05-13 00:00:00+00:00,1995-05-14 00:00:00+00:00,1995-05-14 00:00:00+00:00,86.12604613214275,1,True
uwi_0030,1996-03-12 00:00:00+00:00,1996-03-23 00:00:00+00:00,1996-03-18 00:00:00+00:00,316.4206623289284,11,False
uwi_0031,1996-06-04 00:00:00+00:00,1996-06-23 00:00:00+00:00,1996-06-17 00:00:00+00:00,304.76216892857127,19,True
