eventID,time,lat,lon,depth_min,depth_max,gear,krill_m3,zoop_m3,n_taxa,date,cruise,bird_km2,krillbird_km2,effort_km2,mammal_km,whale_km
1,2004-07-26 16:41:00+00:00,38.0461,-123.563,1.0,50.0,Hoop Net,0.0196,55.5419,20,2004-07-26 00:00:00+00:00,1,148.33335,148.33335,,,
2,2004-07-26 18:18:00+00:00,38.0488,-123.4677,1.0,50.0,Hoop Net,0.4004,20.163700000000002,26,2004-07-26 00:00:00+00:00,1,97.9166625,110.95238571428571,,0.79996,0.8332999999999999
3,2004-07-26 20:26:00+00:00,38.0568,-123.183,1.0,50.0,Hoop Net,0.188,167.3632,29,2004-07-26 00:00:00+00:00,1,23.33335,33.3333,,2.3888833333333337,0.5555666666666667
4,2004-07-27 18:15:00+00:00,37.882,-123.475,1.0,50.0,Hoop Net,7.883,39.7669,29,2004-07-27 00:00:00+00:00,1,,,,2.1666,0.3333
5,2004-07-27 17:23:00+00:00,37.8833,-123.4276,1.0,50.0,Hoop Net,9.8773,42.0599,27,2004-07-27 00:00:00+00:00,1,,,,2.1666,0.3333
6,2004-07-27 16:41:00+00:00,37.8846,-123.3801,1.0,50.0,Hoop Net,10.569799999999999,44.4886,24,2004-07-27 00:00:00+00:00,1,,,,2.1666,0.3333
7,2004-07-27 15:45:00+00:00,37.8873,-123.2849,1.0,50.0,Hoop Net,3.9873999999999996,25.4679,51,2004-07-27 00:00:00+00:00,1,20.000000000000004,19.33334,,1.9999666666666664,0.66665
8,2004-07-28 15:50:00+00:00,37.7234,-123.1853,1.0,50.0,Hoop Net,3.4208,34.6557,47,2004-07-28 00:00:00+00:00,1,318.66662,305.3333,,0.8888666666666666,
9,2004-07-28 16:36:00+00:00,37.7246,-123.1378,1.0,50.0,Hoop Net,12.2336,87.6021,40,2004-07-28 00:00:00+00:00,1,222.38092857142857,177.14284285714285,,0.7777666666666666,0.6667
10,2004-07-27 14:26:00+00:00,37.8925,-123.095,1.0,50.0,Hoop Net,2.3186,29.9295,35,2004-07-27 00:00:00+00:00,1,49.444433333333336,35.55553333333333,,1.59998,
11,2004-07-28 15:17:00+00:00,37.7221,-123.233,1.0,50.0,Hoop Net,2.8986,19.0408,44,2004-07-28 00:00:00+00:00,1,93.99996000000002,89.99998000000001,,0.91665,1.0
12,2004-07-28 17:30:00+00:00,37.727,-123.0429,1.0,50.0,Hoop Net,11.151499999999999,288.1421,36,2004-07-28 00:00:00+00:00,1,205.55555,166.38889166666667,,0.9629333333333333,0.5
