species,n_cruise,E_coef,E_p,mobility_km,trophic_level
Common Murre,73,-0.0008395741757157335,0.3803899026259173,40.0,4.1
Sooty Shearwater,73,-7.423460741930749e-05,0.9499614127392281,300.0,4.0
Cassin's Auklet,71,0.0011162779096096265,0.3453244370591053,60.0,3.5
Western Gull,72,-0.00018621731736619574,0.721057072848047,40.0,3.9
Rhinoceros Auklet,71,-2.1725434843524334e-05,0.9532416919942484,60.0,3.9
Brandt's Cormorant,71,2.1011854972678137e-05,0.9811859494373508,20.0,4.1
Red-necked Phalarope,51,0.0005084638810650785,0.6313986446851747,200.0,3.4
Pink-footed Shearwater,60,0.0007135248083379882,0.5288791896696466,300.0,4.0
Northern Fulmar,51,0.0006853778466035878,0.3709783315374493,250.0,3.8
Black-footed Albatross,56,0.0006973529880456934,0.013417513441430148,400.0,4.2
California Gull,39,0.0005598234951863136,0.7372850261354109,50.0,3.9
Red Phalarope,34,0.0012434374265020522,0.20013234423552217,,
