model,n,r2,aic,bic,holdout,cv_rmse,cv_corr,cv_folds
A_env,1702.0,0.22399433446076955,5136.3699147781,5288.677575433833,,,,
B_env_prey,1702.0,0.2242109933279407,5137.894654228589,5295.641874193456,,,,
A_env,,,,,cruise,1.1366249333075593,0.11548376046670071,67.0
B_env_prey,,,,,cruise,1.1395911549265203,0.1191283029445799,67.0
A_env,,,,,event_id,1.4675447026391113,0.36780326621801285,7.0
B_env_prey,,,,,event_id,1.46851300594675,0.3556367823796856,7.0
