E->P,E->K,K->P|E,left_out
0.0024657727301310352,-0.0006890002576339149,0.01623408933479743,1
0.002514455704779083,-0.0007286598961154215,0.019860036783547776,2
0.0024211036288392,-0.000729161185970195,0.016881438437858144,3
0.002424031510691835,-0.0007009478178575146,0.02013628741531724,4
0.00201210488503861,-0.0011925557618804622,0.010723102808184296,5
0.002492703105750528,-0.0006419243398141196,0.013472573471861572,6
0.0021150580589333937,-0.0009283377515688881,0.018514056116344362,7
0.002467285821352169,-0.0007211014239938516,0.018078538393821963,8
0.002431102723939865,-0.0006942260335426301,0.018684354113823767,9
0.0027412477485494334,-0.0006685512915730441,0.01939166227945491,10
0.00251269126530616,-0.0005599517168716241,0.02034547659113218,11
0.0020749112237501656,-0.0006656914503279165,0.019045634040940874,12
0.002397024739150489,-0.0007271371723838752,0.016806113248527217,13
0.002413247217496375,-0.0004332555487290363,0.008723455696814323,14
0.0023919316759821135,-0.0007877223629016916,0.020025609995996008,15
0.0023608845695511347,-0.0008085176447045864,0.010682304290825588,16
0.0019752602537971738,-0.0012375851365742613,0.01151227848152837,17
0.0021624163654726386,-0.0009328874997551999,0.018370196167831226,18
0.002464266294778002,-0.0006655246845608345,0.010935763440632679,19
0.0024142735094730278,-0.0006685102381368719,0.016005885796900703,20
0.0024920956545065208,-0.0008349191641691549,0.020396354805314935,21
0.002174752388390656,-0.00037759211881955305,0.020063759414142665,22
0.0025306835914879937,-0.0006582632922166188,0.017973141919223015,23
0.002151924060487886,-0.000543126240212838,0.027346516091794986,24
0.002423646070423279,-0.0006765085142984272,0.01975476170560869,25
0.0024704275793080007,-0.000630448328557103,0.015880840321599424,26
0.0024214341265178184,-0.0006984806191756241,0.0136612157877757,27
0.0025961314784968643,-0.0006115180438762126,0.022545331395029258,28
0.0024479413924838487,-0.0006717330967977036,0.010490416642409931,29
0.00242249005140245,-0.0006984270051931741,0.022376858204214197,30
0.0024230054335999903,-0.0006940266487504918,0.014207085933610012,31
0.002422423667444457,-0.0007266103532932043,0.01823654097561489,32
0.002580348182985706,-0.0005029494773065157,0.012345051642267141,33
0.0024731424270534826,-0.0006702477104625459,0.0164340463810909,34
0.002448043106489331,-0.0006525170098801083,0.019553954736600782,35
0.0023927693153559543,-0.0006686381150450623,0.015829984114347172,36
0.002447024510561685,-0.0007614420751000855,0.022885801941532675,37
0.00242214981874242,-0.0006521011112654899,0.025018834711837686,38
0.002460765091174869,-0.0006454454916527165,0.017273335835676782,39
0.0024736210398260614,-0.000719408696550369,0.01933638311766511,40
0.0023967415292900844,-0.00067529208172533,0.020296595588560628,41
0.002419392661870734,-0.0007153727725329297,0.018411725642442825,42
0.0024358467072925,-0.0007182814494969185,0.01860609403775518,43
0.0024642969918572902,-0.0007875141915082086,0.01606645789408038,44
0.0024123045198437124,-0.000753476579843086,0.027140533000458295,45
0.002383706786989985,-0.0006556564741793037,0.021885604613685373,46
0.0024200050012555797,-0.0006653201532073989,0.030919939125795534,47
0.002402988068090217,-0.0007878714389391365,0.018386221211632064,48
0.0024055668303314295,-0.0007179277301442077,0.018888818808535324,49
0.002394715509390791,-0.0007010205173916779,0.012821361806966946,50
0.0023598263888520506,-0.0007893508830135773,0.015880511666501274,51
0.002442953198007013,-0.0006939002224494869,0.013876623957807036,52
0.00219851369498903,-0.000686502603266114,0.018208747668960974,53
0.002356822603389278,-0.0006178468390593688,0.02168187956820492,54
0.0023854368181978097,-0.0006298532584280872,0.019911336071806257,55
0.0024552679967121045,-0.0007175450954773293,0.018104063720387784,56
0.0024580198873642716,-0.0006755407936814335,0.017316180111822854,57
0.0024230532881762464,-0.0007192621723250609,0.01812452622986076,58
0.002660387103217325,-0.0007760703279668653,0.020479666227510487,59
0.002363747688451099,-0.0008200189513925898,0.013155835005611051,60
0.002583629858058624,-0.0005536438059890733,0.01531872564386933,61
0.002417314805622796,-0.0006924346424736549,0.01743864698372791,62
0.0024352721899350374,-0.0006865975039152487,0.018582380338111666,63
0.002401295703414072,-0.0007068630943060829,0.01837997012236667,64
0.0024396168344821664,-0.0007083736818151015,0.027131512706594165,65
0.0024037992595463496,-0.0006719490689220228,0.01947492039093577,66
0.0024327750170379235,-0.0006765083066512827,0.01725277814990373,67
0.002390449111817377,-0.0008614709856115387,0.017218856715574223,68
0.002422142050126685,-0.0007690132990455135,0.018338170689455008,69
0.0023879985478908665,-0.0007217894225250466,0.01716736564827375,70
0.0024465754200269033,-0.0007102293761899672,0.01874695488669981,71
0.0025647558538425424,-0.000653727387136545,0.01679928939812199,73
