estimate,full,loeo_min,loeo_max,loeo_median,sign_reversals,largest_influence
E->P,0.002424788952168636,0.0019752602537971738,0.0027412477485494334,0.0024224568594234533,0,17
E->K,-0.0006959290900767145,-0.0012375851365742613,-0.00037759211881955305,-0.000694126341146561,0,17
K->P|E,0.018370091651277773,0.008723455696814323,0.030919939125795534,0.01828735583253495,0,47
