test,coef,p,n
temporal_placebo_UWI_shift_-60d,0.00040974327183793135,0.2926911158910708,1702
temporal_placebo_UWI_shift_-30d,0.0010279494420768426,0.05451995351472701,1702
temporal_placebo_UWI_shift_+30d,-7.349444593048626e-05,0.8747105171429795,1702
temporal_placebo_UWI_shift_+60d,-0.0009751643071345692,0.011378610725972639,1699
trophic_placebo_future_prey+7d,0.7760375752043048,0.0,58
reverse_time_E+7d->P,-0.00045016016692066307,0.3109237111682823,1702
forward_E->P_benchmark,0.002424788952168636,0.0004441227438583347,1702
