model,n,r2,aic,bic,E_coef,E_p,K_coef,K_p
M0_env_only,1702,0.22399433446076955,5136.3699147781,5288.677575433833,0.002700137039542832,0.0002016804627000256,,
M1_prey_only,1702,0.19801413054902584,5190.418761801277,5337.286863147876,,,0.011373444630042685,0.6753914422158132
M2_env_plus_prey,1702,0.2242109933279407,5137.894654228589,5295.641874193456,0.002704882693216371,0.0001915447222295815,0.014958302839433703,0.5960343807495333
M2b_two_prey,1702,0.22575073784774347,5136.513258959327,5299.700038233326,0.002720538200814413,0.00018633262185281657,0.04239250244999255,0.06139392548216819
env_to_prey,1702,0.3096137467969977,5513.169728717277,5665.477389373011,-0.00031725883108503977,0.5658356863574976,,
