path,coef,ci_lo,ci_hi
E->K,-0.00031725883108503977,-0.0024929417478360616,0.0008671472481296632
K->P|E,0.014958302839433703,-0.05442122466499575,0.07015222299584564
indirect E->K->P,-4.745653673854768e-06,-0.00010078777217273939,6.631382207881103e-05
direct E->P|K,0.002704882693216371,2.9720826670432925e-06,0.004331723867580689
total E->P,0.002700137039542832,-5.4839942924515376e-06,0.00431917482522512
attenuation (total-direct)/total,-0.0017575603030661059,,
