store_name,open_date,open_year,open_month,prefecture,city
豊中店,1995.07.15,1995,7,大阪府,豊中市
加古川店,1996.08.08,1996,8,兵庫県,加古川市
守口店,1997.03.25,1997,3,大阪府,守口市
富士店,1997.12.18,1997,12,静岡県,富士市
千種店,1998.06.30,1998,6,愛知県,名古屋市千種区
東大阪店,1998.08.03,1998,8,大阪府,東大阪市
大宮店,1998.11.13,1998,11,埼玉県,さいたま市大宮区
JR尼崎駅前店,1999.11.11,1999,11,兵庫県,尼崎市
鳴海店,2000.03.01,2000,3,愛知県,名古屋市緑区
伊丹店,2000.06.02,2000,6,兵庫県,伊丹市
わらび店,2000.11.28,2000,11,埼玉県,蕨市
南砂店,2000.11.29,2000,11,東京都,江東区
京都河原町店,2001.03.17,2001,3,京都府,京都市中京区
東淀川店,2001.04.26,2001,4,大阪府,大阪市東淀川区
三宮駅前店,2001.08.01,2001,8,兵庫県,神戸市中央区
横浜綱島店,2001.11.01,2001,11,神奈川県,横浜市港北区
横浜駅西口店,2002.04.27,2002,4,神奈川県,横浜市西区
広島店,2003.12.25,2003,12,広島県,広島市中区
福岡天神店,2004.03.13,2004,3,福岡県,福岡市中央区
京都伏見店,2004.07.25,2004,7,京都府,京都市伏見区
町田店,2004.07.29,2004,7,東京都,町田市
高槻店,2004.12.03,2004,12,大阪府,高槻市
川崎大師店,2004.12.11,2004,12,神奈川県,川崎市川崎区
堺中央環状店,2004.12.18,2004,12,大阪府,堺市東区
中川1号線店,2005.03.12,2005,3,愛知県,名古屋市中川区
城東放出店,2005.04.23,2005,4,大阪府,大阪市城東区
堺駅前店,2005.07.30,2005,7,大阪府,堺市堺区
熊本店,2005.10.22,2005,10,熊本県,熊本市西区
新潟店,2005.10.24,2005,10,新潟県,新潟市中央区
宇都宮店,2005.10.28,2005,10,栃木県,宇都宮市
小倉店,2005.11.03,2005,11,福岡県,北九州市小倉北区
鹿児島宇宿店,2005.11.23,2005,11,鹿児島県,鹿児島市
福島店,2005.12.16,2005,12,福島県,福島市
名古屋西春店,2005.12.16,2005,12,愛知県,北名古屋市
朝霞店,2006.03.11,2006,3,埼玉県,朝霞市
板橋店,2006.04.22,2006,4,東京都,板橋区
金沢店,2006.06.10,2006,6,石川県,金沢市
上尾店,2006.08.05,2006,8,埼玉県,上尾市
佐賀店,2006.11.03,2006,11,佐賀県,佐賀市
長野店,2006.11.18,2006,11,長野県,長野市
さいたま・栗橋店,2006.12.09,2006,12,埼玉県,久喜市
郡山店,2006.12.16,2006,12,福島県,郡山市
秋田店,2006.12.21,2006,12,秋田県,秋田市
大分店,2006.12.22,2006,12,大分県,大分市
入間店,2006.12.28,2006,12,埼玉県,入間市
宮崎店,2006.12.28,2006,12,宮崎県,宮崎市
半田店,2007.02.24,2007,2,愛知県,半田市
高松店,2007.03.10,2007,3,香川県,高松市
函館店,2007.03.10,2007,3,北海道,函館市
旭川店,2007.03.24,2007,3,北海道,旭川市
和歌山店,2007.04.21,2007,4,和歌山県,和歌山市
札幌北21条店,2007.06.16,2007,6,北海道,札幌市東区
博多・半道橋店,2007.08.04,2007,8,福岡県,福岡市博多区
盛岡店,2007.08.10,2007,8,岩手県,盛岡市
豊橋店,2007.10.27,2007,10,愛知県,豊橋市
みえ・川越IC店,2007.12.15,2007,12,三重県,三重郡川越町
浜松店,2007.12.20,2007,12,静岡県,浜松市中央区
前橋店,2007.12.21,2007,12,群馬県,前橋市
青森店,2007.12.22,2007,12,青森県,青森市
岡山妹尾店,2008.03.01,2008,3,岡山県,岡山市南区
札幌・白石本通店,2008.03.15,2008,3,北海道,札幌市白石区
姫路飾磨店,2008.04.26,2008,4,兵庫県,姫路市
草加店,2008.08.09,2008,8,埼玉県,草加市
大野城店,2008.10.25,2008,10,福岡県,大野城市
福山店,2008.12.20,2008,12,広島県,福山市
武蔵村山店,2009.02.14,2009,2,東京都,武蔵村山市
沖縄・宜野湾店,2009.02.21,2009,2,沖縄県,宜野湾市
岸和田店,2009.03.14,2009,3,大阪府,岸和田市
津・高茶屋店,2009.03.19,2009,3,三重県,津市
市原店,2009.03.29,2009,3,千葉県,市原市
仙台苦竹店,2009.04.24,2009,4,宮城県,仙台市宮城野区
沖縄・南風原店,2009.04.25,2009,4,沖縄県,南風原町
徳島・万代店,2009.06.20,2009,6,徳島県,徳島市
さいたま・上里店,2009.07.04,2009,7,埼玉県,児玉郡上里町
習志野店,2009.07.11,2009,7,千葉県,習志野市
ららぽーと新三郷店,2009.09.17,2009,9,埼玉県,三郷市
高知店,2009.10.09,2009,10,高知県,高知市
静岡・駿河店,2009.10.10,2009,10,静岡県,静岡市駿河区
市川鬼高店,2009.12.12,2009,12,千葉県,市川市
さいたま・鴻巣店,2010.03.20,2010,3,埼玉県,鴻巣市
松山店,2010.07.17,2010,7,愛媛県,松山市
府中本町駅前店,2011.03.12,2011,3,東京都,府中市
梅田店,2011.03.25,2011,3,大阪府,大阪市北区
モレラ岐阜店,2011.09.17,2011,9,岐阜県,本巣市
ダイバーシティ東京 プラザ店,2012.04.19,2012,4,東京都,江東区
