iso3,asset,year,value
BEL,N11G,1970,36989124000.0
BEL,N11G,1970,36989124000.0
FIN,N11G,1970,20459364000.0
FIN,N11G,1970,20459364000.0
ESP,N11G,1970,74268967000.0
ESP,N11G,1970,74268967000.0
BEL,N11G,1971,36286124000.0
BEL,N11G,1971,36286124000.0
FIN,N11G,1971,21203720000.0
FIN,N11G,1971,21203720000.0
ESP,N11G,1971,72040200000.0
ESP,N11G,1971,72040200000.0
BEL,N11G,1972,37517967000.0
BEL,N11G,1972,37517967000.0
FIN,N11G,1972,22593942000.0
FIN,N11G,1972,22593942000.0
ESP,N11G,1972,82271010000.0
ESP,N11G,1972,82271010000.0
BEL,N11G,1973,40152993000.0
BEL,N11G,1973,40152993000.0
FIN,N11G,1973,24516012000.0
FIN,N11G,1973,24516012000.0
ESP,N11G,1973,92965602000.0
ESP,N11G,1973,92965602000.0
BEL,N11G,1974,42938873000.0
BEL,N11G,1974,42938873000.0
FIN,N11G,1974,25295825000.0
FIN,N11G,1974,25295825000.0
ESP,N11G,1974,98730156000.0
ESP,N11G,1974,98730156000.0
BEL,N11G,1975,42137079000.0
BEL,N11G,1975,42137079000.0
FIN,N11G,1975,26807480000.0
FIN,N11G,1975,26807480000.0
ESP,N11G,1975,94287160000.0
ESP,N11G,1975,94287160000.0
BEL,N11G,1976,43819809000.0
BEL,N11G,1976,43819809000.0
FIN,N11G,1976,24846027000.0
FIN,N11G,1976,24846027000.0
ESP,N11G,1976,93532607000.0
ESP,N11G,1976,93532607000.0
BEL,N11G,1977,43838188000.0
BEL,N11G,1977,43838188000.0
FIN,N11G,1977,23999882000.0
FIN,N11G,1977,23999882000.0
ESP,N11G,1977,92690822000.0
ESP,N11G,1977,92690822000.0
BEL,N11G,1978,45049981000.0
BEL,N11G,1978,45049981000.0
FIN,N11G,1978,22161556000.0
FIN,N11G,1978,22161556000.0
ESP,N11G,1978,90188730000.0
ESP,N11G,1978,90188730000.0
BEL,N11G,1979,43824030000.0
BEL,N11G,1979,43824030000.0
FIN,N11G,1979,23059243000.0
FIN,N11G,1979,23059243000.0
ESP,N11G,1979,86219693000.0
ESP,N11G,1979,86219693000.0
BEL,N11G,1980,49341543000.0
BEL,N11G,1980,49341543000.0
ESP,N11G,1980,86823045000.0
ESP,N11G,1980,86823045000.0
BEL,N11G,1981,41676905000.0
BEL,N11G,1981,41676905000.0
ESP,N11G,1981,85389739000.0
ESP,N11G,1981,85389739000.0
BEL,N11G,1982,40009829000.0
BEL,N11G,1982,40009829000.0
ESP,N11G,1982,86251193000.0
ESP,N11G,1982,86251193000.0
BEL,N11G,1983,37884411000.0
BEL,N11G,1983,37884411000.0
ESP,N11G,1983,85186871000.0
ESP,N11G,1983,85186871000.0
BEL,N11G,1984,38771749000.0
BEL,N11G,1984,38771749000.0
ESP,N11G,1984,81113343000.0
ESP,N11G,1984,81113343000.0
BEL,N11G,1985,40503104000.0
BEL,N11G,1985,40503104000.0
ESP,N11G,1985,86546674000.0
ESP,N11G,1985,86546674000.0
