hour_band,deaths,sameday_RR_+9C,sameday_lo,sameday_hi,cumRR_+9C,cum_lo,cum_hi,dispersion_phi
00-05,54305,1.176,1.108,1.249,1.098,0.964,1.25,1.216
06-11,51138,1.062,1.001,1.127,1.01,0.891,1.145,1.197
12-17,77065,1.217,1.16,1.276,1.057,0.951,1.175,1.22
18-23,88912,1.185,1.133,1.241,1.113,1.007,1.23,1.196
