year,heat_deaths_X30
1999,594
2000,301
2001,300
2002,350
2003,273
2004,226
2005,466
2006,622
2007,309
2008,296
2009,352
2010,474
2011,587
2012,474
2013,372
2014,244
2015,339
2016,458
2017,465
2018,535
2019,505
2020,672
