date,vmt,gasoline
2016-01-01,239679,8159
2016-01-02,239679,8159
2016-01-03,239679,8159
2016-01-04,239679,8159
2016-01-05,239679,8159
2016-01-06,239679,8159
2016-01-07,239679,8159
2016-01-08,239679,8500
2016-01-09,239679,8500
2016-01-10,239679,8500
2016-01-11,239679,8500
2016-01-12,239679,8500
2016-01-13,239679,8500
2016-01-14,239679,8500
2016-01-15,239679,9079
2016-01-16,239679,9079
2016-01-17,239679,9079
2016-01-18,239679,9079
2016-01-19,239679,9079
2016-01-20,239679,9079
2016-01-21,239679,9079
2016-01-22,239679,8941
2016-01-23,239679,8941
2016-01-24,239679,8941
2016-01-25,239679,8941
2016-01-26,239679,8941
2016-01-27,239679,8941
2016-01-28,239679,8941
2016-01-29,239679,8341
2016-01-30,239679,8341
2016-01-31,239679,8341
2016-02-01,223011,8341
2016-02-02,223011,8341
2016-02-03,223011,8341
2016-02-04,223011,8341
2016-02-05,223011,9122
2016-02-06,223011,9122
2016-02-07,223011,9122
2016-02-08,223011,9122
2016-02-09,223011,9122
2016-02-10,223011,9122
2016-02-11,223011,9122
2016-02-12,223011,9203
2016-02-13,223011,9203
2016-02-14,223011,9203
2016-02-15,223011,9203
2016-02-16,223011,9203
2016-02-17,223011,9203
2016-02-18,223011,9203
2016-02-19,223011,9576
2016-02-20,223011,9576
2016-02-21,223011,9576
2016-02-22,223011,9576
2016-02-23,223011,9576
2016-02-24,223011,9576
2016-02-25,223011,9576
2016-02-26,223011,9121
2016-02-27,223011,9121
2016-02-28,223011,9121
2016-02-29,223011,9121
2016-03-01,265147,9121
2016-03-02,265147,9121
2016-03-03,265147,9121
2016-03-04,265147,9411
2016-03-05,265147,9411
2016-03-06,265147,9411
2016-03-07,265147,9411
2016-03-08,265147,9411
2016-03-09,265147,9411
2016-03-10,265147,9411
2016-03-11,265147,9458
2016-03-12,265147,9458
2016-03-13,265147,9458
2016-03-14,265147,9458
2016-03-15,265147,9458
2016-03-16,265147,9458
2016-03-17,265147,9458
2016-03-18,265147,9503
2016-03-19,265147,9503
2016-03-20,265147,9503
2016-03-21,265147,9503
2016-03-22,265147,9503
2016-03-23,265147,9503
2016-03-24,265147,9503
2016-03-25,265147,9244
2016-03-26,265147,9244
2016-03-27,265147,9244
2016-03-28,265147,9244
2016-03-29,265147,9244
2016-03-30,265147,9244
2016-03-31,265147,9244
2016-04-01,269653,9224
2016-04-02,269653,9224
2016-04-03,269653,9224
2016-04-04,269653,9224
2016-04-05,269653,9224
2016-04-06,269653,9224
2016-04-07,269653,9224
2016-04-08,269653,9633
2016-04-09,269653,9633
2016-04-10,269653,9633
2016-04-11,269653,9633
2016-04-12,269653,9633
2016-04-13,269653,9633
2016-04-14,269653,9633
2016-04-15,269653,9444
2016-04-16,269653,9444
2016-04-17,269653,9444
2016-04-18,269653,9444
2016-04-19,269653,9444
2016-04-20,269653,9444
2016-04-21,269653,9444
2016-04-22,269653,9315
2016-04-23,269653,9315
2016-04-24,269653,9315
2016-04-25,269653,9315
2016-04-26,269653,9315
2016-04-27,269653,9315
2016-04-28,269653,9315
2016-04-29,269653,9502
2016-04-30,269653,9502
2016-05-01,277972,9502
2016-05-02,277972,9502
2016-05-03,277972,9502
2016-05-04,277972,9502
2016-05-05,277972,9502
2016-05-06,277972,9658
2016-05-07,277972,9658
2016-05-08,277972,9658
2016-05-09,277972,9658
2016-05-10,277972,9658
2016-05-11,277972,9658
2016-05-12,277972,9658
2016-05-13,277972,9755
2016-05-14,277972,9755
2016-05-15,277972,9755
2016-05-16,277972,9755
2016-05-17,277972,9755
2016-05-18,277972,9755
2016-05-19,277972,9755
2016-05-20,277972,9516
2016-05-21,277972,9516
2016-05-22,277972,9516
2016-05-23,277972,9516
2016-05-24,277972,9516
2016-05-25,277972,9516
2016-05-26,277972,9516
2016-05-27,277972,9716
2016-05-28,277972,9716
2016-05-29,277972,9716
2016-05-30,277972,9716
2016-05-31,277972,9716
2016-06-01,276991,9716
2016-06-02,276991,9716
2016-06-03,276991,9568
2016-06-04,276991,9568
2016-06-05,276991,9568
2016-06-06,276991,9568
2016-06-07,276991,9568
2016-06-08,276991,9568
2016-06-09,276991,9568
2016-06-10,276991,9762
2016-06-11,276991,9762
2016-06-12,276991,9762
2016-06-13,276991,9762
2016-06-14,276991,9762
2016-06-15,276991,9762
2016-06-16,276991,9762
2016-06-17,276991,9815
2016-06-18,276991,9815
2016-06-19,276991,9815
2016-06-20,276991,9815
2016-06-21,276991,9815
2016-06-22,276991,9815
2016-06-23,276991,9815
2016-06-24,276991,9709
2016-06-25,276991,9709
2016-06-26,276991,9709
2016-06-27,276991,9709
2016-06-28,276991,9709
2016-06-29,276991,9709
2016-06-30,276991,9709
2016-07-01,285160,9755
2016-07-02,285160,9755
2016-07-03,285160,9755
2016-07-04,285160,9755
2016-07-05,285160,9755
2016-07-06,285160,9755
2016-07-07,285160,9755
2016-07-08,285160,9671
2016-07-09,285160,9671
2016-07-10,285160,9671
2016-07-11,285160,9671
2016-07-12,285160,9671
2016-07-13,285160,9671
2016-07-14,285160,9671
2016-07-15,285160,9785
2016-07-16,285160,9785
2016-07-17,285160,9785
2016-07-18,285160,9785
2016-07-19,285160,9785
2016-07-20,285160,9785
2016-07-21,285160,9785
2016-07-22,285160,9797
2016-07-23,285160,9797
2016-07-24,285160,9797
2016-07-25,285160,9797
2016-07-26,285160,9797
2016-07-27,285160,9797
2016-07-28,285160,9797
2016-07-29,285160,9752
2016-07-30,285160,9752
2016-07-31,285160,9752
2016-08-01,279213,9752
2016-08-02,279213,9752
2016-08-03,279213,9752
2016-08-04,279213,9752
2016-08-05,279213,9769
2016-08-06,279213,9769
2016-08-07,279213,9769
2016-08-08,279213,9769
2016-08-09,279213,9769
2016-08-10,279213,9769
2016-08-11,279213,9769
2016-08-12,279213,9762
2016-08-13,279213,9762
