window,rr,lo,hi
lag0-0,0.9402396449775963,0.7429875995392766,1.1898591450729357
lag1-3,1.146482873327476,0.7388013530922273,1.779129089750247
lag4-10,0.5211906898135401,0.21748841512303507,1.2489848482028103
