state,year,population,vmt_millions
1,2016,4863300,69226.97080546399
1,2017,4874747,70677.2481983
1,2018,4887871,71167.206753855
1,2019,4903185,71734.627810505
1,2020,5031864,67921.49684
1,2021,5050380,71892.03136
1,2022,5073903,71630.53914
2,2016,741894,5258.555817806
2,2017,739795,5518.716306595001
2,2018,737438,5487.3199944299995
2,2019,731545,5881.303127635
2,2020,732964,5305.88855
2,2021,734923,5752.18765
2,2022,733276,5478.20939
4,2016,6931071,65785.73003806801
4,2017,7016270,65069.578937590006
4,2018,7171646,66144.51120536
4,2019,7278717,70280.64646826
4,2020,7186683,65758.27912
4,2021,7272487,73759.95568
4,2022,7365684,76159.31155
5,2016,2988248,35754.7968954
5,2017,3004279,36389.325154349994
5,2018,3013825,36675.309046815004
5,2019,3017804,37099.019817925
5,2020,3014348,33918.76191
5,2021,3028443,38426.80577
5,2022,3046404,38530.47256
6,2016,39250017,340114.936761588
6,2017,39536653,343862.11240325496
6,2018,39557045,348795.71345636505
6,2019,39512223,340836.25151884503
6,2020,39503200,299811.68307
6,2021,39145060,310822.72591
6,2022,39040616,315243.5726
8,2016,5540545,52151.611114499996
8,2017,5607154,53382.1027203
8,2018,5695564,53953.60750375
8,2019,5758736,54633.5545099
8,2020,5785219,48642.0466
8,2021,5811596,53839.70626
8,2022,5841039,53935.28656
9,2016,3576452,31638.5690036
9,2017,3588184,31500.061535999997
9,2018,3572665,31595.705327999996
9,2019,3565287,31600.848355499995
9,2020,3577586,29844.93826
9,2021,3603691,28988.54262
9,2022,3608706,29666.31429
10,2016,952065,10177.585228720001
10,2017,961939,10466.9069998
10,2018,967171,10179.38380645
10,2019,973764,10245.158916149998
10,2020,991862,8345.22961
10,2021,1004881,10152.42445
10,2022,1019459,9872.39943
11,2016,681170,3621.95929807
11,2017,693972,3715.86458485
11,2018,702455,3690.67797093
11,2019,705749,3756.0697547099994
11,2020,670839,3030.47397
11,2021,669037,3247.77543
11,2022,670949,3420.7313
12,2016,20612439,215550.74934816203
12,2017,20984400,218825.80341022
12,2018,21299325,221815.74065528996
12,2019,21477737,226514.416127425
12,2020,21591299,208075.91888
12,2021,21830708,217566.37694
12,2022,22245521,227757.13742
13,2016,10310371,122802.18588081
13,2017,10429379,124733.39436230001
13,2018,10519475,131455.53277535
13,2019,10617423,133127.658222525
13,2020,10732390,115966.8266
13,2021,10790385,120685.22407
13,2022,10913150,128871.05571
15,2016,1428557,10635.428443076002
15,2017,1427538,10748.619469215
15,2018,1420491,10886.767746784999
15,2019,1415872,11024.004901465
15,2020,1451181,8785.36654
15,2021,1446745,9971.96374
15,2022,1439399,10289.07568
16,2016,1683140,17198.71535679
16,2017,1716943,17300.371938185
16,2018,1754208,17709.145773999997
16,2019,1787065,18057.661576
16,2020,1849339,17406.41762
16,2021,1904537,19308.17008
16,2022,1938996,19157.40384
17,2016,12801539,107314.10271404001
17,2017,12802023,108011.25529870002
17,2018,12741080,107954.25392300001
17,2019,12671821,107524.64446635
17,2020,12790357,94120.59736
17,2021,12690341,97529.583
17,2022,12582515,103752.18688
18,2016,6633053,83182.775677446
18,2017,6666818,81751.85676791001
18,2018,6691878,81528.81180214
18,2019,6732219,82719.122994095
18,2020,6789098,76607.74049
18,2021,6813798,78640.39604
18,2022,6832274,95684.40578
19,2016,3134693,33336.972029712
19,2017,3145711,33482.087686754996
19,2018,3156145,33282.400039219996
19,2019,3155070,33537.019038245
19,2020,3190904,29751.49674
19,2021,3197944,33039.27764
19,2022,3199693,32712.07528
20,2016,2907289,32102.609713276
20,2017,2913123,32258.18896193
20,2018,2911505,32190.41297541
20,2019,2913314,31842.51992827
20,2020,2938124,27853.80189
20,2021,2937946,31692.83414
20,2022,2936716,31333.6436
21,2016,4436974,49312.71799714799
21,2017,4454189,49239.33409581
21,2018,4468402,49543.60623531
21,2019,4467673,49410.331813945006
21,2020,4508155,46535.80644
21,2021,4507600,48111.36861
21,2022,4511563,48047.12396
22,2016,4681666,49155.612969680005
22,2017,4684333,49220.897660890005
22,2018,4659978,50045.427448689996
22,2019,4648794,51360.303241625006
22,2020,4652022,48374.10643
22,2021,4627047,54727.65668
22,2022,4588023,56514.03597
23,2016,1331479,14838.257522859998
23,2017,1335907,14738.117894349998
23,2018,1338404,14783.554893215
23,2019,1344212,14871.468159209999
23,2020,1364517,13086.41725
23,2021,1378787,14559.825
23,2022,1389338,14651.08971
24,2016,6016447,59137.327158162
24,2017,6052177,60044.56431663
24,2018,6042718,59775.435469209995
24,2019,6045680,60215.89373873499
24,2020,6173689,50885.12383
24,2021,6175045,56601.20181
24,2022,6163981,56745.83
25,2016,6811779,61824.851347322
25,2017,6859819,62660.411372040006
25,2018,6902149,66771.98072728
25,2019,6892503,64889.78223669
25,2020,6997713,54126.82558
25,2021,6991951,59114.98426
25,2022,6982740,56948.96409
26,2016,9928300,99432.538091224
26,2017,9962311,101757.19869487999
26,2018,9995915,102397.55749381
26,2019,9986857,102173.71754489999
26,2020,10070627,86546.99493
26,2021,10038117,96744.48614
26,2022,10033281,95900.79387
27,2016,5519952,59028.801692746
27,2017,5576606,59970.853922605
27,2018,5611179,60438.31408573499
27,2019,5639632,60730.981097209995
27,2020,5710578,51619.44114
27,2021,5717968,57171.10937
27,2022,5714300,57470.62375
28,2016,2988726,40754.708862711996
28,2017,2984100,40877.0980214
28,2018,2986530,40730.43949037
28,2019,2976149,41090.910551245004
28,2020,2958409,39665.08749
28,2021,2949582,40852.82524
28,2022,2938928,39951.71948
29,2016,6093000,74018.576463324
29,2017,6113532,75911.31624014
29,2018,6126452,76594.99928237499
29,2019,6137428,79168.24987535499
29,2020,6154426,72797.03699
29,2021,6170393,79790.92724
29,2022,6177168,79430.84512
30,2016,1042520,12598.722871646
30,2017,1050493,12644.672358210002
30,2018,1062305,12699.635990409999
30,2019,1068778,12891.947533145001
30,2020,1087211,12104.09134
30,2021,1106366,13481.66866
30,2022,1122878,13513.7801
31,2016,1907116,20699.91599513
31,2017,1920076,21002.014792975
31,2018,1929268,20974.73509338
31,2019,1934408,21241.79215795
31,2020,1963273,19431.86472
31,2021,1964253,21209.66629
31,2022,1968060,21270.32889
32,2016,2940058,26787.98835966
32,2017,2998039,27587.0097148
32,2018,3034392,28319.012170865004
32,2019,3080156,28793.737433169998
32,2020,3115840,25231.34636
32,2021,3146632,27076.608
32,2022,3177421,27647.35686
33,2016,1334795,13512.596543442
33,2017,1342795,13681.376626409998
33,2018,1356458,13776.47305627
33,2019,1359711,13828.12148337
33,2020,1378702,11956.25576
33,2021,1387494,13129.80771
33,2022,1399003,13280.56343
34,2016,8944469,77092.63215634
34,2017,9005644,77508.6023092
34,2018,8908520,77538.9111719
34,2019,8882190,78205.29719884
34,2020,9272392,66341.14996
34,2021,9269175,73672.75741
34,2022,9260817,75287.57049
35,2016,2081015,27885.520839390003
35,2017,2088070,27835.850140000002
35,2018,2095428,27288.306972110004
35,2019,2096829,27772.075050395004
35,2020,2118488,23756.4356
35,2021,2116950,26823.40324
35,2022,2113476,26831.44829
36,2016,19745289,122336.68341
36,2017,19849399,123476.60463155
36,2018,19542209,123510.39863334999
36,2019,19453561,123986.15432095001
36,2020,20104710,102476.87454
36,2021,19854526,106869.759
36,2022,19673200,115382.3147
37,2016,10146788,116748.68091797401
37,2017,10273419,119176.368633175
37,2018,10383620,121127.248623565
37,2019,10488084,122474.65401815
37,2020,10453812,106342.36536
37,2021,10567100,117734.43391
37,2022,10695965,119381.03823
38,2016,757952,9739.208759072
38,2017,755393,9716.836373594999
38,2018,760077,9855.663668585
38,2019,762062,9826.068270985
38,2020,779563,8767.60078
38,2021,777982,9255.66642
38,2022,778912,9179.77305
39,2016,11614373,118607.62234272
39,2017,11658609,119597.96667565999
39,2018,11689442,114474.440635965
39,2019,11689100,114693.588622295
39,2020,11798292,103114.93613
39,2021,11765227,112923.01605
39,2022,11759697,110577.51033
40,2016,3923561,49013.277923400005
40,2017,3930864,49402.260404
40,2018,3943079,45433.01281915
40,2019,3956971,44648.2366062
40,2020,3965234,42000.17854
40,2021,3991634,44759.7607
40,2022,4019271,44565.77349
41,2016,4093465,36719.1886566
41,2017,4142776,36752.8832912
41,2018,4190713,36848.41693215
41,2019,4217737,35808.4653233
41,2020,4245044,32297.97845
41,2021,4256465,36841.97559
41,2022,4239379,36576.15997
42,2016,12784227,101362.492867728
42,2017,12805537,101614.05385117
42,2018,12807060,102109.44677226
42,2019,12801989,102863.50977101999
42,2020,12995477,87982.49094
42,2021,13013614,102686.0406
42,2022,12972091,99912.31056
44,2016,1056426,7927.070506619999
44,2017,1059639,8000.980443735
44,2018,1057315,8008.5822069
44,2019,1059361,7580.832257825
44,2020,1096444,6864.09328
44,2021,1097092,7526.31208
44,2022,1093842,7530.61975
45,2016,4961119,54552.6422263
45,2017,5024369,55497.235730844994
45,2018,5084127,56800.682751565
45,2019,5148714,57939.39737587501
45,2020,5132151,53972.05201
45,2021,5193848,57491.95488
45,2022,5282955,58988.37959
46,2016,865454,9506.534322751999
46,2017,869666,9642.55937087
46,2018,882235,9719.406132625001
46,2019,884659,9922.399543805
46,2020,887852,9742.50787
46,2021,896299,9993.91073
46,2022,909869,10169.52888
47,2016,6651194,76883.74737666
47,2017,6715984,82253.26396879999
47,2018,6770010,81321.49096775
47,2019,6829174,82891.77085959999
47,2020,6926091,76392.47494
47,2021,6963709,82595.59251
47,2022,7048976,83218.63924
48,2016,27862596,271262.838263532
48,2017,28304596,272980.907045475
48,2018,28701845,282037.26510131
48,2019,28995881,288227.23554449005
48,2020,29234361,260581.95545
48,2021,29561286,285027.66129
48,2022,30029848,290890.07783
49,2016,3051217,31448.897057526003
49,2017,3101833,31475.025710989998
49,2018,3161105,32069.287913494998
49,2019,3205958,32910.67512446
49,2020,3283982,30251.18348
49,2021,3339284,33637.94703
49,2022,3381236,34336.15106
50,2016,624594,7381.8900916
50,2017,623657,7424.419886
50,2018,626299,7346.350177619999
50,2019,623989,7345.626922380001
50,2020,642936,6006.9751
50,2021,647093,6625.05499
50,2022,647110,7127.76271
51,2016,8411808,84462.671606042
51,2017,8470020,85262.94494611
51,2018,8517685,85336.102057075
51,2019,8535519,85432.48415308
51,2020,8637193,76110.26923
51,2021,8657348,80102.4661
