tmean,rr,lo,hi
-16.322822054515147,0.9357401811871859,0.9198826663253683,0.9518710578448043
-16.081202520218795,0.9405277394771228,0.9258459606538032,0.9554423374070512
-15.83958298592244,0.945340641143746,0.9318423695331132,0.959034442966818
-15.597963451626088,0.9501790399802702,0.9378719384713534,0.9626476398146382
-15.356343917329735,0.9550430908729426,0.9439347109980841,0.9662821960003068
-15.114724383033382,0.9599329498097102,0.9500307286418792,0.9699383823591319
-14.873104848737029,0.9648487738889624,0.9561600309082183,0.9736164725383656
-14.631485314440678,0.9697907213283483,0.9623226552577855,0.9773167430238042
-14.389865780144323,0.97475895147367,0.9685186370852038,0.9810394731665449
-14.148246245847972,0.9797536248078537,0.9747480096982372,0.9847849452098906
-13.906626711551617,0.9847749029599987,0.9810108042974907,0.9885534443163885
-13.665007177255266,0.9898229487145034,0.9873070499566371,0.9923452585949886
-13.423387642958913,0.9948979260202719,0.9936367736032115,0.9961606791283106
-13.18176810866256,1.0,1.0,1.0
-12.940148574366207,1.0051293369595409,1.0038635183221598,1.0063967517270664
-12.698529040069854,1.0102861043973541,1.0077515342628403,1.012827049164452
-12.4569095057735,1.0154704710140356,1.0116643510735641,1.0192909104755872
-12.215289971477148,1.02068260672193,1.015602275116874,1.025788351591459
-11.973670437180795,1.0259226826548284,1.0195656158938728,1.0323193861955788
-11.732050902884442,1.03119087117775,1.0235546860717386,1.038884025709789
-11.490431368588089,1.0364873458968071,1.0275698015111896,1.0454822792809653
-11.248811834291736,1.0418122816691608,1.0316112812938718,1.0521141537686578
-11.007192299995385,1.0471658546130578,1.0356794477496394,1.0587796537337222
-10.76557276569903,1.0525482421179606,1.0397746264837024,1.0654787814279998
-10.523953231402679,1.057959622854762,1.0438971464036073,1.0722115367850982
-10.282333697106324,1.0634001767860928,1.0480473397460164,1.0789779174123337
-10.040714162809973,1.068870085176715,1.0522255421032507,1.085777918583895
-9.799094628513618,1.0743695306040124,1.05643209244956,1.0926115332352964
-9.557475094217267,1.0798986969685676,1.0606673331670744,1.099478751959183
-9.315855559920914,1.0854577695048346,1.0649316100713997,1.1063795630025628
-9.074236025624561,1.0910469347919063,1.0692252724368059,1.1133139522655353
-8.832616491328208,1.0966663807643728,1.0735486730209627,1.1202819033015976
-8.590996957031855,1.1023162967232807,1.0779021680891687,1.1272833973196064
-8.349377422735502,1.1079968733471834,1.0822861174380196,1.134318413187481
-8.10775788843915,1.1137083027032932,1.086700884418454,1.1413869274377366
-7.866138354142796,1.1194507782587295,1.0911468359581187,1.1484889142749397
-7.624518819846443,1.125224494891867,1.0956243425829826,1.1556243455851847
-7.38289928555009,1.131029648903784,1.1001337784381322,1.1627931909476923
-7.141279751253737,1.1368664380298121,1.1046755213076702,1.1699954176486365
-6.899660216957384,1.142735061451188,1.1092499526336408,1.1772309906973148
-6.658040682661031,1.148635719806809,1.1138574575338944,1.184499872844778
-6.41642114836468,1.1545686152050916,1.1184984248188048,1.1918020246050427
-6.174801614068327,1.160533951235937,1.1231732470067386,1.199137404279017
-5.933182079771974,1.1665319329828003,1.1278823203381818,1.2065059679812784
-5.691562545475621,1.1725627670348702,1.1326260447884113,1.2139076696698425
-5.449943011179268,1.1786266614993535,1.137404824078598,1.2213424611790786
-5.208323476882915,1.1847238260138722,1.1422190656852218,1.2288102922559256
-4.9667039425865624,1.1908544717589686,1.147069180847668,1.236311110599581
-4.7250844082902095,1.197018811470722,1.1519555845738687,1.2438448619048288
-4.4834648739938565,1.2032170594534803,1.1568786956438448,1.2514114899092035
-4.2418453396975035,1.2094494315927016,1.1618389366109931,1.259010936444173
-4.000225805401151,1.2157161453679135,1.1668367338009566,1.2666431414905512
-3.7586062711047976,1.2220174198657876,1.171872517307902,1.274308043238354
-3.5169867368084446,1.2283534757933288,1.176946720988021,1.282005578151323
-3.2753672025120917,1.2347245354911858,1.1820597824500603,1.2897356810363636
-3.0337476682157387,1.2411308229470788,1.1872121430426696,1.2974982851181374
-2.7921281339193875,1.2475725638093478,1.1924042478383494,1.305293322119086
-2.5505085996230346,1.254049985400624,1.1976365456137614,1.3131207223451604
-2.3088890653266816,1.2605633167316215,1.2029094888261542,1.320980414777552
-2.0672695310303286,1.2671127885150548,1.2082235335856377,1.3288723271707374
-1.8256499967339757,1.2736986331796805,1.2135791396230258,1.3367963861571683
-1.5840304624376227,1.2803210848844664,1.2189767702529493,1.3447525173589507
-1.3424109281412697,1.286980379532887,1.224416892331921,1.3527406455068824
-1.1007913938449168,1.2936767547873482,1.2298999762110132,1.3607606945672357
-0.8591718595485638,1.3004104500837428,1.235426495682795,1.3688125878766946
-0.6175523252522108,1.3071817066461362,1.2409969279221436,1.3768962482858826
-0.37593279095585785,1.3139907675015865,1.2466117534205292,1.3850115983119327
-0.13431325665950666,1.320837877495096,1.2522714559133397,1.3931585603005885
0.10730627763684808,1.327723283304701,1.2579765222997925,1.4013370565983465
0.34892581193319927,1.3346472334566954,1.263727442554947,1.409547009735179
0.590545346229554,1.3416099783409947,1.2695247096333022,1.4177883426184155
0.8321648805259052,1.3486117702266374,1.2753688193634305,1.4260609787383787
1.07378441482226,1.3556528632774276,1.281260270333069,1.4343648423864304
1.3154039491186111,1.3627335135677205,1.2871995637640463,1.4426998588860889
1.5570234834149659,1.369853979098351,1.2931872033763894,1.4510659548379554
1.798643017711317,1.377014519812706,1.2992236952409122,1.4594630583791923
2.040262552007672,1.3842153976129443,1.3053095476195438,1.4678910994583714
2.281882086304023,1.3914568763763642,1.3114452707926063,1.4763500101265408
2.5235016206003777,1.3987392219719197,1.3176313768722074,1.4848397248454133
2.765121154896729,1.4060627022768872,1.3238683796008528,1.4933601808136345
3.0067406891930837,1.4134275871936863,1.3301567941343408,1.501911318312146
3.248360223489435,1.4208341486668505,1.3364971368079253,1.510493081069714
3.489979757785786,1.4282826607001577,1.3428899248846873,1.519105416649763
3.731599292082141,1.4357733993739141,1.3493356762849804,1.5277482768597208
3.973218826378492,1.4433066428623966,1.3558349092957451,1.5364216181841446
4.214838360674847,1.4508826714514573,1.3623881422584196,1.5451254022429879
4.456457894971198,1.458501767556288,1.3689958932340893,1.5538595962764323
4.698077429267553,1.4661642157393457,1.3756586796444383,1.5626241736578002
4.939696963563904,1.4738703027284483,1.3823770178869796,1.5714191144361533
5.181316497860259,1.48162031743503,1.3891514229229462,1.5802444059102712
5.42293603215661,1.4894145509725694,1.3959824078361325,1.5891000432358044
5.6645555664529645,1.4972532966751857,1.4028704833608692,1.597986030067501
5.906175100749316,1.5051368501164055,1.4098161573772139,1.6069023792385075
6.1477946350456705,1.5130655091281044,1.4168199343713206,1.6158491134788706
6.389414169342022,1.5210395738196214,1.4238823148588446,1.6248262661754658
6.631033703638376,1.5290593465970512,1.431003794769106,1.633833882175724
6.872653237934728,1.5371251321827146,1.4381848647876183,1.6428720186376344
7.114272772231079,1.5452372376348078,1.4454260096544493,1.6519407459286557
7.3558923065274335,1.553395972367236,1.452727707415754,1.6610401485762851
7.597511840823785,1.561601648169627,1.4600904286256668,1.670170326273193
7.8391313751201395,1.5698545792275365,1.4675146354956115,1.6793313949399689
8.08075090941649,1.5781550817625896,1.4750007805742886,1.688523487508519
8.322370443712845,1.5865021548458038,1.4825478722398375,1.6977455733201414
8.563989978009197,1.594890477006704,1.49015022120091,1.7069927564730536
8.805609512305551,1.6033137378419744,1.497801077690819,1.7162592417919451
9.047229046601903,1.6117654905409136,1.5054935604127,1.7255390954886993
9.288848580898257,1.6202391505968645,1.5132206557367276,1.734826243069458
9.530468115194608,1.6287279947834605,1.5209752172187885,1.7441144674547053
9.772087649490963,1.637225160405584,1.528749965448327,1.7533974073248764
10.013707183787314,1.6457236448350216,1.5365374882321983,1.7626685557051502
10.25532671808367,1.654216305340877,1.5443302411204702,1.7719212588042283
10.49694625238002,1.6626958592248318,1.5521205482791973,1.7811487151229377
10.738565786676372,1.6711548842713475,1.559900603714255,1.790343974849543
10.980185320972726,1.6795858195228501,1.5676624728493753,1.7994999395595617
11.221804855269077,1.6879809663898784,1.5753980944605743,1.808609362238767
11.463424389565432,1.6963324901060408,1.5830992829681914,1.8176648476488375
11.705043923861783,1.7046324215374724,1.5907577310868257,1.8266588530557997
11.946663458158138,1.7128726593562742,1.5983650128324964,1.8355836893419926
12.18828299245449,1.7210449725871664,1.6059125868854511,1.844431522522737
12.429902526750844,1.729141003536288,1.6133918003061547,1.8531943756892264
12.671522061047195,1.737152271110728,1.6207938926011467,1.8618641313993218
12.91314159534355,1.7450701745369752,1.6281100001346722,1.8704325345379698
13.154761129639901,1.7528859974860282,1.6353311608812475,1.8788911956687844
