dimension,group,deaths,sameday_RR_+9C,sameday_lo,sameday_hi,cumRR_+9C,cum_lo,cum_hi,dispersion_phi
user,vehicle_occupant,179618,1.05,1.017,1.085,1.018,0.951,1.089,1.27
user,motorcyclist,38644,2.14,2.0,2.29,1.293,1.085,1.541,1.034
user,pedestrian,46429,1.215,1.147,1.288,1.18,1.037,1.344,1.041
user,cyclist,6382,1.243,1.038,1.49,1.088,0.726,1.631,0.988
age,<25,54404,1.123,1.059,1.19,1.002,0.883,1.137,1.199
age,25-64,168001,1.176,1.139,1.215,1.094,1.02,1.174,1.137
age,65+,50068,1.176,1.113,1.242,1.102,0.974,1.246,1.087
