specialty_ja,specialty_en,senkoi_2018,physicians_3_5_yr_2014,yr3_2012_cohort,yr5_2012_cohort,coverage_pct
内科,Internal medicine,2670,21536,2630,2621,12.4
外科,Surgery,805,985,735,774,81.7
整形外科,Orthopaedics,552,2291,457,472,24.1
形成外科,Plastic surgery,163,317,144,148,51.4
産婦人科,Obstetrics & gynaecology,441,1383,327,342,31.9
小児科,Paediatrics,573,7950,447,433,7.2
精神科,Psychiatry,441,637,314,354,69.2
眼科,Ophthalmology,328,1051,211,213,31.2
耳鼻咽喉科,Otolaryngology,267,617,195,193,43.3
泌尿器科,Urology,274,568,206,194,48.2
皮膚科,Dermatology,271,1405,228,210,19.3
麻酔科,Anaesthesiology,495,1091,378,385,45.4
