specialty,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
内科,7725,7675,7610,7573,7543,7527,7493,7477,7457,7445,7423,7368,7300,7275,7237,7212,7163
外科,4994,4946,4895,4838,4800,4758,4699,4680,4635,4586,4539,4511,4477,4448,4401,4343,4300
整形外科,5094,5051,5008,4990,4984,4966,4954,4952,4929,4934,4924,4905,4909,4895,4872,4861,4844
形成外科,1090,1121,1127,1144,1180,1208,1237,1278,1317,1364,1391,1397,1430,1441,1440,1459,1475
産婦人科,1319,1294,1252,1239,1218,1203,1176,1159,1136,1127,1116,1104,1094,1083,1074,1061,1052
小児科,2932,2877,2830,2765,2723,2701,2677,2664,2639,2612,2585,2556,2539,2514,2503,2473,2446
精神科,2618,2645,2666,2687,2695,2712,2748,2762,2786,2799,2810,2814,2822,2831,2856,2864,2881
眼科,2501,2491,2482,2468,2463,2461,2448,2436,2423,2417,2400,2390,2379,2363,2345,2328,2310
耳鼻咽喉科,2039,2011,2004,1998,1985,1979,1984,1980,1978,1971,1962,1963,1967,1959,1952,1950,1937
泌尿器科,2799,2790,2785,2796,2793,2795,2802,2812,2814,2833,2823,2835,2867,2870,2885,2891,2893
皮膚科,3040,3007,3009,3044,3050,3039,3059,3068,3066,3082,3079,3063,3081,3071,3075,3077,3066
麻酔科,2525,2553,2604,2648,2672,2702,2733,2745,2751,2738,2749,2754,2769,2778,2793,2794,2798
