state,county,county_key,year,has_r1,violent_crime,murder,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,first_r1_year,trend,r1_trend
AL,Autauga,AL_Autauga,2014,0,68,2,6,52,414,170,199,45,,0,0
AL,Autauga,AL_Autauga,2015,0,69,0,6,50,344,111,187,46,,1,0
AL,Autauga,AL_Autauga,2017,0,55,2,5,43,384,131,206,47,,3,0
AL,Autauga,AL_Autauga,2018,0,51,0,5,40,372,92,240,40,,4,0
AL,Baldwin,AL_Baldwin,2014,0,98,0,18,76,662,230,405,27,,0,0
AL,Baldwin,AL_Baldwin,2015,0,115,0,33,73,648,225,390,33,,1,0
AL,Baldwin,AL_Baldwin,2017,0,163,1,18,135,737,226,442,69,,3,0
AL,Baldwin,AL_Baldwin,2018,0,223,0,37,177,615,173,397,45,,4,0
AL,Barbour,AL_Barbour,2014,0,17,2,2,11,128,68,55,5,,0,0
AL,Barbour,AL_Barbour,2015,0,32,2,0,26,115,59,45,11,,1,0
AL,Barbour,AL_Barbour,2017,0,34,0,3,28,100,33,57,10,,3,0
AL,Bibb,AL_Bibb,2014,0,4,0,0,3,82,42,34,6,,0,0
AL,Bibb,AL_Bibb,2015,0,7,0,1,4,41,20,18,3,,1,0
AL,Bibb,AL_Bibb,2017,0,3,0,1,1,69,41,24,4,,3,0
AL,Blount,AL_Blount,2014,0,90,0,1,83,923,311,524,88,,0,0
AL,Blount,AL_Blount,2015,0,204,5,5,178,832,247,503,82,,1,0
AL,Blount,AL_Blount,2017,0,313,1,5,293,812,198,502,112,,3,0
AL,Blount,AL_Blount,2018,0,375,1,5,350,796,191,492,113,,4,0
AL,Bullock,AL_Bullock,2014,0,15,0,3,12,84,65,15,4,,0,0
AL,Bullock,AL_Bullock,2015,0,21,0,8,13,52,34,17,1,,1,0
AL,Bullock,AL_Bullock,2017,0,6,0,1,4,46,19,21,6,,3,0
AL,Bullock,AL_Bullock,2018,0,7,0,3,4,42,23,17,2,,4,0
AL,Butler,AL_Butler,2014,0,44,1,4,32,214,93,113,8,,0,0
AL,Butler,AL_Butler,2015,0,41,1,1,37,166,65,90,11,,1,0
AL,Butler,AL_Butler,2017,0,33,2,5,24,190,69,111,10,,3,0
AL,Calhoun,AL_Calhoun,2014,0,15,0,1,11,471,200,266,5,,0,0
AL,Calhoun,AL_Calhoun,2015,0,16,0,1,11,413,181,225,7,,1,0
AL,Calhoun,AL_Calhoun,2017,0,18,0,7,4,211,93,117,1,,3,0
AL,Calhoun,AL_Calhoun,2018,0,14,0,7,2,144,49,95,0,,4,0
AL,Chambers,AL_Chambers,2014,0,4,0,2,2,96,52,43,1,,0,0
AL,Chambers,AL_Chambers,2015,0,3,0,0,3,61,27,34,0,,1,0
AL,Chambers,AL_Chambers,2017,0,3,0,1,2,89,33,52,4,,3,0
AL,Chambers,AL_Chambers,2018,0,0,0,0,0,70,29,39,2,,4,0
AL,Cherokee,AL_Cherokee,2014,0,49,2,2,37,388,131,216,41,,0,0
AL,Cherokee,AL_Cherokee,2015,0,52,2,3,39,346,118,194,34,,1,0
AL,Cherokee,AL_Cherokee,2017,0,48,3,2,35,357,131,196,30,,3,0
AL,Cherokee,AL_Cherokee,2018,0,65,0,1,53,295,101,160,34,,4,0
AL,Chilton,AL_Chilton,2014,0,79,0,2,59,532,223,260,49,,0,0
AL,Chilton,AL_Chilton,2015,0,120,0,1,96,575,263,274,38,,1,0
AL,Chilton,AL_Chilton,2017,0,168,2,7,144,715,268,368,79,,3,0
AL,Choctaw,AL_Choctaw,2015,0,7,0,1,6,34,15,15,4,,1,0
AL,Choctaw,AL_Choctaw,2017,0,13,1,0,12,21,4,13,4,,3,0
AL,Clarke,AL_Clarke,2014,0,72,0,4,62,113,48,49,16,,0,0
AL,Clarke,AL_Clarke,2015,0,48,3,2,38,63,25,33,5,,1,0
AL,Clarke,AL_Clarke,2017,0,40,1,2,34,91,36,47,8,,3,0
AL,Clarke,AL_Clarke,2018,0,18,0,1,9,49,25,16,8,,4,0
AL,Clay,AL_Clay,2014,0,17,0,0,16,31,10,17,4,,0,0
AL,Clay,AL_Clay,2015,0,9,0,0,9,15,4,7,4,,1,0
AL,Clay,AL_Clay,2018,0,1,0,0,1,65,32,32,1,,4,0
AL,Cleburne,AL_Cleburne,2015,0,6,0,1,4,143,50,90,3,,1,0
AL,Cleburne,AL_Cleburne,2017,0,6,0,1,5,136,41,82,13,,3,0
AL,Cleburne,AL_Cleburne,2018,0,8,0,1,5,144,43,90,11,,4,0
AL,Coffee,AL_Coffee,2014,0,28,0,2,19,203,80,96,27,,0,0
AL,Coffee,AL_Coffee,2015,0,31,1,3,20,192,82,91,19,,1,0
AL,Coffee,AL_Coffee,2017,0,23,2,2,14,138,46,77,15,,3,0
AL,Coffee,AL_Coffee,2018,0,18,1,0,14,132,55,65,12,,4,0
AL,Colbert,AL_Colbert,2014,0,58,0,4,38,436,131,264,41,,0,0
AL,Colbert,AL_Colbert,2017,0,58,0,3,42,267,84,151,32,,3,0
AL,Coosa,AL_Coosa,2014,0,13,0,0,12,201,74,121,6,,0,0
AL,Coosa,AL_Coosa,2015,0,21,1,4,16,156,58,88,10,,1,0
AL,Coosa,AL_Coosa,2017,0,25,2,2,19,157,54,92,11,,3,0
AL,Coosa,AL_Coosa,2018,0,41,0,0,38,171,64,100,7,,4,0
AL,Covington,AL_Covington,2014,0,22,0,0,18,210,76,115,19,,0,0
AL,Covington,AL_Covington,2015,0,36,0,0,24,232,86,119,27,,1,0
AL,Covington,AL_Covington,2017,0,4,0,0,3,46,13,29,4,,3,0
AL,Covington,AL_Covington,2018,0,4,0,0,4,37,14,19,4,,4,0
AL,Crenshaw,AL_Crenshaw,2014,0,52,1,2,46,143,56,73,14,,0,0
AL,Crenshaw,AL_Crenshaw,2015,0,38,0,2,34,147,49,77,21,,1,0
AL,Cullman,AL_Cullman,2014,0,84,2,8,40,1030,297,646,87,,0,0
AL,Cullman,AL_Cullman,2015,0,48,0,5,21,944,285,556,103,,1,0
AL,Cullman,AL_Cullman,2017,0,73,0,10,29,954,224,608,122,,3,0
AL,Cullman,AL_Cullman,2018,0,52,1,2,26,911,235,553,123,,4,0
AL,Dale,AL_Dale,2014,0,29,1,0,19,190,55,119,16,,0,0
AL,Dale,AL_Dale,2015,0,34,0,1,27,209,78,114,17,,1,0
AL,Dale,AL_Dale,2017,0,44,2,4,23,194,53,114,27,,3,0
AL,Dale,AL_Dale,2018,0,31,0,1,21,147,39,99,9,,4,0
AL,Dallas,AL_Dallas,2014,0,65,2,9,44,462,182,251,29,,0,0
AL,Dallas,AL_Dallas,2015,0,81,2,9,62,447,152,257,38,,1,0
AL,Dallas,AL_Dallas,2017,0,109,1,13,87,501,187,282,32,,3,0
AL,Dallas,AL_Dallas,2018,0,76,1,10,54,427,131,255,41,,4,0
AL,DeKalb,AL_DeKalb,2014,0,128,2,4,94,810,312,427,71,,0,0
AL,DeKalb,AL_DeKalb,2015,0,123,5,3,71,814,320,400,94,,1,0
AL,DeKalb,AL_DeKalb,2017,0,147,0,9,106,755,248,382,125,,3,0
AL,DeKalb,AL_DeKalb,2018,0,113,2,2,74,624,198,318,108,,4,0
AL,Elmore,AL_Elmore,2014,0,52,0,11,28,868,357,452,59,,0,0
AL,Elmore,AL_Elmore,2015,0,93,5,5,66,1141,495,574,72,,1,0
AL,Elmore,AL_Elmore,2017,0,60,1,9,37,757,228,467,62,,3,0
AL,Elmore,AL_Elmore,2018,0,68,4,12,22,669,178,427,64,,4,0
AL,Escambia,AL_Escambia,2014,0,24,0,6,18,133,47,78,8,,0,0
AL,Etowah,AL_Etowah,2014,0,86,0,3,61,615,239,326,50,,0,0
AL,Etowah,AL_Etowah,2015,0,113,1,2,87,561,214,298,49,,1,0
AL,Etowah,AL_Etowah,2017,0,104,2,3,86,526,186,276,64,,3,0
AL,Etowah,AL_Etowah,2018,0,99,2,1,64,444,152,233,59,,4,0
AL,Fayette,AL_Fayette,2015,0,20,0,0,12,67,23,33,11,,1,0
AL,Fayette,AL_Fayette,2018,0,2,0,0,1,72,32,27,13,,4,0
AL,Franklin,AL_Franklin,2014,0,26,0,1,20,317,127,166,24,,0,0
AL,Franklin,AL_Franklin,2015,0,29,1,3,21,276,108,153,15,,1,0
AL,Franklin,AL_Franklin,2017,0,30,0,1,20,291,101,155,35,,3,0
AL,Geneva,AL_Geneva,2014,0,52,2,0,43,150,76,60,14,,0,0
AL,Geneva,AL_Geneva,2015,0,41,0,0,32,229,91,113,25,,1,0
AL,Geneva,AL_Geneva,2017,0,58,0,3,48,227,73,124,30,,3,0
AL,Geneva,AL_Geneva,2018,0,40,1,2,30,202,74,112,16,,4,0
AL,Greene,AL_Greene,2014,0,24,1,4,18,90,33,46,11,,0,0
AL,Greene,AL_Greene,2015,0,32,0,10,20,91,37,47,7,,1,0
AL,Greene,AL_Greene,2017,0,32,0,3,29,99,39,44,16,,3,0
AL,Greene,AL_Greene,2018,0,31,0,1,28,123,45,60,18,,4,0
AL,Hale,AL_Hale,2014,0,14,0,0,13,98,35,53,10,,0,0
AL,Hale,AL_Hale,2017,0,17,0,0,16,39,9,21,9,,3,0
AL,Henry,AL_Henry,2014,0,19,0,2,14,129,56,62,11,,0,0
AL,Henry,AL_Henry,2015,0,36,0,3,25,162,78,64,20,,1,0
AL,Henry,AL_Henry,2017,0,14,0,0,12,48,17,26,5,,3,0
AL,Houston,AL_Houston,2014,0,80,1,6,53,515,164,307,44,,0,0
AL,Houston,AL_Houston,2015,0,97,3,5,73,609,191,387,31,,1,0
AL,Houston,AL_Houston,2017,0,103,2,10,79,580,144,396,40,,3,0
AL,Houston,AL_Houston,2018,0,121,1,19,92,657,187,400,70,,4,0
AL,Jackson,AL_Jackson,2014,0,81,3,0,58,588,264,274,50,,0,0
AL,Jefferson,AL_Jefferson,2015,0,787,10,202,484,3436,1903,1392,141,,1,0
AL,Jefferson,AL_Jefferson,2017,0,700,5,163,498,2311,1203,974,134,,3,0
AL,Jefferson,AL_Jefferson,2018,0,729,10,128,546,2255,1181,888,186,,4,0
AL,Lamar,AL_Lamar,2014,0,16,0,0,14,29,9,18,2,,0,0
AL,Lamar,AL_Lamar,2015,0,13,0,0,11,59,24,27,8,,1,0
AL,Lamar,AL_Lamar,2017,0,9,0,0,6,67,25,37,5,,3,0
AL,Lamar,AL_Lamar,2018,0,6,0,0,5,64,27,33,4,,4,0
AL,Lauderdale,AL_Lauderdale,2017,0,37,0,1,32,165,41,87,37,,3,0
AL,Lawrence,AL_Lawrence,2014,0,66,1,8,46,435,142,247,46,,0,0
AL,Lawrence,AL_Lawrence,2015,0,46,1,0,40,336,123,185,28,,1,0
AL,Lawrence,AL_Lawrence,2017,0,71,2,3,57,356,101,206,49,,3,0
AL,Lawrence,AL_Lawrence,2018,0,48,0,3,37,351,112,195,44,,4,0
AL,Lee,AL_Lee,2017,0,420,2,12,386,1072,253,704,115,,3,0
AL,Lee,AL_Lee,2018,0,417,2,10,382,1015,263,620,132,,4,0
AL,Limestone,AL_Limestone,2014,0,82,0,2,69,585,188,362,35,,0,0
AL,Limestone,AL_Limestone,2015,0,50,2,3,37,567,159,384,24,,1,0
AL,Limestone,AL_Limestone,2017,0,154,2,10,114,1015,284,649,82,,3,0
AL,Lowndes,AL_Lowndes,2014,0,49,2,3,34,241,114,106,21,,0,0
AL,Lowndes,AL_Lowndes,2015,0,44,0,11,23,187,56,109,22,,1,0
AL,Lowndes,AL_Lowndes,2017,0,68,1,11,44,236,95,111,30,,3,0
AL,Macon,AL_Macon,2014,0,24,0,7,13,151,64,78,9,,0,0
AL,Macon,AL_Macon,2015,0,26,0,2,20,144,62,66,16,,1,0
AL,Macon,AL_Macon,2017,0,23,0,0,20,152,70,61,21,,3,0
AL,Macon,AL_Macon,2018,0,19,1,2,12,68,29,21,18,,4,0
AL,Madison,AL_Madison,2014,0,342,6,50,231,2175,637,1370,168,,0,0
AL,Madison,AL_Madison,2015,0,366,7,46,261,2052,633,1252,167,,1,0
AL,Madison,AL_Madison,2017,0,380,6,32,311,2074,549,1299,226,,3,0
AL,Madison,AL_Madison,2018,0,390,2,42,300,2007,486,1306,215,,4,0
AL,Marengo,AL_Marengo,2014,0,33,0,3,27,178,64,102,12,,0,0
AL,Marengo,AL_Marengo,2015,0,45,0,4,34,170,70,85,15,,1,0
AL,Marengo,AL_Marengo,2017,0,52,2,4,40,211,99,90,22,,3,0
AL,Marengo,AL_Marengo,2018,0,30,0,3,24,149,53,77,19,,4,0
AL,Marion,AL_Marion,2014,0,30,1,2,22,188,66,110,12,,0,0
AL,Marion,AL_Marion,2015,0,26,0,1,23,139,57,71,11,,1,0
AL,Marion,AL_Marion,2017,0,19,0,0,17,153,63,75,15,,3,0
AL,Marshall,AL_Marshall,2014,0,47,0,3,35,447,220,203,24,,0,0
AL,Marshall,AL_Marshall,2015,0,26,2,6,11,385,166,191,28,,1,0
AL,Marshall,AL_Marshall,2017,0,102,1,3,85,511,168,280,63,,3,0
AL,Marshall,AL_Marshall,2018,0,89,0,4,71,370,134,193,43,,4,0
AL,Mobile,AL_Mobile,2014,0,139,3,15,95,2079,670,1201,208,,0,0
AL,Mobile,AL_Mobile,2015,0,114,4,21,63,1924,607,1124,193,,1,0
AL,Mobile,AL_Mobile,2017,0,136,5,21,99,2375,728,1310,337,,3,0
AL,Mobile,AL_Mobile,2018,0,147,1,23,114,2008,564,1130,314,,4,0
AL,Monroe,AL_Monroe,2014,0,34,0,1,33,136,40,85,11,,0,0
AL,Monroe,AL_Monroe,2015,0,27,0,1,26,88,30,47,11,,1,0
AL,Monroe,AL_Monroe,2017,0,39,0,4,35,108,40,61,7,,3,0
AL,Monroe,AL_Monroe,2018,0,27,2,0,25,56,19,29,8,,4,0
AL,Montgomery,AL_Montgomery,2014,0,20,0,7,8,220,94,104,22,,0,0
AL,Montgomery,AL_Montgomery,2015,0,19,0,6,11,188,61,108,19,,1,0
AL,Montgomery,AL_Montgomery,2017,0,115,0,14,99,389,122,222,45,,3,0
AL,Montgomery,AL_Montgomery,2018,0,111,0,10,93,404,136,230,38,,4,0
AL,Morgan,AL_Morgan,2015,0,42,0,2,30,381,195,165,21,,1,0
AL,Morgan,AL_Morgan,2017,0,143,0,1,131,284,157,109,18,,3,0
AL,Pickens,AL_Pickens,2015,0,11,0,0,6,33,16,17,0,,1,0
AL,Pike,AL_Pike,2014,0,15,0,1,13,155,38,105,12,,0,0
AL,Pike,AL_Pike,2015,0,19,1,1,14,132,44,75,13,,1,0
AL,Pike,AL_Pike,2017,0,19,0,1,15,88,33,51,4,,3,0
AL,Pike,AL_Pike,2018,0,27,0,3,21,124,45,69,10,,4,0
AL,Randolph,AL_Randolph,2014,0,2,0,0,2,169,81,87,1,,0,0
AL,Randolph,AL_Randolph,2015,0,13,0,0,13,145,67,78,0,,1,0
AL,Randolph,AL_Randolph,2017,0,6,0,0,5,182,68,97,17,,3,0
AL,Russell,AL_Russell,2014,0,43,4,4,25,453,159,255,39,,0,0
AL,Russell,AL_Russell,2015,0,45,0,4,31,395,134,233,28,,1,0
AL,Russell,AL_Russell,2017,0,45,1,6,29,351,98,214,39,,3,0
AL,Russell,AL_Russell,2018,0,40,2,6,23,268,70,158,40,,4,0
AL,Shelby,AL_Shelby,2015,0,131,3,15,73,1140,296,754,90,,1,0
AL,Shelby,AL_Shelby,2017,0,98,0,6,62,690,232,401,57,,3,0
AL,St. Clair,AL_St. Clair,2014,0,29,0,1,24,268,185,83,0,,0,0
AL,St. Clair,AL_St. Clair,2018,0,221,1,1,208,416,130,255,31,,4,0
AL,Sumter,AL_Sumter,2017,0,15,1,1,13,60,23,26,11,,3,0
AL,Sumter,AL_Sumter,2018,0,10,0,1,8,39,21,15,3,,4,0
AL,Talladega,AL_Talladega,2014,0,74,0,10,63,901,340,492,69,,0,0
AL,Talladega,AL_Talladega,2015,0,77,5,12,54,747,240,420,87,,1,0
AL,Talladega,AL_Talladega,2017,0,96,2,7,74,720,192,460,68,,3,0
AL,Talladega,AL_Talladega,2018,0,92,0,13,71,701,182,444,75,,4,0
AL,Tallapoosa,AL_Tallapoosa,2014,0,19,0,0,10,146,71,63,12,,0,0
AL,Tallapoosa,AL_Tallapoosa,2015,0,11,1,1,7,202,102,97,3,,1,0
AL,Tallapoosa,AL_Tallapoosa,2017,0,21,0,3,10,118,34,81,3,,3,0
AL,Tallapoosa,AL_Tallapoosa,2018,0,15,0,1,10,115,28,78,9,,4,0
AL,Tuscaloosa,AL_Tuscaloosa,2014,0,213,3,20,171,1284,366,790,128,,0,0
AL,Tuscaloosa,AL_Tuscaloosa,2015,0,182,2,18,153,1073,307,664,102,,1,0
AL,Tuscaloosa,AL_Tuscaloosa,2017,0,215,5,22,178,1363,414,781,168,,3,0
AL,Tuscaloosa,AL_Tuscaloosa,2018,0,197,3,22,166,1371,361,831,179,,4,0
AL,Walker,AL_Walker,2014,0,103,1,10,80,1058,339,580,139,,0,0
AL,Walker,AL_Walker,2015,0,127,1,9,94,1114,382,604,128,,1,0
AL,Walker,AL_Walker,2017,0,84,0,10,65,587,144,330,113,,3,0
AL,Washington,AL_Washington,2014,0,22,0,0,20,86,25,52,9,,0,0
AL,Washington,AL_Washington,2015,0,36,0,2,28,133,58,60,15,,1,0
AL,Wilcox,AL_Wilcox,2014,0,52,2,3,47,105,38,62,5,,0,0
AL,Wilcox,AL_Wilcox,2015,0,38,0,4,33,98,36,50,12,,1,0
AL,Wilcox,AL_Wilcox,2017,0,46,2,4,38,123,74,45,4,,3,0
AL,Winston,AL_Winston,2014,0,15,0,0,9,86,35,47,4,,0,0
AL,Winston,AL_Winston,2015,0,10,0,2,7,54,16,34,4,,1,0
AL,Winston,AL_Winston,2017,0,19,0,1,12,83,30,47,6,,3,0
AR,Arkansas,AR_Arkansas,2014,0,7,1,1,5,133,22,90,21,,0,0
AR,Arkansas,AR_Arkansas,2015,0,8,0,0,7,167,33,106,28,,1,0
AR,Arkansas,AR_Arkansas,2017,0,13,0,0,12,108,31,62,15,,3,0
AR,Arkansas,AR_Arkansas,2018,0,11,1,0,10,78,22,43,13,,4,0
AR,Arkansas,AR_Arkansas,2019,0,15,0,1,13,58,14,42,2,,5,0
AR,Ashley,AR_Ashley,2014,0,31,1,1,25,273,106,159,8,,0,0
AR,Ashley,AR_Ashley,2015,0,11,0,0,8,238,103,126,9,,1,0
AR,Ashley,AR_Ashley,2017,0,23,1,1,20,235,65,158,12,,3,0
AR,Ashley,AR_Ashley,2018,0,17,2,2,8,212,56,128,28,,4,0
AR,Ashley,AR_Ashley,2019,0,22,0,2,19,153,38,98,17,,5,0
AR,Baxter,AR_Baxter,2014,0,38,0,2,22,651,174,441,36,,0,0
AR,Baxter,AR_Baxter,2015,0,67,3,2,47,612,81,503,28,,1,0
AR,Baxter,AR_Baxter,2017,0,73,2,1,58,632,80,495,57,,3,0
AR,Baxter,AR_Baxter,2018,0,64,0,1,49,606,60,502,44,,4,0
AR,Baxter,AR_Baxter,2019,0,70,1,1,53,616,81,472,63,,5,0
AR,Benton,AR_Benton,2014,0,85,1,2,59,458,227,217,14,,0,0
AR,Benton,AR_Benton,2015,0,99,1,0,58,483,225,239,19,,1,0
AR,Benton,AR_Benton,2017,0,125,1,0,86,712,408,255,49,,3,0
AR,Benton,AR_Benton,2018,0,136,2,4,97,413,136,234,43,,4,0
AR,Benton2,AR_Benton2,2019,0,159,3,3,121,0,0,188,61,,5,0
AR,Boone,AR_Boone,2014,0,50,1,0,28,361,114,220,27,,0,0
AR,Boone,AR_Boone,2015,0,202,2,0,177,379,128,225,26,,1,0
AR,Boone,AR_Boone,2017,0,199,0,1,146,320,81,199,40,,3,0
AR,Boone,AR_Boone,2018,0,207,0,1,140,244,65,144,35,,4,0
AR,Boone,AR_Boone,2019,0,199,0,1,168,269,79,150,40,,5,0
AR,Bradley,AR_Bradley,2015,0,7,0,0,7,39,19,17,3,,1,0
AR,Bradley,AR_Bradley,2017,0,8,1,0,6,32,18,11,3,,3,0
AR,Bradley,AR_Bradley,2018,0,14,0,0,10,37,15,15,7,,4,0
AR,Bradley,AR_Bradley,2019,0,8,0,0,8,51,31,12,8,,5,0
AR,Calhoun,AR_Calhoun,2014,0,2,0,0,2,33,11,18,4,,0,0
AR,Calhoun,AR_Calhoun,2015,0,2,1,1,0,56,22,32,2,,1,0
AR,Calhoun,AR_Calhoun,2017,0,15,0,0,11,40,16,21,3,,3,0
AR,Calhoun,AR_Calhoun,2018,0,3,0,0,3,50,7,38,5,,4,0
AR,Calhoun,AR_Calhoun,2019,0,11,0,0,11,68,22,34,12,,5,0
AR,Carroll,AR_Carroll,2014,0,43,0,1,35,178,34,126,18,,0,0
AR,Carroll,AR_Carroll,2015,0,53,0,0,49,259,53,186,20,,1,0
AR,Carroll,AR_Carroll,2017,0,44,8,0,33,191,42,119,30,,3,0
AR,Carroll,AR_Carroll,2018,0,41,1,0,39,213,64,116,33,,4,0
AR,Carroll,AR_Carroll,2019,0,45,0,1,39,209,52,111,46,,5,0
AR,Chicot,AR_Chicot,2014,0,4,0,0,3,142,62,80,0,,0,0
AR,Chicot,AR_Chicot,2015,0,4,0,0,3,73,26,47,0,,1,0
AR,Chicot,AR_Chicot,2017,0,3,0,0,3,59,21,38,0,,3,0
AR,Chicot,AR_Chicot,2018,0,4,0,0,4,96,34,62,0,,4,0
AR,Chicot,AR_Chicot,2019,0,13,0,0,11,76,18,58,0,,5,0
AR,Clark,AR_Clark,2014,0,10,0,1,7,94,19,65,10,,0,0
AR,Clark,AR_Clark,2015,0,19,0,1,17,93,28,60,5,,1,0
AR,Clark,AR_Clark,2017,0,12,0,0,11,76,28,41,7,,3,0
AR,Clark,AR_Clark,2018,0,39,0,0,35,46,17,26,3,,4,0
AR,Clark,AR_Clark,2019,0,11,0,0,11,70,19,42,9,,5,0
AR,Clay,AR_Clay,2017,0,9,0,0,8,67,19,45,3,,3,0
AR,Clay,AR_Clay,2018,0,7,0,0,4,53,16,34,3,,4,0
AR,Cleburne,AR_Cleburne,2014,0,39,0,2,28,437,146,235,56,,0,0
AR,Cleburne,AR_Cleburne,2015,0,42,0,1,21,300,101,162,37,,1,0
AR,Cleburne,AR_Cleburne,2017,0,88,1,0,69,336,100,219,17,,3,0
AR,Cleburne,AR_Cleburne,2018,0,122,3,2,109,302,94,189,19,,4,0
AR,Cleburne,AR_Cleburne,2019,0,142,0,4,117,297,86,185,26,,5,0
AR,Cleveland,AR_Cleveland,2014,0,2,0,0,1,76,39,34,3,,0,0
AR,Cleveland,AR_Cleveland,2015,0,13,0,0,10,54,16,33,5,,1,0
AR,Cleveland,AR_Cleveland,2017,0,11,0,1,9,94,47,41,6,,3,0
AR,Cleveland,AR_Cleveland,2018,0,16,2,0,10,83,45,37,1,,4,0
AR,Cleveland,AR_Cleveland,2019,0,20,0,0,16,162,90,56,16,,5,0
AR,Columbia,AR_Columbia,2014,0,29,0,0,28,105,38,51,16,,0,0
AR,Columbia,AR_Columbia,2015,0,23,0,2,21,38,16,20,2,,1,0
AR,Columbia,AR_Columbia,2017,0,12,0,0,12,51,17,25,9,,3,0
AR,Columbia,AR_Columbia,2018,0,20,1,2,17,71,22,41,8,,4,0
AR,Columbia,AR_Columbia,2019,0,23,1,0,20,67,21,37,9,,5,0
AR,Conway,AR_Conway,2014,0,28,0,2,21,292,49,216,27,,0,0
AR,Conway,AR_Conway,2015,0,28,2,2,20,295,45,216,34,,1,0
AR,Conway,AR_Conway,2017,0,50,0,2,37,252,69,159,24,,3,0
AR,Conway,AR_Conway,2018,0,53,0,3,36,274,48,200,26,,4,0
AR,Conway,AR_Conway,2019,0,46,2,1,30,234,43,164,27,,5,0
AR,Craighead,AR_Craighead,2014,0,29,0,1,21,244,89,147,8,,0,0
AR,Craighead,AR_Craighead,2015,0,46,1,4,28,297,97,174,26,,1,0
AR,Craighead,AR_Craighead,2017,0,51,2,2,39,296,5,244,47,,3,0
AR,Craighead,AR_Craighead,2018,0,56,0,3,39,351,138,178,35,,4,0
AR,Craighead,AR_Craighead,2019,0,48,2,1,29,315,108,168,39,,5,0
AR,Crawford,AR_Crawford,2014,0,52,0,0,46,367,91,242,34,,0,0
AR,Crawford,AR_Crawford,2015,0,80,0,0,69,358,70,243,45,,1,0
AR,Crawford,AR_Crawford,2017,0,30,0,1,28,299,61,204,34,,3,0
AR,Crawford,AR_Crawford,2018,0,37,0,1,27,264,46,189,29,,4,0
AR,Crawford,AR_Crawford,2019,0,55,1,1,52,254,37,188,29,,5,0
AR,Crittenden,AR_Crittenden,2014,0,102,2,6,86,348,101,218,29,,0,0
AR,Crittenden,AR_Crittenden,2015,0,106,3,16,82,309,108,181,20,,1,0
AR,Crittenden,AR_Crittenden,2017,0,143,1,9,118,275,83,162,30,,3,0
AR,Crittenden,AR_Crittenden,2018,0,120,5,8,96,306,75,194,37,,4,0
AR,Crittenden,AR_Crittenden,2019,0,123,3,8,103,286,83,182,21,,5,0
AR,Cross,AR_Cross,2014,0,31,0,1,25,161,29,114,18,,0,0
AR,Cross,AR_Cross,2015,0,21,0,0,18,129,32,93,4,,1,0
AR,Cross,AR_Cross,2017,0,25,0,0,19,143,36,98,9,,3,0
AR,Cross,AR_Cross,2018,0,33,0,0,30,131,23,97,11,,4,0
AR,Dallas,AR_Dallas,2014,0,5,0,0,5,30,12,15,3,,0,0
AR,Dallas,AR_Dallas,2015,0,4,0,0,4,30,4,23,3,,1,0
AR,Dallas,AR_Dallas,2017,0,2,0,0,1,31,16,12,3,,3,0
AR,Drew,AR_Drew,2014,0,52,0,0,41,140,50,79,11,,0,0
AR,Drew,AR_Drew,2015,0,25,0,0,19,103,28,62,13,,1,0
AR,Drew,AR_Drew,2017,0,21,1,1,15,114,35,71,8,,3,0
AR,Drew,AR_Drew,2018,0,19,0,2,13,88,28,47,13,,4,0
AR,Drew,AR_Drew,2019,0,16,0,0,12,66,23,37,6,,5,0
AR,Faulkner,AR_Faulkner,2014,0,116,2,4,85,1234,312,752,170,,0,0
AR,Faulkner,AR_Faulkner,2015,0,110,2,5,87,1121,294,675,152,,1,0
AR,Faulkner,AR_Faulkner,2017,0,116,2,6,80,941,259,576,106,,3,0
AR,Faulkner,AR_Faulkner,2018,0,81,2,3,66,794,202,492,100,,4,0
AR,Faulkner,AR_Faulkner,2019,0,116,1,5,92,749,176,476,97,,5,0
AR,Franklin,AR_Franklin,2014,0,38,1,1,25,186,66,111,9,,0,0
AR,Franklin,AR_Franklin,2015,0,39,0,2,29,114,33,69,12,,1,0
AR,Franklin,AR_Franklin,2017,0,68,1,1,55,203,81,100,22,,3,0
AR,Fulton,AR_Fulton,2014,0,11,1,1,8,90,0,79,11,,0,0
AR,Fulton,AR_Fulton,2015,0,11,0,1,9,69,0,62,7,,1,0
AR,Fulton,AR_Fulton,2017,0,35,0,0,32,69,0,65,4,,3,0
AR,Fulton,AR_Fulton,2018,0,28,0,0,24,57,0,48,9,,4,0
AR,Fulton,AR_Fulton,2019,0,29,0,0,26,51,0,45,6,,5,0
AR,Garland,AR_Garland,2014,0,387,0,18,324,2021,890,983,148,,0,0
AR,Garland,AR_Garland,2015,0,345,0,24,283,1831,786,926,119,,1,0
AR,Garland,AR_Garland,2017,0,296,0,10,258,1612,676,804,132,,3,0
AR,Garland,AR_Garland,2018,0,352,0,14,303,1591,666,785,140,,4,0
AR,Garland2,AR_Garland2,2019,0,279,0,8,246,0,0,675,145,,5,0
AR,Grant,AR_Grant,2014,0,18,0,0,14,179,45,117,17,,0,0
AR,Grant,AR_Grant,2015,0,25,0,0,20,193,40,132,21,,1,0
AR,Grant,AR_Grant,2017,0,46,0,0,39,185,55,115,15,,3,0
AR,Grant,AR_Grant,2018,0,31,0,0,25,140,30,94,16,,4,0
