year,municipality,total_crimes,violent,rough,burglary,theft_non,other,has_r1,first_r1_year,post_r1
2009,千代田区,4278,12,361,143,2852,910,0,,0
2009,中央区,3342,24,235,153,2130,800,0,,0
2009,港区,5539,30,520,289,3291,1409,0,,0
2009,新宿区,10955,77,777,323,7174,2604,0,,0
2009,文京区,2412,15,111,172,1529,585,0,,0
2009,台東区,5359,55,236,191,3643,1234,0,,0
2009,墨田区,4408,34,228,176,3075,895,0,,0
2009,江東区,6678,35,288,267,4670,1418,1,2000.0,1
2009,品川区,4910,14,278,212,3281,1125,0,,0
2009,目黒区,3121,15,121,242,1970,773,0,,0
2009,大田区,9183,42,418,512,6260,1951,0,,0
2009,世田谷区,10172,40,361,720,6796,2255,0,,0
2009,渋谷区,7319,34,362,259,5067,1597,0,,0
2009,中野区,4727,18,260,324,3007,1118,0,,0
2009,杉並区,6849,64,269,497,4486,1533,0,,0
2009,豊島区,7855,50,388,420,5434,1563,0,,0
2009,北区,5016,21,227,346,3306,1116,0,,0
2009,荒川区,3309,18,186,175,2192,738,0,,0
2009,板橋区,8271,34,266,481,5675,1815,1,2006.0,1
2009,練馬区,9037,38,284,485,6509,1721,0,,0
2009,足立区,11086,36,403,605,7785,2257,0,,0
2009,葛飾区,6225,39,273,418,4044,1451,0,,0
2009,江戸川区,10216,62,383,527,6981,2263,0,,0
2009,八王子市,8156,51,267,385,5719,1734,0,,0
2009,立川市,3829,23,129,145,2794,738,0,,0
2009,武蔵野市,3180,13,85,110,2392,580,0,,0
2009,三鷹市,1879,7,65,198,1222,387,0,,0
2009,青梅市,1467,7,43,99,971,347,0,,0
2009,府中市,2791,12,94,135,1959,591,1,2011.0,0
2009,昭島市,1869,6,60,67,1333,403,0,,0
2009,調布市,2743,10,97,147,1883,606,0,,0
2009,町田市,5678,45,189,338,3855,1251,1,2004.0,1
2009,小金井市,1603,7,60,106,1101,329,0,,0
2009,小平市,2451,10,59,112,1813,457,0,,0
2009,日野市,1873,9,60,116,1239,449,0,,0
2009,東村山市,1887,13,67,71,1322,414,0,,0
2009,国分寺市,1563,12,75,113,1026,337,0,,0
2009,国立市,1210,4,12,75,916,203,0,,0
2009,福生市,875,5,37,36,555,242,0,,0
2009,狛江市,742,4,26,42,515,155,0,,0
2009,東大和市,1197,1,34,61,871,230,0,,0
2009,清瀬市,924,5,25,42,675,177,0,,0
2009,東久留米市,1276,7,35,83,903,248,0,,0
2009,武蔵村山市,953,6,43,52,651,201,1,2009.0,1
2009,多摩市,1621,5,52,69,1118,377,0,,0
2009,稲城市,729,3,11,26,499,190,0,,0
2009,羽村市,735,4,22,33,523,153,0,,0
