Crime Type,R1 States Mean (2019),Non-R1 States Mean (2019),Difference,DiD Coefficient,DiD p-value,DiD Significant
Violent Crime,352.8,410.6,-57.8,-16.681,0.3602,False
Property Crime,2045.0,2258.3,-213.2,-124.13,0.0827,False
Murder,4.5,6.0,-1.5,-0.344,0.0901,False
Robbery,71.5,65.7,5.8,-4.719,0.6104,False
Assault,232.8,286.9,-54.2,-11.671,0.28,False
Burglary,329.6,365.1,-35.5,-35.696,0.1498,False
