state,open_year,Violent,Property,Murder,Robbery
CA,2010,-15.163825253063385,-8.521599449257069,-15.606936416184977,-19.312455003599734
IL,2014,-2.370795734208366,-18.8297462724219,10.91954022988505,-16.143497757847523
TX,2014,2.203182374541004,-14.77452688257187,10.68702290076334,0.8895265423242451
MA,2015,-6.981740064446836,-22.643657301239,10.344827586206893,-21.05445716267778
PA,2015,-5.349629332799025,-15.488406832499848,8.053691275167772,-15.717606042998256
WA,2015,2.437061731233454,-8.51918735891648,11.538461538461531,-8.269152817186862
MI,2016,5.082385704339748,-14.282974540921526,-2.2727272727272796,-26.07033639143731
CO,2016,18.10041573393029,3.6244747832083846,20.212765957446837,12.063134160090192
NY,2016,-6.215373961218823,-12.564600738294148,-6.315789473684203,-19.381064778389717
NM,2016,25.507634610233065,3.234501347708895,32.9268292682927,45.39215686274508
OH,2016,1.7033603707995486,-13.718533129668142,35.24590163934427,-16.476774758983336
UT,2016,5.8022498519834205,-7.943102998104183,15.517241379310324,3.948367501898256
NC,2016,9.305978207519395,-11.133330286132209,23.33333333333336,-1.2341062079281753
NE,2017,5.352711804324716,-9.031147284395068,-22.727272727272723,-17.09021601016519
NV,2017,-20.839968152866245,-6.441379135312101,3.030303030303047,-38.47230864965774
ME,2017,-8.75032748231595,-24.74506142326211,4.16666666666668,-25.188536953242817
AZ,2018,0.504213786645546,-14.00941018316249,-4.716981132075472,-10.717846460618146
MD,2018,-3.1621659437526346,-12.409481368553758,0.19531250000000971,-9.763597924274444
WI,2018,-5.227565478746266,-20.44667226537896,-21.052631578947356,-32.375556454876566
OR,2018,6.03448275862068,-5.176735037932002,-7.692307692307699,2.744630071599029
NJ,2019,-8.974923009238882,-11.052164261931189,-20.909090909090907,-25.43352601156069
FL,2019,-7.194244604316542,-13.95401684266811,0.0,-14.78555304740407
GA,2019,-5.4836323284631145,-15.536120591581328,-4.123711340206172,-23.31288343558282
KS,2019,0.0,-14.597247334046711,-18.181818181818183,-22.467986030267763
VA,2019,-0.2876318312559896,-7.333446155581881,-4.4585987261146505,-17.674418604651166
OK,2019,-5.5899715764157,-2.271504299142442,14.204545454545448,-21.080368906455856
