occurrence_no,collection_no,accepted_name,genus,family,order,guild,resolution,taxon,lng,lat,eag,lag,mid_ma,early_interval,env,formation,member,collection_name,stp,abu,abv
occ:147936,13061,Atopotarus courseni,Atopotarus,Desmatophocidae,Carnivora,marine_predator_excluded,genus,Atopotarus,-118.339996,33.772999,18.5,12.5,15.5,Late Hemingfordian,carbonate indet.,Monterey,Altamira,Coursen garden,California,,
occ:181183,17444,Promerycochoerus superbus,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,ACM Rosebud 4,South Dakota,,
occ:181184,17445,Mustelidae,,Mustelidae,Carnivora,predator,indeterminate,,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,ACM Rosebud 5,South Dakota,,
occ:181185,17445,Nanotragulus,Nanotragulus,Hypertragulidae,Artiodactyla,herbivore,genus,Nanotragulus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,ACM Rosebud 5,South Dakota,,
occ:181186,17445,Oreodontoides curtus,Oreodontoides,Merycoidodontidae,Artiodactyla,herbivore,genus,Oreodontoides,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,ACM Rosebud 5,South Dakota,specimens,1.0
occ:181196,17449,Promerycochoerus superbus,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 3,South Dakota,,
occ:181198,17451,Gregorymys curtus,Gregorymys,Entoptychidae,Rodentia,herbivore,genus,Gregorymys,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,1.0
occ:181199,17451,Fossorcastor brachyceps,Fossorcastor,Castoridae,Rodentia,herbivore,genus,Fossorcastor,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,1.0
occ:181200,17451,Leptocyon vulpinus,Leptocyon,Canidae,Carnivora,predator,genus,Leptocyon,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,1.0
occ:181201,17451,Paraenhydrocyon robustus,Paraenhydrocyon,Canidae,Carnivora,predator,genus,Paraenhydrocyon,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,1.0
occ:181202,17451,Miohippus equinanus,Miohippus,Equidae,Perissodactyla,herbivore,genus,Miohippus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,5.0
occ:181203,17451,Miohippus gemmarosae,Miohippus,Equidae,Perissodactyla,herbivore,genus,Miohippus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,2.0
occ:181204,17451,Parahippus pristinus,Parahippus,Equidae,Perissodactyla,herbivore,genus,Parahippus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,4.0
occ:181205,17451,Diceratherium,Diceratherium,Rhinocerotidae,Perissodactyla,herbivore,genus,Diceratherium,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,,
occ:181206,17451,Promerycochoerus superbus,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,1.0
occ:181207,17451,Promerycochoerus carrikeri,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,1.0
occ:181208,17451,Promerycochoerus carrikeri,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,1.0
occ:181209,17451,Desmatochoerus curvidens,Desmatochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Desmatochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 7,South Dakota,specimens,1.0
occ:181216,17454,Nanotragulus ordinatus,Nanotragulus,Hypertragulidae,Artiodactyla,herbivore,genus,Nanotragulus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 14,South Dakota,specimens,1.0
occ:181217,17455,Palaeocastor nebrascensis,Palaeocastor,Castoridae,Rodentia,herbivore,genus,Palaeocastor,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 15,South Dakota,specimens,1.0
occ:181218,17455,Enhydrocyon crassidens,Enhydrocyon,Canidae,Carnivora,predator,genus,Enhydrocyon,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 15,South Dakota,specimens,1.0
occ:181219,17455,Promerycochoerus superbus,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 15,South Dakota,,
occ:181220,17455,Promerycochoerus carrikeri,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 15,South Dakota,specimens,1.0
occ:181221,17455,Promerycochoerus carrikeri,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 15,South Dakota,specimens,1.0
occ:181222,17455,Promerycochoerus carrikeri,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 15,South Dakota,specimens,1.0
occ:181223,17456,Leptocyon gregorii,Leptocyon,Canidae,Carnivora,predator,genus,Leptocyon,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 19,South Dakota,specimens,1.0
occ:181224,17457,Gregorymys formosus,Gregorymys,Entoptychidae,Rodentia,herbivore,genus,Gregorymys,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 20,South Dakota,specimens,2.0
occ:181225,17457,Mesoreodon minor,Mesoreodon,Merycoidodontidae,Artiodactyla,herbivore,genus,Mesoreodon,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 20,South Dakota,specimens,1.0
occ:181226,17458,Fossorcastor brachyceps,Fossorcastor,Castoridae,Rodentia,herbivore,genus,Fossorcastor,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 21,South Dakota,specimens,1.0
occ:181227,17458,Diceratherium armatum,Diceratherium,Rhinocerotidae,Perissodactyla,herbivore,genus,Diceratherium,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 21,South Dakota,specimens,1.0
occ:181228,17458,Arretotherium leptodus,Arretotherium,Anthracotheriidae,Artiodactyla,herbivore,genus,Arretotherium,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 21,South Dakota,specimens,1.0
occ:181229,17458,Mesoreodon minor,Mesoreodon,Merycoidodontidae,Artiodactyla,herbivore,genus,Mesoreodon,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,AMNH Rosebud 21,South Dakota,specimens,1.0
occ:181438,17506,Promerycochoerus superbus,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,F:AM Rosebud 2,South Dakota,,
occ:181531,17519,Borophaginae,,Canidae,Carnivora,predator,indeterminate,,-102.5,43.299999,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,Harrison (LACM 2012),South Dakota,specimens,1.0
occ:181597,17528,Oligobunis,Oligobunis,Mustelidae,Carnivora,predator,genus,Oligobunis,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181601,17528,Kalobatippus,Kalobatippus,Equidae,Perissodactyla,herbivore,genus,Kalobatippus,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181602,17528,Miohippus,Miohippus,Equidae,Perissodactyla,herbivore,genus,Miohippus,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181604,17528,Daeodon,Daeodon,Entelodontidae,Artiodactyla,herbivore,genus,Daeodon,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181605,17528,Agriochoerus,Agriochoerus,Agriochoeridae,Artiodactyla,herbivore,genus,Agriochoerus,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181606,17528,Merycoides,Merycoides,Merycoidodontidae,Artiodactyla,herbivore,genus,Merycoides,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181607,17528,Paroreodon parvus,Paroreodon,Merycoidodontidae,Artiodactyla,herbivore,genus,Paroreodon,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181609,17528,Promerycochoerus superbus,Promerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Promerycochoerus,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181615,17528,Entoptychus wheelerensis,Entoptychus,Entoptychidae,Rodentia,herbivore,genus,Entoptychus,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181616,17528,Leidymys,Leidymys,Cricetidae,Rodentia,herbivore,genus,Leidymys,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:181627,17528,Palaeolagus,Palaeolagus,Leporidae,Lagomorpha,herbivore,genus,Palaeolagus,-119.633331,44.700001,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,John Day,Kimberly,John Day Unit L,Oregon,,
occ:182470,17704,Mesocyon temnodon,Mesocyon,Canidae,Carnivora,predator,genus,Mesocyon,-103.800003,42.400002,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,Harrison,Lower,"Tunnel Hill, Ledingham ranch",Nebraska,,
occ:182471,17704,Enhydrocyon pahinsintewakpa,Enhydrocyon,Canidae,Carnivora,predator,genus,Enhydrocyon,-103.800003,42.400002,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,Harrison,Lower,"Tunnel Hill, Ledingham ranch",Nebraska,,
occ:182472,17704,Leptauchenia decora,Leptauchenia,Merycoidodontidae,Artiodactyla,herbivore,genus,Leptauchenia,-103.800003,42.400002,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,Harrison,Lower,"Tunnel Hill, Ledingham ranch",Nebraska,,
occ:182473,17704,Leptauchenia lullianus,Leptauchenia,Merycoidodontidae,Artiodactyla,herbivore,genus,Leptauchenia,-103.800003,42.400002,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,Harrison,Lower,"Tunnel Hill, Ledingham ranch",Nebraska,,
occ:182474,17704,Megoreodon grandis,Megoreodon,Merycoidodontidae,Artiodactyla,herbivore,genus,Megoreodon,-103.800003,42.400002,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,Harrison,Lower,"Tunnel Hill, Ledingham ranch",Nebraska,,
occ:182475,17704,Paramerychyus harrisonensis,Paramerychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Paramerychyus,-103.800003,42.400002,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,Harrison,Lower,"Tunnel Hill, Ledingham ranch",Nebraska,,
occ:182476,17704,Miotylopus leonardi,Miotylopus,Camelidae,Artiodactyla,herbivore,genus,Miotylopus,-103.800003,42.400002,24.7,18.5,21.6,Monroecreekian,terrestrial indet.,Harrison,Lower,"Tunnel Hill, Ledingham ranch",Nebraska,,
occ:182575,17732,Pseudopalaeocastor barbouri,Pseudopalaeocastor,Castoridae,Rodentia,herbivore,genus,Pseudopalaeocastor,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,Lower,33 Ranch,Nebraska,,
occ:182576,17733,Paramerychyus harrisonensis,Paramerychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Paramerychyus,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,fluvial indet.,,,1/2 Mile North of Agate Post Office,Nebraska,,
occ:182577,17734,Dikkomys matthewi,Dikkomys,Heteromyidae,Rodentia,herbivore,genus,Dikkomys,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Harrison,,Agate (1 Mile NE),Nebraska,,
occ:182578,17735,Procyonidae,,Procyonidae,Carnivora,predator,indeterminate,,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (2 Miles NE),Nebraska,,
occ:182579,17736,Desmocyon thomsoni,Desmocyon,Canidae,Carnivora,predator,genus,Desmocyon,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (3 Miles NE),Nebraska,,
occ:182580,17736,Pseudoblastomeryx advena,Pseudoblastomeryx,Moschidae,Artiodactyla,herbivore,genus,Pseudoblastomeryx,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (3 Miles NE),Nebraska,,
occ:182581,17737,Merycodus,Merycodus,Antilocapridae,Artiodactyla,herbivore,genus,Merycodus,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (4 Miles N),Nebraska,,
occ:182582,17738,Brachyerix macrotis,Brachyerix,Erinaceidae,NO_ORDER_SPECIFIED,other,genus,Brachyerix,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (5-7 Miles NE),Nebraska,,
occ:182583,17738,Desmocyon thomsoni,Desmocyon,Canidae,Carnivora,predator,genus,Desmocyon,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (5-7 Miles NE),Nebraska,,
occ:182584,17738,Merycochoerus matthewi,Merycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merycochoerus,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (5-7 Miles NE),Nebraska,,
occ:182585,17738,Merychyus verrucomalus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (5-7 Miles NE),Nebraska,,
occ:182586,17738,Syndyoceras cooki,Syndyoceras,Protoceratidae,Artiodactyla,herbivore,genus,Syndyoceras,-103.800003,42.400002,23.1,18.5,20.8,Harrisonian,terrestrial indet.,Marsland,,Agate (5-7 Miles NE),Nebraska,,
