country,iso3,mu_M4,beta_M4,mu_M2_1,share_equipment,share_structures,share_ipp,rnd_intensity,cluster,silhouette_sample
Australia,AUS,2.5058333333333334,0.3,0.02,0.1211281082906194,0.7461347812916921,0.13273711041768832,2.0685149999999997,2,0.195
Austria,AUT,1.0083333333333333,0.0,0.0399999999999999,0.1698632074241152,0.5651063608861211,0.26503043168976353,2.9983980000000003,1,0.353
Belgium,BEL,6.0,0.2,0.0399999999999999,0.17947128311346855,0.578653610375838,0.23000874742250876,2.482813,2,0.416
Canada,CAN,0.5091666666666667,0.06,0.08,0.09950942993385178,0.7597098852525956,0.1407806848135524,1.7408899999999998,0,0.033
Colombia,COL,0.75875,0.08,0.0,0.23500835656589347,0.7077610390572902,0.05723060437681622,0.27053000000000005,0,0.367
Costa Rica,CRI,0.01,0.02,-0.02,0.19193459806734298,0.743003807817163,0.06506159411549393,0.4739433333333333,0,0.391
Czech Republic,CZE,0.75875,0.0,0.12,0.2240020352547057,0.5778065325437538,0.1981914322015403,1.74914,1,-0.014
Denmark,DNK,1.2579166666666668,0.0,0.08,0.17248983365315354,0.5195257251734644,0.3079844411733818,2.970432,1,0.44
Estonia,EST,0.01,0.0,0.12,0.19477563713651408,0.6507639832301809,0.15446037963330486,1.597447,0,0.041
Finland,FIN,0.01,0.0,0.12,0.07753465521472777,0.6897276879846628,0.23273765680060934,3.1161139999999996,1,0.309
France,FRA,0.01,0.34,-0.08,0.10467717364402224,0.6573207220668474,0.23800210428913018,2.215201,0,-0.101
Germany,DEU,5.25125,0.08,-0.08,0.329082631957193,0.4965019786856397,0.17441538935716713,2.8767229999999997,0,-0.08
Greece,GRC,0.2595833333333333,0.32,-0.08,0.22348181934665107,0.5617202099175819,0.2147979707357668,0.9271869999999998,0,0.16
Hungary,HUN,0.01,0.28,-0.08,0.18018335605208205,0.6320296177620403,0.16710219290612496,1.309491,0,0.187
Iceland,ISL,0.01,0.14,-0.02,0.1938198785438633,0.6600949032890016,0.146085218167135,2.0935387499999996,0,0.267
Ireland,IRL,0.01,0.0,0.12,0.22754123178602317,0.26706227674920885,0.5053964914647678,1.340868,1,0.207
Israel,ISR,6.0,0.0,0.12,0.11417009612671097,0.6249130282612088,0.26091687561208016,4.4024469999999996,1,0.041
Italy,ITA,0.01,0.34,-0.08,0.13534892851996458,0.6489111057457346,0.21573996573430068,1.321972,0,0.029
Japan,JPN,0.01,0.0,-0.08,0.13447778292554433,0.5846748903651218,0.28084732670933366,3.208201,1,0.125
Republic of Korea,KOR,4.752083333333333,0.0,0.08,0.2995867333035939,0.4940259362144801,0.20638733048192587,3.825732,1,0.079
Latvia,LVA,0.01,0.0,0.12,0.19310967057004425,0.6726863793940201,0.10063657381664473,0.633992,0,0.244
Lithuania,LTU,0.01,0.0,0.12,0.21174210208330357,0.6596511359582694,0.12860676195842677,0.928534,0,0.203
Luxembourg,LUX,3.504166666666667,0.16,0.0,0.2851221066824728,0.6238812479137055,0.09397879639383407,1.261633,0,0.092
Mexico,MEX,4.003333333333334,0.08,0.0399999999999999,0.2290503954981313,0.7218820670239128,0.04906753747795582,0.384151,0,0.115
Netherlands,NLD,6.0,0.34,0.0399999999999999,0.12997281665754273,0.6003941594014621,0.2696330239409951,2.036823,2,0.528
New Zealand,NZL,1.0083333333333333,0.26,0.12,0.17971679386369818,0.6506139273192768,0.16966927881702498,1.2845460000000002,0,-0.03
Norway,NOR,0.01,0.34,0.08,0.20255571965824506,0.642867599003322,0.15457668133843278,1.8423580000000002,0,0.008
Poland,POL,0.01,0.0,-0.08,0.3859919070184626,0.537727034430278,0.07628105855125925,0.967392,0,0.271
Portugal,PRT,0.01,0.04,-0.08,0.1573368947935458,0.6394316359251557,0.2032314692812983,1.3572440000000001,0,0.257
Slovakia,SVK,0.01,0.0,0.0399999999999999,0.2093924150385809,0.642990808674595,0.147616776286824,0.8220139999999999,0,0.3
Slovenia,SVN,0.2595833333333333,0.0,-0.08,0.18922776133465047,0.5910650632814984,0.2076226262201697,2.2214850000000004,0,0.101
Spain,ESP,0.01,0.08,-0.08,0.15285596600562235,0.6306302741070949,0.20728513478352403,1.254633,0,0.285
Sweden,SWE,1.2579166666666668,0.0,0.12,0.1440831517009295,0.5334162967473888,0.3225005515516815,3.267646,1,0.432
United Kingdom,GBR,1.7570833333333336,0.0,0.12,0.11219633443693997,0.6234204522752853,0.2643832132877745,2.104917,1,0.285
United States,USA,3.504166666666667,0.0,0.08,0.17397719229480024,0.4844124879115195,0.3416103197936801,2.8155640000000006,1,0.28
