iso3,year,mu_obs,total_gfcf,share_N111G,share_N112G,share_N1131G,share_N1132G,share_N117G,share_N11MG
AUS,1970,1.7517653100526385,7789000000.0,0.24329182179997433,0.483373988958788,0.11850044935164976,0.08345102067017589,0.07138271921941199,
AUS,1971,1.7517555114895602,8573000000.0,0.25953575177884053,0.47847894552665343,0.11326256852910299,0.08410124810451418,0.06462148606088884,
AUS,1972,1.7325856961489634,9452000000.0,0.28195090986034704,0.4466779517562421,0.12261955141768938,0.08601354210749047,0.06273804485823106,
AUS,1973,1.743249039406666,11191000000.0,0.2925565186310428,0.44777052989009025,0.11884550084889643,0.08122598516665178,0.05960146546331874,
AUS,1974,1.7184395537215342,13086000000.0,0.24721075959040195,0.4863976769066178,0.12509552193183554,0.08711600183402109,0.054180039737123646,
AUS,1975,1.7097114840656233,15909000000.0,0.2852473442705387,0.44842541957382615,0.13093217675529575,0.08492048525991577,0.05047457414042366,
AUS,1976,1.7217985417229278,18515000000.0,0.31001890359168244,0.4340264650283554,0.12692411558196057,0.08031325951930866,0.04871725627869295,
AUS,1977,1.713978600176696,20374000000.0,0.30946304113085304,0.4253460292529695,0.12893884362422695,0.08476489643663493,0.0514871895553156,
AUS,1978,1.681677559912854,22950000000.0,0.2868409586056645,0.42531590413943354,0.14152505446623093,0.0934640522875817,0.052854030501089326,
AUS,1979,1.706664844604092,25612000000.0,0.29802436357957207,0.41515695767608934,0.13372637826019054,0.09105106981102608,0.06204123067312197,
AUS,1980,1.7093670644997463,31504000000.0,0.3076752158456069,0.39877475876079227,0.13398298628745556,0.09230573895378365,0.0672613001523616,
AUS,1981,1.7331335223437287,37035000000.0,0.2894019171054408,0.41638990144457944,0.12463885513703253,0.09239908194950722,0.07717024436343999,
AUS,1982,1.7483239994536266,36605000000.0,0.2569047944269908,0.4511678732413605,0.1173336975822975,0.0926922551563994,0.08190137959295178,
AUS,1983,1.6862906192519926,40775000000.0,0.2643286327406499,0.4101042305334151,0.13599019006744328,0.1108522378908645,0.07872470876762722,
AUS,1984,1.675661286233415,47332000000.0,0.271972449928167,0.39360263669399137,0.14307445280148737,0.11151018338544748,0.07984027719090679,
AUS,1985,1.6637770287230609,55774000000.0,0.25138953634309896,0.41074694302004516,0.14677089683365008,0.1137626851220999,0.0773299386811059,
AUS,1986,1.6494363794487557,59792000000.0,0.22621755418785122,0.4206750066898582,0.1521942734814022,0.1196982873963072,0.08121487824458122,
AUS,1987,1.6867344024769662,66533000000.0,0.22981077059504307,0.4254279831061278,0.14041152510784122,0.11370297446379991,0.09064674672718802,
AUS,1988,1.6913281811646297,77896000000.0,0.26937198315702987,0.3980820581287871,0.13962206018280784,0.10820838040464209,0.08471551812673309,
AUS,1989,1.7254323321431073,85698000000.0,0.2673924712362015,0.41069803262619897,0.12583724240939112,0.1044015029522276,0.09167075077598077,
AUS,1990,1.7769143193389105,78174000000.0,0.27436231995292554,0.41431933891063527,0.11056105610561057,0.09555606723463043,0.10520121779619822,
AUS,1991,1.777908151580876,74231000000.0,0.2915493526963129,0.3796392342821732,0.10967116164405706,0.10249087308536865,0.11664937829208821,
AUS,1992,1.7768133577539704,79714000000.0,0.3140853551446421,0.3313470657600923,0.10763479438994406,0.11432119828386482,0.1326115864214567,
AUS,1993,1.7848085026247027,84962000000.0,0.32696970410301074,0.32028436242084696,0.10764812504413739,0.11067300675596149,0.1344248016760434,
AUS,1994,1.7508597219490483,96601000000.0,0.3044896015569197,0.3281332491382077,0.1403298102504115,0.09840477841844288,0.12864256063601825,
AUS,1995,1.7516923478191087,99684000000.0,0.2652983427631315,0.3569379238393323,0.1373841338630071,0.10467075960033706,0.13570883993419205,
AUS,1996,1.7615437033908878,104191000000.0,0.25520438425583786,0.3670854488391512,0.13767983798984557,0.10072846982944784,0.13930185908571757,
AUS,1997,1.7498034008208876,115972000000.0,0.27124650777773945,0.35856068706239436,0.12440071741454833,0.11458800400096575,0.13120408374435208,
AUS,1998,1.7620105056337465,124695000000.0,0.2763944023417138,0.36767312241870165,0.12577088094951683,0.1035165804563134,0.12664501383375437,
AUS,1999,1.7602154039749802,135095000000.0,0.30568118731263183,0.34044931344609347,0.1248528813057478,0.10426736740812022,0.12474925052740664,
AUS,2000,1.7742393232364577,124593000000.0,0.2797267904296389,0.32190411981411476,0.11303203229715955,0.1264998836210702,0.15883717383801657,
