country,iso3,rmse_g-0.04,logratio_g-0.04,rmse_g-0.02,logratio_g-0.02,rmse_g+0.00,logratio_g+0.00,rmse_g+0.02,logratio_g+0.02,rmse_g+0.04,logratio_g+0.04
Luxembourg,LUX,0.2888667432844531,-13.485006402941718,0.14501251804867352,-13.425006402941717,0.014603609343844927,-13.367899707993427,0.14490652304474894,-13.305006402941718,0.28876034256103994,-13.245006402941717
Mexico,MEX,0.24734951461361726,-12.881468279708166,0.10324023645400694,-12.821468279708165,0.04165705782417295,-12.761468279708165,0.18550491775166972,-12.701468279708164,0.32967990316903,-12.641468279708166
Netherlands,NLD,0.2761681301480243,-13.749675313284284,0.13308409793326273,-13.689675313284285,0.027457569738859388,-13.596933647231303,0.15936266548102895,-13.569675313284284,0.30271934223381297,-13.509675313284284
New Zealand,NZL,0.20285431435630033,-14.31698138598288,0.05945238374145596,-14.25698138598288,0.0867138916905363,-14.196981385982879,0.23044307776909806,-14.13698138598288,0.37455136519744714,-14.07698138598288
Norway,NOR,0.20778182959144592,-14.095802383996727,0.06480983067578877,-14.032405357561213,0.08262771687563546,-13.975802383996728,0.22595212997432854,-13.915802383996727,0.36997485115044204,-13.855802383996728
Poland,POL,0.15094615347000118,-12.359364611198245,0.01628298048309429,-12.295356022385615,0.1390882081969439,-12.239364611198246,0.28288853611530484,-12.179364611198245,0.42697343953867184,-12.119364611198245
Portugal,PRT,0.3158274415380203,-12.8058480678745,0.17234092598971287,-12.745848067874501,0.035437504335542915,-12.66141938606416,0.12004265348646555,-12.6258480678745,0.2629917500580799,-12.5658480678745
Slovakia,SVK,0.2494581711110457,-12.96672811562801,0.10992336736365413,-12.90672811562801,0.0594719618901363,-12.819593538408018,0.19128690966597434,-12.78672811562801,0.33353328075029626,-12.72672811562801
Slovenia,SVN,0.23891524606118872,-12.808105269644795,0.09910654718833668,-12.748105269644794,0.06452689819532337,-12.669090863206055,0.2002631605808348,-12.628105269644795,0.34299700637314723,-12.568105269644795
Spain,ESP,0.2661994007948229,-12.936826904944152,0.12435989386581045,-12.876826904944151,0.04084905655101912,-12.758856278716676,0.17167384087245538,-12.756826904944152,0.31444422376423764,-12.696826904944151
Sweden,SWE,0.3020736317778768,-14.13183650507222,0.15803879874392043,-14.07183650507222,0.017436880494117696,-14.005019722595174,0.13127005635068112,-13.951836505072219,0.2752446377084497,-13.89183650507222
Switzerland,CHE,0.19812527188584686,-13.949517940085393,0.05458709905655123,-13.889517940085392,0.09113659751701624,-13.829517940085394,0.23501490895376762,-13.769517940085393,0.3791545007699589,-13.709517940085393
Turkey,TUR,0.09827629069417537,-11.410511526395766,0.07441896953673555,-11.341118022146995,0.2074081404892615,-11.31687032808693,0.3494253717970644,-11.271601085361226,0.4927251202950994,-11.211601085361227
United Kingdom,GBR,0.29412722160031696,-13.480298468370245,0.1500765184578574,-13.420298468370245,0.01162326539923982,-13.335160766603869,0.13909435360448955,-13.300298468370245,0.2831243156473149,-13.240298468370245
United States,USA,0.2711000471861189,-14.1635210913675,0.12775923456238658,-14.1035210913675,0.027378978206235433,-14.024707783082123,0.16363616617138235,-13.9835210913675,0.3072523088780928,-13.923521091367501
