country,iso3,year,actual,M0_baseline,M2_trend,M2_stabilize,M4_baseline,M4_TFP_level_only,M4_AI_surge,M4_fiscal_stimulus
Australia,AUS,2019,1315734.25,99.99999999999977,99.99999999999977,99.77675602811077,99.99999999999994,99.99999999999994,99.99999999999994,99.99999999999994
Australia,AUS,2020,,104.40515829308255,104.81867350199884,104.59649499402606,102.88405211982446,102.61044251719412,102.88405211982446,102.88405211982446
Australia,AUS,2021,,106.50795813192082,107.08012905491522,106.86383178641083,104.3507494171855,103.79646715912915,104.42315829423474,104.3988554919228
Australia,AUS,2022,,108.63703808920275,109.33003768964487,109.11882026280388,105.73507592937874,104.89374251592531,105.94365597661061,105.8645360290036
Australia,AUS,2023,,110.79313851746461,111.57685594984123,111.37002884402575,107.05353569640334,105.91927872833651,107.454601080949,107.28704317771765
Australia,AUS,2024,,112.97699614683285,113.82788751970496,113.624860457836,108.31898363687098,106.88630780540649,108.9624599386998,108.6717350226474
Australia,AUS,2025,,115.18934521758,116.08717765677095,115.88755345665372,109.54074562237115,107.80445084670393,110.47108616463606,110.02262439707312
Australia,AUS,2026,,117.43091851895429,118.35722932097686,118.16087279864075,110.72591538637721,108.68103809162419,111.98288775983694,111.34305291557231
Australia,AUS,2027,,119.70244834538899,120.63975624100766,120.44684012242628,111.8800661085984,109.5218352966534,113.49942554074994,112.63595693314663
Australia,AUS,2028,,122.0046673797409,122.9379111845045,122.7487688569212,113.00827638016489,110.3320656975375,115.02235254885092,113.9045661817095
Australia,AUS,2029,,124.33830951195537,125.25609847370565,125.07101430044474,114.11519719200751,111.11648205103073,116.55340412220256,115.15224003769637
Australia,AUS,2030,,126.70411060050452,127.59779809991522,127.4169762665772,115.2044851029165,111.87882205900677,118.09374955817056,116.38174766177968
Australia,AUS,2031,,129.10280918302396,129.96475872186397,129.78843011010076,116.27874266354081,112.62176383269305,119.64386084230516,117.59509955221708
Australia,AUS,2032,,131.53514714179963,132.35979677073638,132.18803676450239,117.34052670166311,113.34791369982342,121.20448877134797,118.79445804475345
Australia,AUS,2033,,134.0018703290768,134.7853118273529,134.61801640538872,118.39192820687943,114.05940223238247,122.77618751747374,119.98166600663428
Australia,AUS,2034,,136.50372915658247,137.24202367133245,137.07909490507933,119.43429264517628,114.75762165801507,124.35898061397658,121.15733603972376
Australia,AUS,2035,,139.04147915315065,139.73065300743417,139.57199869886747,120.46881013954216,115.44380109298666,125.95293348934626,122.32277891102336
Australia,AUS,2036,,141.61588149389658,142.25192215397772,142.09745550425114,121.49653625137277,116.11902847677833,127.5581469877914,123.47916845158078
Australia,AUS,2037,,144.22770350400685,144.80655568708065,144.6561949929343,122.51840980510606,116.78426935508921,129.17475182527454,124.62755863903664
Australia,AUS,2038,,146.87771913988146,147.3952810454142,147.24894942065364,123.53526820635985,117.44038299481976,130.80290385602314,125.76889844285238
Australia,AUS,2039,,149.56670945006437,150.01882909963885,149.8764542192933,124.54786062819572,118.08813623319887,132.44278003938348,126.90404473585248
Australia,AUS,2040,,152.295463018158,152.67793469021035,152.53944855524523,125.55685937895058,118.72821539731402,134.09457501048777,128.03377352573082
Austria,AUT,2019,476723.3125,99.99999999999993,99.99999999999993,99.4760411463582,99.99999999999993,99.99999999999993,99.99999999999993,99.99999999999993
Austria,AUT,2020,,101.4369910974689,101.42559840103398,100.92920944864561,101.43070453801386,101.40898767422357,101.43070453801386,101.43070453801386
Austria,AUT,2021,,102.95296301598347,102.9473349531686,102.47872230956912,102.95231996502712,102.90823938467145,102.95231996502712,103.03233329229411
Austria,AUT,2022,,104.51919545642949,104.51003194152307,104.06986727167076,104.516388642495,104.44927043845551,104.516388642495,104.71292810641974
Austria,AUT,2023,,106.13574310950334,106.11773989383917,105.70671117545534,106.1271796308911,106.03631919837856,106.1271796308911,106.45511127020781
Austria,AUT,2024,,107.8026828107522,107.7724504914214,107.39133706655879,107.78686249823213,107.67152314001098,107.78686249823213,108.25037026143676
Austria,AUT,2025,,109.52011551588254,109.47453943218788,109.12440671343013,109.49656979893933,109.35598221349842,109.49656979893933,110.09464139067298
Austria,AUT,2026,,111.28816803787787,111.2251534755857,110.90719654662293,111.25694905852437,111.09031111121266,111.25694905852437,111.98611528679916
Austria,AUT,2027,,113.10699455894655,113.02585760106413,112.74121897035032,113.06841683041984,112.87489340872143,113.06841683041984,113.92411699622049
Austria,AUT,2028,,114.97677793185828,114.87837909879698,114.62798274109764,114.93128683737406,114.71000970660255,114.93128683737406,115.90854740908189
