country,iso3,M0_rho1,M0_rho2,M0_R2,M2_rho1,M2_rho2,M2_R2,Mobs_rho1,Mobs_rho2,Mobs_R2
Australia,AUS,-6.36921203957716,0.7392669141816363,0.9957418120349373,-6.278630801660009,0.7334109942299124,0.9986021839183957,-6.4868045758259445,0.7414907648460938,0.9980829242174144
Austria,AUT,-12.550167767822819,0.967417454071433,0.9962468204615441,-13.278285936307475,0.9920872826491113,0.9980467368007215,-13.960702124230853,1.0164675725929195,0.9980460555282197
Belgium,BEL,-14.460040624168972,1.040378086270955,0.9921769545190267,-12.674208987786763,0.9747314352813289,0.9930096996922555,-13.947686705499045,1.0203208807654143,0.9934799551033102
Canada,CAN,-6.621680670775045,0.7609835605630864,0.9997264291350306,-5.594087520698746,0.7231869358759121,0.998265765155603,-6.638436291187124,0.7598265459241923,0.9991248892908158
Colombia,COL,-4.8980919820182125,0.7178123781586035,0.9810962093134349,-5.055150851121808,0.7229992455810488,0.9784880679005139,-5.3266423648262,0.7319259950179026,0.9719007600592614
Costa Rica,CRI,-12.524830799032184,0.9789478873831591,0.9987056488581874,-12.529587112769747,0.9791191966614565,0.9987045729132865,-12.88040906426655,0.9900029023496353,0.9981853245803284
Czech Republic,CZE,-8.370140234676429,0.8361029158402076,0.9315680947840914,-4.234944510772763,0.6786090607059848,0.7538564060396863,-7.864558571578627,0.8153250627937176,0.884998345155329
Denmark,DNK,-11.395728010837846,0.9143381019948462,0.9968681752419922,-10.577629532622302,0.8828565913312466,0.9910858699680462,-11.88491185843231,0.9305009617526503,0.9936896423165422
Estonia,EST,-7.923947933543441,0.8010696486571328,0.9860673800895088,-5.241100088223733,0.6848314855064057,0.911105528887586,-7.201252791142739,0.7688815130945232,0.9632312633984511
Finland,FIN,-5.629414995351411,0.7057690192800641,0.9930578083547597,-4.143392561190509,0.6498427468204478,0.9839154445493105,-5.262199047671015,0.6912532098596014,0.9870378119426363
France,FRA,-8.31745555424868,0.8250048464951031,0.9780716806791553,-8.315012795405675,0.8249156057674666,0.9780369065863537,-8.033423335960405,0.814065616280921,0.9769053951290835
Germany,DEU,-4.429536151303978,0.6968877439606097,0.9969088259853224,-4.436530049156705,0.6971143805514894,0.9969491969422548,-6.137722057831122,0.7525621555749138,0.9983073274946965
Greece,GRC,-2.018457330900046,0.6143703454105927,0.9876552732622531,-2.136751886492271,0.6187046126603136,0.9874827230990602,-3.1032567216830214,0.6538266036557955,0.9265312283324564
Hungary,HUN,-7.252819853311343,0.7993589609414755,0.9747337230655246,-7.245100481999839,0.7990534920287652,0.9746284010578576,-5.609268536770415,0.7347994508877547,0.9504980354245759
Iceland,ISL,-12.044719215731776,0.9073331839352872,0.9807151823122708,-12.432064185299184,0.9221665324894208,0.9797249882599158,-11.591013787045194,0.8876925002604146,0.9379876643254828
Ireland,IRL,-6.870181083054312,0.7703961034083346,0.9924420956148668,-5.38927446411139,0.7056598422679516,0.975650248285177,-6.144902858704512,0.7395037550504876,0.9863770675424872
Israel,ISR,-8.460891500929671,0.8085622781926398,0.9933171800982947,-10.912592801530128,0.8930700447413057,0.9824325145053104,-10.213677736332984,0.8699778422280922,0.9859042561470827
Italy,ITA,-10.705858282260303,0.9256945647194442,0.9929089510527821,-10.721747722355687,0.9262330628944262,0.9928782343004932,-13.26226932377761,1.0122367334894737,0.9861513838443434
Japan,JPN,-23.75287037563244,1.310261069744509,0.9112117427577896,-23.80248340884864,1.3118523606213777,0.9111992339345968,-33.76203859881281,1.6312758588367227,0.8975561316416618
Republic of Korea,KOR,-9.037309055411633,0.8602661953087167,0.9968553125472331,-11.666536737875639,0.9466086525519638,0.998904372576801,-10.808981923029588,0.9191789812905682,0.9982371422169043
Latvia,LVA,0.9381520183378893,0.46558066839871,0.6284670525710797,13.866522798059771,-0.04787288851674894,0.011795041867300293,5.864461619405334,0.2697904593060108,0.2737248774509815
Lithuania,LTU,-7.453581226290344,0.7909161290451711,0.935396776041799,-1.750045540385634,0.5572457671249184,0.7743284716165384,-5.408984671532832,0.7067727604343359,0.8775149999828211
Luxembourg,LUX,-12.274623839573126,0.9614371005044318,0.9948909152603915,-13.327974533791064,0.9983314787377754,0.9973709912150512,-12.892257164856975,0.9832172715387203,0.9971651509256968
Mexico,MEX,-7.508105681290144,0.8173382625273711,0.9996037027108,-7.188534957063979,0.804151690833484,0.9996189252359693,-7.979536434391093,0.8321701708076186,0.999647990944581
Netherlands,NLD,-8.80557176822068,0.8344630791099267,0.957775689244314,-8.050557798496742,0.8067037660183114,0.9684957012840968,-9.17389181778719,0.8458905668352381,0.968074823912172
New Zealand,NZL,-4.6349298066799784,0.652299700354995,0.9988863318916784,-3.8009478852768037,0.6176983165555144,0.9941611819991438,-4.4554610544991915,0.6441646956782207,0.9968618476465825
Norway,NOR,-4.329740674805476,0.6552499793314949,0.9906530206754507,-2.2103776685372636,0.5779207971531128,0.9912096693858312,-3.3707124544664873,0.6199321088574333,0.9913036124417313
Poland,POL,-1.5108970362063565,0.5979010540277305,0.9977799598854246,-1.50867542095939,0.5978054170071053,0.9977669316813588,-1.0134228137923673,0.5774596517601257,0.9944177605862615
Portugal,PRT,-14.815169254677825,1.0806651185261449,0.9685052403541062,-14.835246548141836,1.081403110421909,0.9684185875946278,-18.051073726785507,1.199399026599079,0.949960104362412
Slovakia,SVK,-6.2688725263031655,0.7459634495884784,0.9057616882972847,-3.075750650644863,0.6160674342723507,0.8234392382180805,-4.752032818952632,0.6845070186636194,0.8770865968774695
Slovenia,SVN,-3.5957762087864062,0.6421436269146538,0.961543033374846,-4.492397059641147,0.6768946346385837,0.9573153270140098,-3.8743112450710795,0.6509002977738928,0.9040939193674832
Spain,ESP,-9.211010435312602,0.875677242323992,0.985704407297339,-9.217986996490287,0.8759114473356782,0.9856144054706114,-10.339593660291666,0.9132854737010223,0.970839711114589
