country,iso3,scenario,mu_M1,mu0_M2,mu1_M2,TestB_M2_rmse_pp
Australia,AUS,baseline,2.25625,2.25,0.020000000000000004,2.169619758161557
Australia,AUS,trend_up,2.25625,2.25,0.020000000000000004,2.1683569443011885
Australia,AUS,trend_down,2.25625,2.25,0.020000000000000004,2.170986693854338
Australia,AUS,post2000_high,2.25625,2.25,0.020000000000000004,2.169601137979122
Australia,AUS,post2000_low,2.25625,2.25,0.020000000000000004,2.1708950213989957
Australia,AUS,cyclical,2.25625,2.25,0.020000000000000004,2.1743553131858664
Austria,AUT,baseline,0.01,0.05,0.039999999999999994,2.210524873913159
Austria,AUT,trend_up,0.01,0.05,0.039999999999999994,2.203205257021016
Austria,AUT,trend_down,0.01,0.05,0.039999999999999994,2.2182700868225558
Austria,AUT,post2000_high,0.01,0.05,0.039999999999999994,2.190432082488031
Austria,AUT,post2000_low,0.01,0.05,0.039999999999999994,2.2329978520386238
Austria,AUT,cyclical,0.01,0.05,0.039999999999999994,2.216468273753673
Belgium,BEL,baseline,0.25958333333333333,0.05,0.039999999999999994,1.8054854444872628
Belgium,BEL,trend_up,0.25958333333333333,0.05,0.039999999999999994,1.800240574459423
Belgium,BEL,trend_down,0.25958333333333333,0.05,0.039999999999999994,1.8112708591293796
Belgium,BEL,post2000_high,0.25958333333333333,0.05,0.039999999999999994,1.7801878132923392
Belgium,BEL,post2000_low,0.25958333333333333,0.05,0.039999999999999994,1.833660119055629
Belgium,BEL,cyclical,0.25958333333333333,0.05,0.039999999999999994,1.8038531901025894
Canada,CAN,baseline,0.25958333333333333,0.05,0.08,1.8085217239869027
Canada,CAN,trend_up,0.25958333333333333,0.05,0.08,1.8054474940177552
Canada,CAN,trend_down,0.25958333333333333,0.05,0.08,1.811764217551988
Canada,CAN,post2000_high,0.25958333333333333,0.05,0.08,1.7996600133650973
Canada,CAN,post2000_low,0.25958333333333333,0.05,0.08,1.8186013251773867
Canada,CAN,cyclical,0.25958333333333333,0.05,0.08,1.815515032313467
Chile,CHL,baseline,0.5091666666666667,0.05,0.12,4.39629218934331
Chile,CHL,trend_up,0.5091666666666667,0.05,0.12,4.3944659128283
Chile,CHL,trend_down,0.5091666666666667,0.05,0.12,4.398256982483621
Chile,CHL,post2000_high,0.75875,0.05,0.12,4.389091416302528
Chile,CHL,post2000_low,0.5091666666666667,0.05,0.12,4.404752206744504
Chile,CHL,cyclical,0.5091666666666667,0.05,0.12,4.382604912771501
China,CHN,baseline,6.0,5.0,-0.08,5.598228253878965
China,CHN,trend_up,6.0,5.0,-0.08,5.598809241594567
China,CHN,trend_down,6.0,5.0,-0.08,5.597594418004989
China,CHN,post2000_high,6.0,5.0,-0.08,5.61266826590336
China,CHN,post2000_low,6.0,5.0,-0.08,5.584345215201087
China,CHN,cyclical,6.0,5.0,-0.08,5.592271254156679
Colombia,COL,baseline,0.5091666666666667,0.6000000000000001,0.0,2.0498683537506985
Colombia,COL,trend_up,0.5091666666666667,0.6000000000000001,0.0,2.050795959491992
Colombia,COL,trend_down,0.5091666666666667,0.6000000000000001,0.0,2.0490358839040153
Colombia,COL,post2000_high,0.5091666666666667,0.6000000000000001,0.0,2.0626118924204713
Colombia,COL,post2000_low,0.5091666666666667,0.6000000000000001,0.0,2.0396013840654015
Colombia,COL,cyclical,0.5091666666666667,0.6000000000000001,0.0,2.0451189629238
Costa Rica,CRI,baseline,0.01,0.05,-0.020000000000000004,3.5833513702769313
Costa Rica,CRI,trend_up,0.01,0.05,-0.020000000000000004,3.579786670777288
Costa Rica,CRI,trend_down,0.01,0.05,-0.020000000000000004,3.587109900125541
Costa Rica,CRI,post2000_high,0.01,0.05,-0.020000000000000004,3.579433011007586
Costa Rica,CRI,post2000_low,0.01,0.05,-0.020000000000000004,3.5889553027553096
Costa Rica,CRI,cyclical,0.01,0.05,-0.020000000000000004,3.5858610797259787
Czech Republic,CZE,baseline,6.0,5.0,0.12,3.2496886669171117
Czech Republic,CZE,trend_up,6.0,5.0,0.12,3.2558655175929
Czech Republic,CZE,trend_down,6.0,5.0,0.12,3.243913199636412
Czech Republic,CZE,post2000_high,6.0,5.0,0.12,3.279680154748272
Czech Republic,CZE,post2000_low,6.0,5.0,0.09999999999999999,3.2231476186397283
Czech Republic,CZE,cyclical,6.0,5.0,0.09999999999999999,3.23368863002106
Denmark,DNK,baseline,0.5091666666666667,0.05,0.08,1.9553029333780585
Denmark,DNK,trend_up,0.5091666666666667,0.05,0.08,1.9500456750838309
Denmark,DNK,trend_down,0.5091666666666667,0.05,0.08,1.9608909219145976
Denmark,DNK,post2000_high,0.5091666666666667,0.05,0.08,1.9363359452582478
Denmark,DNK,post2000_low,0.5091666666666667,0.05,0.08,1.976485363493
Denmark,DNK,cyclical,0.5091666666666667,0.05,0.08,1.9637459461274758
Estonia,EST,baseline,6.0,5.0,0.12,5.855523723887924
Estonia,EST,trend_up,6.0,5.0,0.12,5.860873271110706
Estonia,EST,trend_down,6.0,5.0,0.12,5.850296757790615
Estonia,EST,post2000_high,6.0,5.0,0.12,5.873184496559898
Estonia,EST,post2000_low,6.0,5.0,0.12,5.839238182824428
Estonia,EST,cyclical,6.0,5.0,0.12,5.839210909511064
Finland,FIN,baseline,0.01,0.05,0.12,2.434880428256335
Finland,FIN,trend_up,0.01,0.05,0.12,2.433138051020761
Finland,FIN,trend_down,0.01,0.05,0.12,2.436927053415606
Finland,FIN,post2000_high,0.01,0.05,0.12,2.4214094458811135
Finland,FIN,post2000_low,0.01,0.05,0.12,2.4503615123344815
Finland,FIN,cyclical,0.01,0.05,0.12,2.4412300760579773
France,FRA,baseline,0.01,0.05,-0.08,1.9650072394321816
France,FRA,trend_up,0.01,0.05,0.039999999999999994,1.9563797839834867
France,FRA,trend_down,0.01,0.05,-0.08,1.9737772984944497
France,FRA,post2000_high,0.01,0.05,-0.08,1.9392608707868888
France,FRA,post2000_low,0.01,0.05,0.020000000000000004,1.9923847996601223
France,FRA,cyclical,0.01,0.05,0.039999999999999994,1.970148262772014
Germany,DEU,baseline,0.01,0.05,-0.08,1.8361650774709835
Germany,DEU,trend_up,0.01,0.05,-0.08,1.8298605848390215
Germany,DEU,trend_down,0.01,0.05,-0.08,1.8428354272282306
