country,year,pim_produced_plus_intan,cwon_pca
Canada,2000,4623432.460136752,3496731163249.5
Canada,2001,4761701.613805398,3631461272878.67
Canada,2002,4893015.394760558,3757823633052.63
Canada,2003,5024724.964758777,3892699896020.75
Canada,2004,5166397.183044306,4049617562266.52
Canada,2005,5321318.724118916,4230407877586.63
Canada,2006,5494730.184981806,4426863621492.8
Canada,2007,5682746.422335774,4628210606332.74
Canada,2008,5873589.815954372,4831016831813.59
Canada,2009,6060482.253935234,4983583476372.92
Canada,2010,6217218.654704604,5175823717055.89
Canada,2011,6382439.726527122,5380138445245.89
Canada,2012,6560008.987733187,5600423090546.23
Canada,2013,6755649.253512782,5822173365660.61
Canada,2014,6971569.063078242,6048575302051.59
Canada,2015,7186953.597398053,6238123849001.91
Canada,2016,7379213.246832124,6414695104857.23
Canada,2017,7545665.594107441,6607703172504.06
Canada,2018,7714779.126813146,6815048255798.06
Canada,2019,7882199.094945745,7022094055353.72
Chile,1995,300369.75738148246,84397567930.5465
Chile,1996,320129.3487026156,92545367104.6743
Chile,1997,343382.7710305945,101642819411.297
Chile,1998,370226.4286228001,110867245064.109
Chile,1999,400313.6886537856,117367620633.802
Chile,2000,431179.3136049455,124659724732.412
Chile,2001,463562.7299820237,132273724623.548
Chile,2002,497286.5585227737,139853938692.165
Chile,2003,532142.8739454577,147908233215.934
Chile,2004,568071.4283924687,157169428226.586
Chile,2005,604703.2146885643,169554219162.062
Chile,2006,642789.3563971273,182512995596.689
Chile,2007,681465.9032639188,196775417846.353
Chile,2008,720690.2608196775,214635475142.142
Chile,2009,763547.0550944937,228393600634.948
Chile,2010,805045.3442661532,244462814242.244
Chile,2011,846981.7639068317,263752072774.863
Chile,2012,889886.4021697433,285520452595.188
Chile,2013,935068.1211164346,307670381011.849
Chile,2014,981377.9955050071,327377364396.005
Chile,2015,1027188.0564870273,346507728885.914
Chile,2016,1073784.3425676485,364994382212.648
Chile,2017,1120556.266369802,382762317230.838
Chile,2018,1167928.2842886252,402431003674.277
Chile,2019,1216518.248641982,423365535283.674
China,1995,9258023.711981136,1000509195083.33
China,1996,10143984.974461759,1150291020603.51
China,1997,11094412.963596506,1313070143781.42
China,1998,12011862.513218489,1508086877937.07
China,1999,12821038.940873358,1714020693926.74
China,2000,13625573.767538706,1936262375085.23
China,2001,14507551.177063517,2200254613811.48
China,2002,15641600.418431953,2512261261499.54
China,2003,16922508.723580703,2902804836934.61
China,2004,18528103.381783374,3356823719169.63
China,2005,20470243.131906826,3878621217078.08
China,2006,22465607.564612914,4477974827895.5
China,2007,24794938.279407922,5161317805490.63
China,2008,27719397.06960424,5940798215676.7
China,2009,31135105.587643836,6976561127825.63
China,2010,35180727.000331014,8167401059674.74
China,2011,39781395.81915161,9471300595423.63
China,2012,44610236.90940716,10913317808575.8
China,2013,49155442.18200341,12510412762709.4
China,2014,54030553.33258612,14221390760424.7
China,2015,59111868.100300066,16083785699585.8
China,2016,63845971.65241659,18099387057249.3
China,2017,68663282.38284567,20242238467205.9
China,2018,73413300.488814,22540966405512.1
China,2019,78498543.75682943,24931236669245.2
Colombia,1995,934293.2798322116,219799389843.503
Colombia,1996,986197.0322137584,231891369058.917
Colombia,1997,1032284.8132844031,243105363265.581
Colombia,1998,1075086.8481551707,252501881264.825
Colombia,1999,1113856.8149085254,254203640453.507
Colombia,2000,1134734.7235492181,255449785651.636
Colombia,2001,1151689.2962783508,258016548511.483
Colombia,2002,1169987.7748918703,262232011553.104
Colombia,2003,1192565.5461450862,268199798902.243
Colombia,2004,1220342.3064639738,275925190591.971
Colombia,2005,1253928.3731220907,285948045816.82
Colombia,2006,1293547.8014479238,299497825708.907
Colombia,2007,1340106.076003449,317124624181.966
Colombia,2008,1392975.4309825727,332272744633.577
Colombia,2009,1448045.4468023158,347586770079.784
Colombia,2010,1496922.7031417566,364381755497.943
Colombia,2011,1543151.471720803,384072690126.603
Colombia,2012,1592745.1896799712,403384440356.959
Colombia,2013,1640623.0911781704,424527298923.509
Colombia,2014,1687068.5464489274,448083616627.73
Colombia,2015,1737872.1654222482,471860164662.282
Colombia,2016,1786195.6834889133,493832466149.762
Colombia,2017,1830836.9144379352,517117722762.027
Colombia,2018,1869277.9424216815,541530892095.442
Colombia,2019,1903897.805622126,567219626973.997
Costa Rica,1995,50167.144543615104,22062891765.4862
Costa Rica,1996,52866.675111198245,23359832850.5117
Costa Rica,1997,55219.53537351862,25049048567.488
Costa Rica,1998,58507.72962392407,27408079384.2586
Costa Rica,1999,62979.02379223007,29504371035.0248
Costa Rica,2000,67382.5847870375,31304533662.1967
Costa Rica,2001,71448.24349261206,33252284715.3739
Costa Rica,2002,75716.26742454364,35313711969.6138
Costa Rica,2003,80719.91215435367,37516341766.1864
Costa Rica,2004,86061.11013988576,39684677450.9109
Costa Rica,2005,91292.77674002957,41967240146.9906
Costa Rica,2006,96727.50283422883,44484915453.8559
Costa Rica,2007,103061.57823112604,47893716344.9246
Costa Rica,2008,111356.75785274035,51822797094.6472
Costa Rica,2009,120846.47279817674,54783652581.0582
Costa Rica,2010,126762.51521761938,57966975400.1027
Costa Rica,2011,133596.33254807338,61258110154.9698
Costa Rica,2012,141154.6121267821,65084217405.3361
Costa Rica,2013,149812.37802897632,68729322683.3772
Costa Rica,2014,157485.2693713301,72438302411.8115
Costa Rica,2015,164672.03573576527,76206079765.2879
Costa Rica,2016,171091.04811934495,80153304525.7304
Costa Rica,2017,177453.1952993212,83642514701.1298
Costa Rica,2018,184082.97504755334,87167709157.3948
Costa Rica,2019,190018.44608220295,89906795835.2823
Czech Republic,1995,1422253.380302289,497649785615.881
Czech Republic,1996,1420856.0430169103,508974079549.924
Czech Republic,1997,1425107.3308448985,516633349879.54
Czech Republic,1998,1429096.498231703,522421674279.321
Czech Republic,1999,1432367.5379027084,526275196164.225
