country,iso3,M0_oos_mape,M1_oos_mape,M2_oos_mape,M3_oos_mape,M4_oos_mape
Australia,AUS,4.409623049097526,3.911396769940327,3.835473383291109,3.7634203997187683,1.2990330135825627
Austria,AUT,0.42420775144352985,0.42444040511570424,0.3397484253339294,0.42420775144352985,0.4233106800755523
Belgium,BEL,1.8826318456652593,1.8981876454282187,1.450294001866206,4.83792530970332,5.132036786400064
Canada,CAN,1.2410200704505794,1.2035710236868395,1.1404322733109729,2.3927388717367806,2.248691056737922
Chile,CHL,0.6072691590675053,0.7328797093622701,1.4217388697771691,0.6072691590675053,2.060769597768041
China,CHN,5.303161524420618,3.977501501771582,4.491475363314739,6.239761699232269,17.13630936077901
Colombia,COL,7.958202896879342,7.757732998933226,7.917587147633995,5.508262800237609,5.503616533587289
Costa Rica,CRI,4.604704417932623,4.594535780205344,4.594475947049151,4.604704417932623,4.594535780205344
Czech Republic,CZE,10.411998482705105,9.331382581624794,9.364417400922912,10.411998482705105,10.169615640404087
Denmark,DNK,4.047278966206182,4.0580237422905325,3.9855050190188646,4.047278966206182,4.029562750508946
Estonia,EST,5.551763317363564,3.5746722511587192,3.5489985342394075,5.551763317363564,5.543510650939948
Finland,FIN,2.5847825540693044,2.587680307926104,2.9879210688671645,2.5847825540693044,2.587680307926104
France,FRA,1.2654892997024265,1.2668874901551237,1.2206318962089098,1.876757808510664,1.8781468101874892
Germany,DEU,5.1959155709013105,5.1969962961159375,5.1969962961159375,5.039830168005569,5.579227628457931
Greece,GRC,11.21155748450174,11.220652560232502,11.23522335430927,17.601765394778482,18.165282005102608
Hungary,HUN,2.46869565045308,2.4699033927728613,2.4699033927728613,3.6380208165563603,4.161707431007574
Iceland,ISL,9.502777979060042,9.247761948637523,9.392313844844162,13.192435294438596,13.19144605788145
Ireland,IRL,20.498624654050474,21.59183909750544,21.622361840684253,20.498624654050474,20.514680677847398
Israel,ISR,1.040044453542888,1.0424528370255486,1.6862899298349525,1.040044453542888,1.3691186398518096
Italy,ITA,5.415724286202153,5.419372754943497,5.419372754943497,8.228145451939636,8.325329412592534
Japan,JPN,3.498791891953294,3.4980066118187674,3.4980066118187674,3.498791891953294,3.4980066118187674
Republic of Korea,KOR,6.576474885510626,5.805232990824374,5.264678790889364,6.576474885510626,4.607110382084601
Latvia,LVA,13.909341479547981,12.689297664265602,12.73619362166658,13.909341479547981,13.904161451161922
Lithuania,LTU,8.83810871918204,7.6441160583897965,7.840441275398762,8.83810871918204,8.832825311173377
Luxembourg,LUX,6.569798381064816,7.630471834510599,7.564082606086135,0.5454956905385461,0.6547038752352946
Mexico,MEX,3.8526165527463485,3.85461991312727,3.6411861124213685,3.8526165527463485,2.168511038537293
Netherlands,NLD,0.939706957047519,0.9388879050678713,0.9464597647924868,4.066264264076105,3.855495139480843
New Zealand,NZL,6.759219596059805,6.551661668216463,6.5537515709159955,6.133588603492608,5.88737522626744
Norway,NOR,3.76630114978906,3.5586649326225164,2.283188823711497,5.99334247616705,6.750809744517946
Poland,POL,12.480142583396939,12.47945789358213,12.47945789358213,12.480142583396939,12.47945789358213
Portugal,PRT,2.016518524280394,2.020954246640463,2.020954246640463,1.6693075981422951,1.6692491696542058
Slovakia,SVK,7.533454626261632,7.412862785703053,7.591281891681067,7.533454626261632,7.533619934174815
Slovenia,SVN,5.067023607877541,4.79416791859027,4.928603124974469,5.067023607877541,5.064084450807718
Spain,ESP,0.6698853927584602,0.6767087730079419,0.6767087730079419,1.8003658144521273,1.5295072793389926
Sweden,SWE,4.121434253257471,4.408480823153312,5.3430437637757695,4.121434253257471,4.359035364505573
Switzerland,CHE,5.554306539941263,5.555376389750803,6.384844954522426,5.554306539941263,6.102194680119527
Turkey,TUR,1.8418155524288735,1.8429175603955037,3.1786894081075636,1.6600113387491535,4.352120487298615
United Kingdom,GBR,1.8440261239667375,1.6694355161136696,1.3218439592401132,1.8440261239667375,1.6694355161136696
United States,USA,4.7220678002742025,4.720031287592179,3.8299219731111993,4.7220678002742025,4.606208776338525
