country,iso3,M0_oos_mape,M1_oos_mape,M2_oos_mape,Mobs_oos_mape
Australia,AUS,4.409623049097526,3.911396769940327,3.835473383291109,4.047072177698623
Austria,AUT,0.42420775144352985,0.42444040511570424,0.3397484253339294,0.36122789401354716
Belgium,BEL,1.8826318456652593,1.8981876454282187,1.450294001866206,1.8436298954359769
Canada,CAN,1.2410200704505794,1.2035710236868395,1.1404322733109729,1.066342800013426
Colombia,COL,7.958202896879342,7.757732998933226,7.917587147633995,7.588420025067674
Costa Rica,CRI,4.604704417932623,4.594535780205344,4.594475947049151,3.3933637052757897
Czech Republic,CZE,10.411998482705105,9.331382581624794,9.364417400922912,9.853544228961075
Denmark,DNK,4.047278966206182,4.0580237422905325,3.9855050190188646,3.9361577635316154
Estonia,EST,5.551763317363564,3.5746722511587192,3.5489985342394075,4.556133317393829
Finland,FIN,2.5847825540693044,2.587680307926104,2.9879210688671645,2.9848330215016468
France,FRA,1.2654892997024265,1.2668874901551237,1.2206318962089098,1.4271813566357714
Germany,DEU,5.1959155709013105,5.1969962961159375,5.1969962961159375,5.351826203260456
Greece,GRC,11.21155748450174,11.220652560232502,11.23522335430927,13.05240130178702
Hungary,HUN,2.46869565045308,2.4699033927728613,2.4699033927728613,2.6315197229014933
Iceland,ISL,9.502777979060042,9.247761948637523,9.392313844844162,8.530159498167835
Ireland,IRL,20.498624654050474,21.59183909750544,21.622361840684253,22.308466745819224
Israel,ISR,1.040044453542888,1.0424528370255486,1.6862899298349525,1.3883661912666778
Italy,ITA,5.415724286202153,5.419372754943497,5.419372754943497,6.17552585539969
Japan,JPN,3.498791891953294,3.4980066118187674,3.4980066118187674,3.16306925795295
Republic of Korea,KOR,6.576474885510626,5.805232990824374,5.264678790889364,5.63353460159157
Latvia,LVA,13.909341479547981,12.689297664265602,12.73619362166658,13.132260873658025
Lithuania,LTU,8.83810871918204,7.6441160583897965,7.840441275398762,8.09292595338526
Luxembourg,LUX,6.569798381064816,7.630471834510599,7.564082606086135,7.3540899468238194
Mexico,MEX,3.8526165527463485,3.85461991312727,3.6411861124213685,4.063890888881856
Netherlands,NLD,0.939706957047519,0.9388879050678713,0.9464597647924868,0.7933411613736843
New Zealand,NZL,6.759219596059805,6.551661668216463,6.5537515709159955,6.835913917801154
Norway,NOR,3.76630114978906,3.5586649326225164,2.283188823711497,2.9700987708317306
Poland,POL,12.480142583396939,12.47945789358213,12.47945789358213,12.373232745583932
Portugal,PRT,2.016518524280394,2.020954246640463,2.020954246640463,3.039487803837541
Slovakia,SVK,7.533454626261632,7.412862785703053,7.591281891681067,7.536253231651519
Slovenia,SVN,5.067023607877541,4.79416791859027,4.928603124974469,4.354919517962763
Spain,ESP,0.6698853927584602,0.6767087730079419,0.6767087730079419,2.045631886065495
Sweden,SWE,4.121434253257471,4.408480823153312,5.3430437637757695,4.595840644885081
United Kingdom,GBR,1.8440261239667375,1.6694355161136696,1.3218439592401132,1.6342683485917726
United States,USA,4.7220678002742025,4.720031287592179,3.8299219731111993,4.169108829472494
