country,iso3,year,tfp_M0,tfp_M2,tfp_Mobs,alpha
Australia,AUS,1950,0.6475828693077306,0.6475828693077306,0.6475828693077306,0.36110738345554894
Australia,AUS,1951,0.6400248883171145,0.6587485393256349,0.6571973030166527,0.36110738345554894
Australia,AUS,1952,0.5649156213129967,0.6000751185960231,0.596082560379946,0.36110738345554894
Australia,AUS,1953,0.6508590432495325,0.6868453172060276,0.6812436398143298,0.36110738345554894
Australia,AUS,1954,0.7036480810604777,0.7429813163384047,0.7360670266413871,0.36110738345554894
Australia,AUS,1955,0.7149335685820031,0.75836255036132,0.7502503170079313,0.36110738345554894
Australia,AUS,1956,0.6896362067534936,0.7351988131823557,0.726142746014518,0.36110738345554894
Australia,AUS,1957,0.6930816682531482,0.7373591959061505,0.7278455116779687,0.36110738345554894
Australia,AUS,1958,0.7426590543878842,0.786180778212703,0.7764585696607034,0.36110738345554894
Australia,AUS,1959,0.7816136864491003,0.8259310595017402,0.8159973652305688,0.36110738345554894
Australia,AUS,1960,0.7716357045455462,0.81679846055395,0.8066412361993551,0.36110738345554894
Australia,AUS,1961,0.7624079339144512,0.8078266640660559,0.7974954638357081,0.36110738345554894
Australia,AUS,1962,0.7917690805990736,0.8341051960287018,0.8239860391226914,0.36110738345554894
Australia,AUS,1963,0.8209750868524202,0.8622281852164164,0.852345564973783,0.36110738345554894
Australia,AUS,1964,0.8414879656865324,0.882036559264554,0.8723245200604879,0.36110738345554894
Australia,AUS,1965,0.8238682102759292,0.8654588565637393,0.8556681024613901,0.36110738345554894
Australia,AUS,1966,0.8421580624770728,0.8833086561282393,0.8734758447504234,0.36110738345554894
Australia,AUS,1967,0.8532715220529647,0.8942037234096993,0.8843179970112418,0.36110738345554894
Australia,AUS,1968,0.8879840341239769,0.9285673425425527,0.9186317872402121,0.36110738345554894
Australia,AUS,1969,0.9202756560348311,0.9615553206371015,0.9514452282635721,0.36110738345554894
Australia,AUS,1970,0.9144509876051439,0.9564757934448735,0.9461124073813743,0.36110738345554894
Australia,AUS,1971,0.9243073895163638,0.9664567108755673,0.955866630562995,0.36110738345554894
Australia,AUS,1972,0.9285961703257231,0.9698796444094242,0.9591823431947173,0.36110738345554894
Australia,AUS,1973,0.9377009277650368,0.9775271671466701,0.966896532788696,0.36110738345554894
