country,iso3,beta3_tr,beta_obs_tr,beta4_tr,M0_oos,Mobs_oos,M3_oos,Mobs_b_oos,M2_oos,M4_oos
Australia,AUS,0.1,0.06,0.22,4.379871482244336,4.012999749278279,3.7255540614212976,4.107332378099067,3.798888172260907,1.2590599663139346
Austria,AUT,0.0,0.0,0.0,0.44693396576917926,0.3759843776436666,0.44693396576917926,0.3759843776436666,0.3353361580670409,0.43848133030969777
Belgium,BEL,0.16,0.18,0.2,1.9156276616903885,1.876348570906356,4.453683104344459,4.835637572903391,1.4802083567213447,5.1667029350133475
Canada,CAN,0.02,0.03,0.06,1.2123756746662977,1.0354999322109615,2.3394800743899675,2.084539904118348,1.110525689626065,2.1954784215845
Colombia,COL,0.1,0.1,0.1,7.96426323329853,7.595374370672939,5.5244330650594735,5.16536431101108,7.923746664589995,5.519797591998589
Costa Rica,CRI,0.0,0.0,0.0,4.616210086722521,3.4058992997214355,4.616210086722521,3.4058992997214355,4.6059903890063865,4.606050170816546
Czech Republic,CZE,0.0,0.0,0.0,10.417894670520873,9.861920465019654,10.417894670520873,9.861920465019654,9.339149862137857,10.176589338252278
Denmark,DNK,0.0,0.0,0.0,4.035154631827815,3.9235476248719503,4.035154631827815,3.9235476248719503,3.9731080133965286,4.017359298920876
Estonia,EST,0.0,0.0,0.0,5.516570376419647,4.528273607650081,5.516570376419647,4.528273607650081,3.533194854333938,5.508272377723392
Finland,FIN,0.0,0.0,0.0,2.6260353883400174,3.031848377110833,2.6260353883400174,3.031848377110833,3.034981644085232,2.6289749526740014
France,FRA,0.34,0.4,0.34,1.2798111214289225,1.4423731781045788,1.8996039633048993,2.6738023625603957,1.2347119658010233,1.9010003294838522
Germany,DEU,0.04,0.0,0.02,5.192888226328423,5.349482089161968,5.035593108156222,5.349482089161968,5.193973684217474,5.575840933393703
Greece,GRC,0.3,0.33,0.32,11.204688201648095,13.035033673365595,17.582350858138348,20.094827274919425,11.228217597346768,18.14594349507266
Hungary,HUN,0.26,0.25,0.28,2.4672145783535724,2.633167395758656,3.6759579382383536,3.4764284865086306,2.468445506912209,4.199411352449552
Iceland,ISL,0.16,0.16,0.16,9.504450708390957,8.529796154845776,13.188910039018692,12.184425866757813,9.393754960787488,13.187918707214742
Ireland,IRL,0.0,0.0,0.0,20.050119699918998,21.91075666259909,20.050119699918998,21.91075666259909,21.204626348822675,20.066626675430904
Israel,ISR,0.0,0.0,0.0,1.045804739626121,1.3960983510750202,1.045804739626121,1.3960983510750202,1.6957144588796027,1.3767415408944372
Italy,ITA,0.34,0.35000000000000003,0.34,5.429925964515185,6.195366520983326,8.256090948367273,9.150062207637259,5.433601593193363,8.353983462005163
Japan,JPN,0.0,0.01,0.0,3.497021604214795,3.158988640146402,3.497021604214795,4.587636214615216,3.4962309120886212,3.4962309120886212
Republic of Korea,KOR,0.0,0.0,0.0,6.455539418915572,5.502917792766706,6.455539418915572,5.502917792766706,5.130319979409021,4.46609632595925
Latvia,LVA,0.0,0.0,0.0,13.961767208282033,13.19483897465889,13.961767208282033,13.19483897465889,12.80390754872927,13.956655114607303
Lithuania,LTU,0.0,0.0,0.0,8.873226067711572,8.1321699874039,8.873226067711572,8.1321699874039,7.881061732360828,8.867972027542976
Luxembourg,LUX,0.12,0.14,0.14,6.570479719967523,7.354353407790966,0.7064037777345286,0.5994333373798972,7.564233401306892,0.6535049180099861
Mexico,MEX,0.0,0.0,0.02,3.8538985113979978,4.066426359074895,3.8538985113979978,4.066426359074895,3.64121294606428,2.189399855710773
Netherlands,NLD,0.34,0.36,0.34,0.9782639697574714,0.8291603129442852,4.121823848893101,4.278115421178601,0.9851429188251649,3.90715505650312
New Zealand,NZL,0.16,0.14,0.2,6.755892771721796,6.833155371747979,6.427810564753333,6.81451164375725,6.548911420338108,5.873663209264509
Norway,NOR,0.28,0.26,0.34,3.7773727118694715,2.9789563795355467,6.007274105443287,4.971474462395055,2.290121429149414,6.764607813243632
Poland,POL,0.0,0.0,0.0,12.420613273351986,12.312538642677033,12.420613273351986,12.312538642677033,12.419921032570134,12.419921032570134
Portugal,PRT,0.04,0.04,0.04,2.034333394685,3.0694611504847003,1.665959482761132,1.8063307729776843,2.0388220254989284,1.6659000791851668
Slovakia,SVK,0.0,0.0,0.0,7.566514337853467,7.569305460407468,7.566514337853467,7.569305460407468,7.623964948088924,7.566678611680483
Slovenia,SVN,0.0,0.0,0.0,5.069271372375281,4.344512828038096,5.069271372375281,4.344512828038096,4.928378878247919,5.066279707738803
Spain,ESP,0.04,0.04,0.06,0.722195751067258,2.1147369061285204,1.7551423224246874,1.2285587739774453,0.7291029636626039,1.4844347686157389
Sweden,SWE,0.0,0.0,0.0,4.115197163362853,4.591985016672785,4.115197163362853,4.591985016672785,5.342964619039883,4.3539892479356865
United Kingdom,GBR,0.0,0.0,0.0,1.8355630506578755,1.6266203825767187,1.8355630506578755,1.6266203825767187,1.315413253638122,1.661650631655369
United States,USA,0.0,0.0,0.0,4.7167763655585855,4.161182467243876,4.7167763655585855,4.161182467243876,3.820386445480887,4.600364040722376
