country,iso3,alpha,beta_M3,beta_Mobs,beta_M4,mu_obs_mean,M0_B,Mobs_B,M3_B,Mobs_b_B,M2_B,M4_B
Australia,AUS,0.36110738345554894,0.14,0.12,0.3,1.778227032462655,2.2720353245054765,2.1716673792497776,2.2556946658186323,2.153360658503816,2.1696197581615597,2.1771826992059577
Austria,AUT,0.38423703823770794,0.0,0.0,0.0,1.6830250941827776,2.2174718767657833,2.249599151535914,2.2174718767657833,2.249599151535914,2.2105248739131578,2.236513749612812
Belgium,BEL,0.36879603437014985,0.18,0.19,0.2,1.828745067741341,1.821056744234458,1.8423828345441187,1.7996720818353125,1.8164172846911963,1.8054854444872661,1.8591928414376298
Canada,CAN,0.292327287367412,0.06,0.06,0.06,1.8676384349761606,1.8237568269510844,1.8627629571203126,1.8370870864243476,1.8764722208407123,1.8085217239869111,1.8400384428634275
Colombia,COL,0.5218912414142063,0.06,0.06,0.08,1.718289714785245,2.0673912427967855,2.092366865179207,2.0361424181283936,2.0658429611458398,2.0498683537506937,2.0269569583702163
Costa Rica,CRI,0.42373903564044413,0.02,0.01,0.02,1.5803160465130806,3.5822426667866494,3.722084471907214,3.425618578268662,3.5651381141162655,3.5833513702769255,3.426948363593284
Czech Republic,CZE,0.4774419764677683,0.0,0.0,0.0,1.8171141282846723,3.418445731469328,3.287588757332558,3.418445731469328,3.287588757332558,3.2496886669171157,3.333036847528565
Denmark,DNK,0.3603947068963732,0.0,0.0,0.0,1.9211042537451077,1.9863076801099635,1.9933359099048906,1.9863076801099635,1.9933359099048906,1.9553029333780454,1.9794592455828974
Estonia,EST,0.40406034787495926,0.0,0.0,0.0,1.6820308496092593,6.0429671208545805,5.938412302904758,6.0429671208545805,5.938412302904758,5.85552372388792,6.043455853200518
Finland,FIN,0.3541393646172115,0.0,0.0,0.0,1.8373147766591948,2.4829618935339037,2.4887920610209133,2.4829618935339037,2.4887920610209133,2.4348804282563448,2.48349168227561
France,FRA,0.3527827262878418,0.34,0.4,0.34,2.000826499766243,1.9647027428052157,2.025905970805948,1.6471916906876394,1.689172516633294,1.9650072394321858,1.6475575045266502
Germany,DEU,0.3451319396495819,0.08,0.05,0.08,1.6721077424001571,1.8351035385452832,1.976025367710132,1.937685438491242,2.095447475920624,1.8361650774709886,2.272115346180666
Greece,GRC,0.49804137582364294,0.3,0.34,0.32,1.821231576411977,4.113895047736716,4.233939511446742,4.070623783575817,4.178780073439557,4.107978924596406,4.083856972365324
Hungary,HUN,0.37793298602104186,0.26,0.25,0.28,1.697914977129144,3.017935028588889,3.1546490486760037,2.90954213361996,3.061476865503128,3.0189824989818255,2.912380735403072
Iceland,ISL,0.37374101536614557,0.14,0.14,0.14,1.9155995922642108,3.6980035663311295,3.706001524576911,3.63989761967467,3.643664258120141,3.658192705839923,3.63944561549368
Ireland,IRL,0.4793138384819031,0.0,0.0,0.0,1.7933171234004972,3.3842158133298836,3.383825883971043,3.3842158133298836,3.383825883971043,3.356080015089606,3.384440741148266
Israel,ISR,0.42368098752839223,0.0,0.0,0.0,1.9833694664333397,4.141500076276569,4.211786689460418,4.141500076276569,4.211786689460418,4.12545637058641,4.274196912215649
Italy,ITA,0.43799737649304527,0.34,0.37,0.34,1.7454143042192134,2.5477306534694764,2.6104481271563267,2.4032103750088067,2.4630622733927594,2.5482161519061535,2.4037218519879824
Japan,JPN,0.40173733830451963,0.04,0.05,0.0,1.941692857913429,2.3500611698755973,2.57272500822476,2.4359351185891325,2.6649689548677817,2.3516214993368196,2.3516214993368196
Republic of Korea,KOR,0.42195217244660677,0.0,0.0,0.0,1.6674157397312959,2.8564325847952756,2.847066848987703,2.8564325847952756,2.847066848987703,2.821091469826857,2.8710300260667476
Latvia,LVA,0.47641586860020957,0.0,0.0,0.0,1.7384154222318362,9.657724553823577,9.573608215569593,9.657724553823577,9.573608215569593,9.505471636315784,9.658058873846063
Lithuania,LTU,0.4895071436961492,0.0,0.0,0.0,1.7395101253181076,7.3662522988293455,7.271277627964789,7.3662522988293455,7.271277627964789,7.161529585569292,7.3674422987030646
Luxembourg,LUX,0.4496406487056187,0.1,0.14,0.16,1.6533327984960213,3.3299814222700714,3.1880286417669836,3.236427559182747,3.09249787271437,3.1776938391740805,3.0778394037437105
Mexico,MEX,0.5900232276746205,0.0,0.04,0.08,1.6589943150093451,3.4426040298946963,3.543007585000653,3.4426040298946963,3.492974319968333,3.4437040482949572,3.5894070387927477
Netherlands,NLD,0.32550668290683205,0.34,0.37,0.34,1.918092485304404,2.258185590822307,2.28585076331207,2.0418154097617087,2.0678493572063203,2.2547773212758453,2.1334063563171632
New Zealand,NZL,0.4091075267110552,0.16,0.14,0.26,1.7250948146468055,3.44342460773407,3.2644382240200955,3.4100196714613196,3.2395084686590447,3.19793303761272,3.2868000308051064
Norway,NOR,0.4438353674752372,0.28,0.26,0.34,1.676247372804638,1.7400987378800046,1.7440789165942387,1.6622361598798732,1.665132450851894,1.6670997160224292,1.6645246809725338
Poland,POL,0.3924822247028351,0.0,0.0,0.0,1.5398859950639063,4.014482220453875,4.089373760621014,4.014482220453875,4.089373760621014,4.015496400863227,4.015496400863227
Portugal,PRT,0.36397330250058857,0.06,0.06,0.04,1.80397703763867,3.350652040087802,3.404541483612611,3.266101088485235,3.3191569560127823,3.3511044473407496,3.2672641081180895
Slovakia,SVK,0.4580281525850296,0.0,0.0,0.0,1.7126639679592655,4.00826757633997,3.8388932509393783,4.00826757633997,3.8388932509393783,3.801054200324284,4.005965756288166
Slovenia,SVN,0.33522077997525535,0.0,0.0,0.0,1.8250604533982677,3.0945319747680426,3.09690997288979,3.0945319747680426,3.09690997288979,3.065383064497361,3.0894925197569068
Spain,ESP,0.3817879319190979,0.08,0.07,0.08,1.8876206951158785,3.46821952992951,3.5525909143769145,3.4013930164796813,3.4813245579521825,3.4691206651739686,3.402313799638608
Sweden,SWE,0.421358380147389,0.0,0.0,0.0,1.8871086835144228,1.6656625902649398,1.626341951624103,1.6656625902649398,1.626341951624103,1.5949707039340808,1.6322983858385745
United Kingdom,GBR,0.4350660077163151,0.0,0.0,0.0,1.966516638762979,1.6826395702383083,1.6589958883640743,1.6826395702383083,1.6589958883640743,1.6259944774471353,1.6594583200995665
United States,USA,0.38081351263182506,0.0,0.0,0.0,1.9690810266916352,1.2261102787006364,1.2893248040299703,1.2261102787006364,1.2893248040299703,1.2178511719580354,1.3205942028448139
