Variable,No transfusion median [IQR],No transfusion n,Transfusion median [IQR],Transfusion n,P-value
Age (years),34.0 [30.0-37.0],2827,35.0 [31.8-39.0],128,0.0006807130865767917
BMI (kg/m²),24.8 [22.4-27.8],2739,24.5 [22.7-27.1],126,0.4831134997646369
Gestational age (weeks),38.1 [37.1-38.6],2766,37.1 [36.6-37.5],126,1.4761422205526712e-16
Surgical duration (min),47.0 [40.0-57.0],2827,50.0 [41.0-62.0],128,0.09334654132870808
Anesthesia duration (min),64.0 [55.0-76.0],2827,70.0 [57.0-85.0],128,0.0015989527199548146
Intravenous fluid (mL),990.0 [750.0-1250.0],2768,1425.0 [1100.0-1792.5],126,4.281066513552981e-22
Hypotension episodes,1.0 [0.0-2.0],2770,1.0 [0.0-3.0],126,0.028300695561129123
Oxytocin (U),10.0 [5.0-15.0],2771,15.0 [10.0-20.0],126,2.768991968115261e-09
