Variable,n,Mean,SD,Median,IQR,Min,Max
Age (years),2955,33.4,5.2,34.0,30.0-37.0,17.0,50.0
BMI (kg/m²),2865,26.1,13.2,24.8,22.5-27.8,14.9,463.5
Gestational age (weeks),2892,37.2,3.1,38.0,37.0-38.6,22.6,42.1
Surgical duration (min),2955,50.3,14.9,47.0,40.0-57.0,5.0,163.0
Anesthesia duration (min),2955,67.1,17.9,64.0,55.0-76.0,0.0,196.0
Estimated blood loss (mL),2904,753.0,458.6,650.0,450.0-930.0,50.0,5500.0
Intravenous fluid (mL),2894,1046.3,406.7,1000.0,750.0-1250.0,100.0,4400.0
Hypotension episodes,2896,2.0,4.0,1.0,0.0-2.0,0.0,60.0
Oxytocin (U),2897,11.3,5.9,10.0,5.0-15.0,0.0,50.0
