year,n,blood_loss_median,blood_loss_mean,transfusion_rate,massive_hemorrhage_rate,emergency_rate
2014,295,765.0,863.3373983739838,0.061016949152542375,0.10975609756097561,0.4
2015,305,730.0,823.567213114754,0.06885245901639345,0.08196721311475409,0.4360655737704918
2016,305,650.0,791.8811881188119,0.05901639344262295,0.07260726072607261,0.4918032786885246
2017,290,680.0,779.9310344827586,0.07586206896551724,0.06206896551724138,0.4241379310344828
2018,273,650.0,750.945054945055,0.03663003663003663,0.06227106227106227,0.4542124542124542
2019,246,620.0,707.8536585365854,0.016260162601626018,0.04065040650406504,0.45934959349593496
2020,271,620.0,725.8966789667896,0.025830258302583026,0.055350553505535055,0.5092250922509225
2021,244,660.0,783.0409836065573,0.06557377049180328,0.0860655737704918,0.4385245901639344
2022,290,620.0,703.5758620689655,0.017241379310344827,0.05517241379310345,0.4689655172413793
2023,224,580.0,644.3883928571429,0.017857142857142856,0.03571428571428571,0.4955357142857143
2024,212,560.0,668.0377358490566,0.014150943396226415,0.02830188679245283,0.49056603773584906
