Variable,Coefficient,95% CI lower,95% CI upper,% change,P-value
placenta_previa,0.5413136219436322,0.4721294053388536,0.6104978385484108,71.8262527675926,4.2335800635761214e-51
手術時間_min,0.007644502665960238,0.006328851293353106,0.008960154038567371,0.7673796474420902,1.9486411791369244e-29
emergency,-0.18997071261970933,-0.23656628982964795,-0.1433751354097707,-17.30166462353312,1.8782578425458564e-15
epidural,0.14549818409235268,0.10448196307705801,0.18651440510764736,15.661563427310687,4.338709630161631e-12
hypotension_count,0.013644796342316235,0.008828511634363458,0.018461081050269012,1.3738311423269867,3.0319554816029344e-08
年齢(歳),0.00923645650629575,0.005620489501209294,0.012852423511382207,0.9279244204804415,5.818668644081063e-07
prior_cs,-0.09353576465169658,-0.13907585685326151,-0.047995672450131636,-8.929455421932065,5.789059951712723e-05
GA_weeks,0.003601655440261509,-0.0028010785026714707,0.010004389383194489,0.36081491949651046,0.2701269364108022
BMI,0.0005071029848150815,-0.0009145677184760832,0.0019287736881062464,0.05072315832703733,0.4843547740514855
HDP,0.018048652931200348,-0.051448451665759676,0.08754575752816038,1.8212514208105102,0.6106329393954805
