Variable,Type,Singleton,Twin,P-value
Age (years),continuous,34.0 [30.0-38.0],32.0 [29.0-35.0],5.6283014098922154e-05
BMI (kg/m²),continuous,24.5 [22.5-27.0],25.6 [23.1-28.0],0.0056965175331344185
Gestational age (weeks),continuous,38.0 [37.4-38.4],37.3 [37.0-37.4],2.0589247755294483e-33
Surgery time (min),continuous,46.0 [40.0-54.0],44.0 [38.0-51.0],0.008293091326985004
Anesthesia time (min),continuous,63.0 [55.0-75.0],58.0 [51.0-67.0],3.4025590218647988e-06
Estimated blood loss (mL),continuous,910.0 [610.0-1320.0],1250.0 [950.0-1630.0],7.363281213532296e-13
Infusion volume (mL),continuous,1050.0 [835.0-1400.0],1000.0 [800.0-1307.5],0.043631372912969965
Hypotensive episodes (count),continuous,1.0 [0.0-3.0],0.0 [0.0-2.0],0.0028875289870071027
Epidural anesthesia,categorical,203/479 (42.4%),54/184 (29.3%),0.002042134163765408
Hypotension (SBP < 90),categorical,287/479 (59.9%),86/184 (46.7%),0.0021932893850944543
