Variable,OR,95% CI lower,95% CI upper,P-value
twin,13.587278953793321,1.7409709666536344,106.04091217158349,0.012815861212102762
年齢(歳),1.06727902558,0.91282598655056,1.2478660064745015,0.41428459673014706
BMI,0.943922930705756,0.7749328428784632,1.1497647922658532,0.5663826457250868
GA_weeks,1.503419929927528,0.4138389238554748,5.4617179666083056,0.5355908053738434
hypotension,1.0597243711222688,0.25439316281150093,4.414488700636247,0.9364910976690642
